,Unnamed: 0,bb_width,d_to_ubb,d_to_lbb,MACD,MACD_Oscillator,RSI,d_to_sup2,d_to_res2,fast_k,slow_k,Momentum,ten_to_sen,cloud_thickness,d_to_cloud,volume,return_next_tick,close
0,3920,4.541169697452233,3.470584848726162,1.070584848726071,-0.7752150234725832,-0.3802609637653368,40.53872708705658,2.0,2.0,50.0,46.66666666666667,-0.0031250458486773,-1.5,0.0,-2.5,7654.04601101,0.1572327044025101,636.0
1,3921,3.771236166175413,1.8856180830877065,1.8856180830877065,-0.7495822074835132,-0.2837025182210134,45.24974634171216,2.0,2.0,66.66666666666666,60.0,0.0001601854312457,-1.5,0.0,-1.5,51735.71025156,-0.4709576138147597,637.0
2,3922,4.320493798808229,4.660246899404115,-0.3397531005958853,-0.9602735088312784,-0.3955150556550227,36.027770116834205,3.3333333333333712,4.666666666666515,20.0,54.0,-0.0045521027907867,-2.0,0.0,-4.5,151860.69769979,0.3154574132492094,634.0
3,3923,3.794733192054992,2.19736659602745,1.5973665960275412,-0.9548575938323438,-0.3120793125248705,44.193353196471314,1.3333333333333712,0.6666666666665151,60.0,59.333333333333336,-0.0014099247499649,-2.0,0.0,-2.5,45868.69843911,0.1572327044025101,636.0
4,3924,3.794733192054992,1.1973665960274502,2.597366596027541,-0.8599607077924247,-0.173745941187961,47.78230864498243,1.3333333333333712,0.6666666666665151,80.0,55.333333333333336,-0.0001542799775593,-2.0,0.0,-1.5,14298.21019898,0.1569858712715754,637.0
5,3925,4.299870798962274,0.5499353994811145,3.74993539948116,-0.6960390938544379,-0.0078594617999793,51.16453121498023,1.3333333333333712,0.6666666666665151,100.0,65.33333333333334,0.0036255317463068,-2.0,0.25,-0.25,5708.93756555,0.1567398119122209,638.0
6,3926,5.349974039291055,0.3749870196455731,4.974987019645482,-0.4799063297281236,0.166618641861068,54.34888004329217,2.6666666666666288,1.333333333333485,100.0,72.0,0.0044015283907467,-1.5,1.0,1.5,18040.96483105,-0.156494522691708,639.0
7,3927,5.593647190138881,1.5968235950693952,3.996823595069486,-0.3848746047889335,0.2093202934402065,50.78283441472734,0.6666666666666288,1.333333333333485,75.0,83.0,0.0015698587127157,-1.5,1.0,0.5,6224.66137607,-0.1567398119122209,638.0
8,3928,5.481281277520793,2.640640638760374,2.8406406387604197,-0.3858055940269196,0.1667114433617763,47.43128324295009,0.6666666666666288,1.333333333333485,33.33333333333333,77.66666666666666,0.0009503247088653,-1.5,1.0,-0.5,19954.43216366,0.3139717425431731,637.0
9,3929,6.095535706925375,1.1477678534627105,4.947767853462665,-0.2225941970596068,0.2639382722632713,53.97385108684042,2.6666666666666288,1.333333333333485,100.0,81.66666666666667,0.002043037824709,-1.5,1.0,1.5,13940.08359911,0.156494522691708,639.0
