,bb_width,d_to_ubb,d_to_lbb,MACD,MACD_Oscillator,RSI,d_to_sup2,d_to_res2,fast_k,slow_k,Momentum,ten_to_sen,cloud_thickness,d_to_cloud,volume,return_next_tick,close
0,385.1695153507717,257.58475767538584,127.58475767538584,7.729315994543867,-7.030050506423489,46.314218845283406,146.66666666666606,153.33333333333576,41.37931034482759,28.70992800303145,-0.003865932611652167,35.0,-24830.0,-49635.0,44807.58557461,0.07770007770007137,12870.0
1,387.4474874812695,247.72374374063475,139.72374374063475,5.190589555448241,-7.6550215141488795,47.060181685121805,73.33333333333394,106.66666666666424,44.827586206896555,34.59852216748768,-0.002520563555571875,35.0,-3867.5,-7732.5,61068.81384562,-0.07763975155279379,12880.0
2,395.8899959444316,255.9449979722158,139.9449979722158,2.346289312099543,-8.39945736889667,46.36636356715073,100.0,80.0,41.37931034482759,40.3743842364532,-0.0015509894554384118,35.0,-2640.0,-5310.0,61633.17967477,0.07770007770007137,12870.0
3,335.6188314144347,195.80941570721734,139.80941570721734,0.8874229772882245,-7.8866589350973495,47.20461191672182,80.0,100.0,33.33333333333333,40.75533661740558,0.0016373975127328408,35.0,-2642.5,-5302.5,57458.56132731,0.15527950310558758,12880.0
4,217.8276586865868,97.9138293432934,119.9138293432934,1.3270950200549123,-5.95758949702269,48.923973603997304,73.33333333333394,86.66666666666424,66.66666666666666,45.51724137931034,0.001245486364564319,5.0,-2120.0,-4225.0,48816.16915469,-0.6976744186046546,12900.0
5,120.81206709409162,117.40603354704581,3.4060335470458085,-5.511835142177006,-10.237215704251568,42.2551649435143,120.0,160.0,22.22222222222222,41.68582375478927,-0.008552465953788757,-5.0,-1540.0,-3145.0,95975.88689148,-0.15612802498048417,12810.0
6,152.95605759677346,144.47802879838673,8.478028798386731,-12.400174994449117,-13.700444420431396,40.92029945028977,113.33333333333394,166.66666666666424,15.789473684210526,35.87820125025206,-0.009942242327152817,-10.0,-1162.5,-2397.5,88968.17142156,-0.3909304143862369,12790.0
7,210.81851067787284,215.40925533893642,-4.590744661063582,-21.638844919967596,-18.35129145019822,37.71276879426919,186.66666666666606,173.33333333333576,32.25806451612903,34.05395208451235,-0.013913686261333102,-30.0,-952.5,-2017.5,176306.90286292,0.07849293563579884,12740.0
8,244.73114500064185,211.36557250032092,33.36557250032092,-27.833623896751305,-19.63685631884762,38.7468979423998,60.0,60.0,35.483870967741936,34.48405961139407,-0.007157756712282725,-75.0,-557.5,-1207.5,89689.77935287,0.23529411764706687,12750.0
9,238.5511824884925,166.27559124424624,72.27559124424624,-29.979344916828268,-17.426061854997265,41.86519790712541,73.33333333333394,46.66666666666424,51.85185185185185,31.521096648431115,-0.0033441479219685545,-75.0,-495.0,-1050.0,84092.07880714,-0.07824726134585402,12780.0
10,240.03703417966608,167.01851708983304,73.01851708983304,-32.115610561048015,-15.649861987775978,41.11384949572382,113.33333333333394,66.66666666666424,50.0,37.07665220398667,-0.0032455507374259283,-75.0,-392.5,-852.5,81453.42263648,0.0783085356303781,12770.0
11,226.31345028028954,140.15672514014477,86.15672514014477,-32.626317689935604,-12.92845528566615,42.23038460391681,46.66666666666606,33.33333333333576,77.77777777777779,49.474313022700116,-0.0013865706404559085,-75.0,-170.0,-410.0,28059.1907355,0.3129890453834161,12780.0
12,209.80414146953626,86.90207073476813,122.90207073476813,-29.46660048292506,-7.814990459217956,46.59258350235633,93.33333333333394,66.66666666666424,86.66666666666667,60.35603345280765,0.0014916191958115332,-75.0,-170.0,-370.0,30605.7741982,-0.3900156006240274,12820.0
13,181.30391918296664,111.65195959148332,69.65195959148332,-30.64045532745149,-7.191076240267019,42.29351410766283,46.66666666666606,73.33333333333576,53.333333333333336,63.925925925925924,-0.0010016381134393625,-95.0,-170.0,-420.0,27688.66013093,0.469851213782313,12770.0
14,116.54279137816411,12.271395689082055,104.27139568908206,-26.4283255420778,-2.383157163191271,48.44138622228912,100.0,60.0,93.33333333333333,72.22222222222221,0.00321693385322217,-100.0,-77.5,-182.5,27482.61954306,-0.0779423226812126,12830.0
15,121.10601416386635,25.553007081933174,95.55300708193317,-23.624185692309766,0.3367861491796269,47.53246967615314,46.66666666666606,53.33333333333576,70.0,76.22222222222221,7.2901175167005465e-06,-125.0,-55.0,-150.0,24292.88020632,-0.07800312012480326,12820.0
16,125.14880032271321,39.57440016135661,85.5744001613566,-21.95516475327895,1.6046456702566232,46.59102586822574,40.0,40.0,55.55555555555556,71.77777777777779,0.0011105243029629673,-100.0,70.0,85.0,29547.27064387,-0.07806401249024209,12810.0
17,106.74996747328623,46.37498373664312,60.37498373664312,-21.194537219109407,1.8922185632468569,45.6179987682849,66.66666666666606,53.33333333333576,44.44444444444444,63.33333333333333,-0.0008557792971236045,-100.0,82.5,87.5,37360.60891331,-0.15625000000000222,12800.0
18,90.82339395156305,61.411696975781524,29.411696975781524,-21.9515778059922,0.9081423809783367,43.65434541973571,46.66666666666606,53.33333333333576,22.22222222222222,57.11111111111111,-0.0026524720097482967,-100.0,90.0,75.0,37364.99616639,-0.46948356807511304,12780.0
19,131.9932658214566,135.9966329107283,-4.0033670892717055,-27.07829361595941,-3.3748587428554195,38.324538619164876,100.0,140.0,18.75,42.19444444444444,-0.005001480339059838,-100.0,137.5,62.5,92799.1413313,0.07861635220125507,12720.0
20,151.08496505827134,131.54248252913567,19.54248252913567,-29.988988277818862,-5.028442723371775,39.64709918096841,40.0,40.0,28.57142857142857,33.90873015873016,-0.00538637017063257,-100.0,137.5,72.5,45412.06398373,0.0,12730.0
21,167.01297354794224,134.50648677397112,32.50648677397112,-31.927653284779808,-5.573686183911374,39.64709918096841,66.66666666666606,73.33333333333576,30.76923076923077,28.951465201465204,-0.004844738390474534,-70.0,137.5,72.5,51028.963499,-1.1783189316575071,12730.0
22,294.57313749445166,324.28656874722583,-29.71343125277417,-45.04342900748816,-14.951569524534364,28.875263083501878,166.66666666666606,233.33333333333576,17.857142857142858,23.634004884004884,-0.01386528586986937,-95.0,130.0,-85.0,182397.62983437,-0.23847376788552754,12580.0
23,392.48496078759126,381.24248039379563,11.242480393795631,-57.198147991013684,-21.685030805564452,27.27894105825304,113.33333333333394,126.66666666666424,16.129032258064516,22.415366891173342,-0.01652866261185426,-95.0,120.0,-125.0,133326.05718278,-0.3187250996015911,12550.0
24,458.0344480009626,422.0172240004813,36.01722400048129,-69.258890038951,-26.99661828192152,25.272757759210933,73.33333333333394,86.66666666666424,10.344827586206897,20.734332408414723,-0.019815227115573673,-105.0,112.5,-172.5,142633.64268211,-1.6786570743405282,12510.0
25,652.7752718627962,677.3876359313981,-24.61236406860189,-94.66535213550014,-41.922464301683455,17.850482580744256,153.33333333333394,306.66666666666424,0.0,15.020046694129007,-0.028395438561272787,-65.0,112.5,-382.5,365945.26100541,0.6504065040650486,12300.0
26,691.9987154772862,573.9993577386431,117.99935773864308,-107.11197142849596,-43.49526687483615,26.684088683666474,146.66666666666606,93.33333333333576,22.22222222222222,13.310644984727299,-0.022035949929445818,-70.0,112.5,-302.5,172338.30063573,-0.40387722132472215,12380.0
27,715.156548518491,588.5782742592455,126.57827425924552,-119.63031126364513,-44.81088536724047,24.883133971947686,73.33333333333394,126.66666666666424,14.705882352941178,12.680392883886963,-0.02426510182980748,-70.0,62.5,-452.5,80179.325332,-1.3787510137875048,12330.0
28,802.3188615229883,740.1594307614941,62.15943076149415,-141.63237152938382,-53.45035650566979,19.95242195737916,193.33333333333394,266.66666666666424,13.043478260869565,12.063282084447971,-0.025855276785492896,-90.0,52.5,-642.5,263600.05196795,0.328947368421062,12160.0
29,817.1603949721903,655.5801974860951,161.58019748609513,-154.06619151959603,-52.70734119614268,23.779540175638758,100.0,80.0,23.25581395348837,14.645479357904268,-0.025011323848386745,-90.0,52.5,-602.5,131383.68833134,0.16393442622950616,12200.0
30,755.4718907926144,553.7359453963072,201.73594539630722,-160.4568764140222,-47.27842087205113,25.69252220162045,80.0,100.0,37.5,22.145479357904268,-0.020178794766181472,-90.0,37.5,-597.5,73024.33420527,0.16366612111293755,12220.0
31,610.7336207836815,412.3668103918408,198.36681039184077,-162.04007354213172,-39.08929439986136,27.6480949611702,106.66666666666606,73.33333333333576,43.75,26.451034913459818,-0.005721110761256587,-140.0,42.5,-572.5,91519.95548023,0.08169934640522847,12240.0
32,523.305731756187,325.6528658780935,197.6528658780935,-160.636232848874,-30.148362965118054,28.65905732977926,46.66666666666606,73.33333333333576,65.21739130434783,36.55333670374115,-0.008642303161071974,-145.0,45.0,-560.0,44056.62565638,0.0,12250.0
33,407.5727610569011,237.78638052845054,169.78638052845054,-157.705693935226,-21.774259241080813,28.65905732977926,46.66666666666606,73.33333333333576,68.75,47.69464105156724,-0.008260217273725801,-160.0,0.0,-605.0,41900.34239584,-0.5714285714285672,12250.0
34,274.1937676574962,208.0968838287481,66.0968838287481,-159.1955371583117,-18.611281971268085,25.73928550565863,73.33333333333394,146.66666666666424,7.6923076923076925,44.5819397993311,-0.008316859816472788,-215.0,-22.5,-697.5,61417.63070979,0.49261083743843415,12180.0
35,265.4974366898459,137.74871834492296,127.74871834492296,-153.76296903526963,-10.54297107855129,32.12265189229521,86.66666666666606,53.33333333333576,53.84615384615385,47.85117056856187,-0.004364795751753792,-215.0,-32.5,-657.5,57046.54566361,0.4901960784313708,12240.0
36,205.73985731714492,39.86992865857246,165.86992865857246,-142.9687290173806,0.20101515146976112,37.8737463155675,100.0,60.0,92.3076923076923,57.562709030100336,0.0006474956312047639,-260.0,-52.5,-637.5,47562.75961393,0.3252032520325132,12300.0
37,213.99896157586045,4.999480787930224,208.99948078793022,-129.69195090901303,10.78223460785054,41.43619286922522,80.0,60.0,88.88888888888889,62.297008547008545,0.009669531395400855,-225.0,-52.5,-597.5,38375.5860087,-0.16207455429497752,12340.0
38,205.86943003324632,36.93471501662316,168.93471501662316,-119.40717787545509,16.853606113102643,40.19510911317161,53.33333333333394,46.66666666666424,77.77777777777779,64.10256410256412,0.004012954239315558,-210.0,-52.5,-617.5,26372.15365681,0.24350649350648457,12320.0
39,222.6706586468281,30.335329323414044,192.33532932341404,-107.5956390541105,22.932115947531486,42.955138571694,73.33333333333394,46.66666666666424,94.44444444444444,81.45299145299145,0.0048059119202841895,-210.0,-62.5,-597.5,24072.59653635,-0.24291497975708065,12350.0
40,219.4538675895019,68.72693379475095,150.72693379475095,-99.50832451068163,24.81554439274555,40.92132390806351,40.0,60.0,69.23076923076923,84.52991452991452,0.005269482037962514,-205.0,-65.0,-630.0,34936.35372058,-0.08116883116883189,12320.0
41,215.1588560420496,83.5794280210248,131.5794280210248,-92.83574418816897,25.190499772188062,40.23742817677475,66.66666666666606,73.33333333333576,37.5,73.56837606837607,0.003113120807190251,-195.0,-77.5,-652.5,55484.34897426,-0.16246953696181787,12310.0
42,209.12516188475274,104.56258094237637,104.56258094237637,-88.14526954910434,23.9047795289881,38.839364316462515,73.33333333333394,86.66666666666424,30.0,61.79059829059829,-0.0015273893888047452,-190.0,-65.0,-660.0,27066.59694036,-0.5695687550854367,12290.0
43,222.35107375497682,178.1755368774884,44.17553687748841,-89.0494593479707,18.400471784088765,34.341844000917945,60.0,100.0,6.666666666666667,47.56837606837606,-0.007302580921372015,-185.0,-70.0,-740.0,52382.93552691,0.49099836333879043,12220.0
44,165.51602809258839,99.75801404629419,65.75801404629419,-83.9570948143446,18.79426905416483,40.68233593532487,80.0,40.0,46.666666666666664,38.01282051282051,-0.0017027515828722637,-170.0,-70.0,-680.0,26888.53187115,-0.32573289902280145,12280.0
45,165.51602809258839,139.7580140462942,25.758014046294193,-82.20122081700902,16.44011444119539,38.04466018510824,26.66666666666606,53.33333333333576,21.428571428571427,28.452380952380953,-0.0048695042087554714,-150.0,-70.0,-720.0,22840.78567547,0.4901960784313708,12240.0
46,165.51602809258839,79.75801404629419,85.75801404629419,-75.10275488846491,18.830864295787066,43.918365205516366,86.66666666666606,53.33333333333576,69.23076923076923,34.798534798534796,0.004756752784999341,-150.0,-70.0,-660.0,26744.1287603,-0.1626016260162566,12300.0
47,154.86194568780775,88.43097284390387,66.43097284390387,-70.28074600791842,18.9222985410632,42.472896489271,66.66666666666606,73.33333333333576,63.63636363636363,41.52580752580752,-7.751814508635271e-05,-130.0,-85.0,-695.0,17474.87000516,-0.9771986970684043,12280.0
48,220.10098692290194,225.05049346145097,-4.949506538549031,-75.27399722470545,11.143237859419216,35.024392199382845,160.0,200.0,27.27272727272727,45.64701964701965,-0.008717708255912771,-130.0,-82.5,-742.5,81203.24145164,-0.3289473684210509,12160.0
49,267.86397874873364,265.9319893743668,1.9319893743668217,-81.51896978228251,3.918612241473241,32.95006663880616,146.66666666666606,113.33333333333576,31.03448275862069,42.52058286541045,-0.013337705181915105,-105.0,-77.5,-757.5,135852.22428398,-0.7425742574257432,12120.0
50,369.0468202756201,377.52341013781006,-8.47658986218994,-92.66188878426328,-5.779445408405465,28.81491986507747,106.66666666666606,173.33333333333576,6.451612903225806,39.52519116034132,-0.02099443715893228,-95.0,-82.5,-842.5,66538.7563185,0.08312551953448821,12030.0
51,411.4797146343262,361.7398573171631,49.739857317163114,-99.53842242469909,-10.12478323907223,29.868075515713883,213.33333333333394,166.66666666666424,31.70731707317073,32.02050072882163,-0.01485641422560926,-50.0,-107.5,-767.5,170324.00392705,0.33222591362125353,12040.0
52,411.9331121539981,300.96655607699904,110.96655607699904,-100.60091897305756,-8.94982382994398,34.06984620804313,113.33333333333394,66.66666666666424,45.94594594594595,28.48241719073809,-0.010912122571142158,-50.0,-110.0,-720.0,52497.25502334,0.16556291390728006,12080.0
53,416.56798831508786,271.28399415754393,145.28399415754393,-98.69152276466593,-5.6323420972416045,36.13031505479853,160.0,100.0,76.0,38.22787173619263,-0.0048998612292986184,-20.0,-110.0,-700.0,43799.86565485,0.08264462809917106,12100.0
