,open,high,low,close,volume,value
2021-06-24 22:45:00,1570.0,1575.0,1560.0,1570.0,439705.4072036,687817615.5202262
2021-06-24 23:00:00,1575.0,1580.0,1560.0,1565.0,464902.97322145,728871511.3372167
2021-06-24 23:15:00,1565.0,1570.0,1560.0,1565.0,401466.25446101,628049743.7330244
2021-06-24 23:30:00,1565.0,1570.0,1565.0,1565.0,314784.17120505,492752464.03174525
2021-06-24 23:45:00,1565.0,1570.0,1555.0,1565.0,346718.69970249,541910935.1863368
2021-06-25 00:00:00,1565.0,1590.0,1565.0,1585.0,926473.49302489,1461113974.8466268
2021-06-25 00:15:00,1585.0,1595.0,1575.0,1595.0,569224.36796902,902690075.406021
2021-06-25 00:30:00,1595.0,1600.0,1585.0,1590.0,711256.79873229,1131622158.4305341
2021-06-25 00:45:00,1590.0,1615.0,1585.0,1605.0,7532562.21504029,12076730265.560946
2021-06-25 01:00:00,1605.0,1615.0,1575.0,1585.0,2154118.61997609,3439650775.4543233
2021-06-25 01:15:00,1585.0,1610.0,1585.0,1605.0,4454501.70694947,7119091121.599087
2021-06-25 01:30:00,1600.0,1625.0,1600.0,1615.0,3683552.87704101,5951819108.377618
2021-06-25 01:45:00,1610.0,1630.0,1605.0,1610.0,4078074.86972169,6587871621.548247
2021-06-25 02:00:00,1605.0,1620.0,1595.0,1605.0,3584168.80429584,5773179130.571316
2021-06-25 02:15:00,1605.0,1610.0,1595.0,1605.0,461025.16164975,739721323.5669074
2021-06-25 02:30:00,1600.0,1610.0,1600.0,1600.0,142874.91350129,229095721.2875835
2021-06-25 02:45:00,1600.0,1605.0,1590.0,1600.0,998946.21605847,1594218385.0869489
2021-06-25 03:00:00,1600.0,1615.0,1595.0,1600.0,514269.22389063,825979741.5314883
2021-06-25 03:15:00,1600.0,1610.0,1600.0,1605.0,62729.60290838,100630736.75776595
2021-06-25 03:30:00,1605.0,1610.0,1600.0,1605.0,103310.94010768,165894986.58690405
2021-06-25 03:45:00,1610.0,1615.0,1605.0,1605.0,177425.48311801,285436067.3426853
2021-06-25 04:00:00,1605.0,1610.0,1595.0,1595.0,205907.12369177,329637956.1647913
2021-06-25 04:15:00,1595.0,1605.0,1595.0,1600.0,90815.43419761,145293174.7343184
2021-06-25 04:30:00,1600.0,1610.0,1600.0,1600.0,96489.1716836,154796470.8967147
2021-06-25 04:45:00,1600.0,1605.0,1595.0,1605.0,57797.75799475,92407802.9337237
2021-06-25 05:00:00,1600.0,1605.0,1595.0,1595.0,151591.92621006,242286096.3938694
2021-06-25 05:15:00,1595.0,1600.0,1585.0,1590.0,261535.84854702,415504500.032038
2021-06-25 05:30:00,1585.0,1590.0,1580.0,1590.0,416815.70172811,660234051.0793405
2021-06-25 05:45:00,1585.0,1590.0,1575.0,1585.0,396574.13540968,627276158.707702
2021-06-25 06:00:00,1580.0,1585.0,1575.0,1575.0,243359.84509538,383793800.1580112
2021-06-25 06:15:00,1575.0,1585.0,1575.0,1585.0,331118.86282619,523306793.9917986
2021-06-25 06:30:00,1580.0,1585.0,1570.0,1575.0,434826.35367824,685179046.4042081
