,open,high,low,close,volume,value
2020-11-28 00:30:00,150.0,151.0,148.0,148.0,3092254.42807759,461485021.2250755
2020-11-28 01:00:00,148.0,152.0,148.0,152.0,5112988.0617714,765534015.1604007
2020-11-28 01:30:00,151.0,152.0,150.0,152.0,1114870.76075006,169021391.8190302
2020-11-28 02:00:00,152.0,152.0,150.0,151.0,863270.01488296,130512084.88355522
2020-11-28 02:30:00,150.0,151.0,150.0,151.0,348289.90928087,52493261.51843169
2020-11-28 03:00:00,151.0,152.0,151.0,152.0,1050931.89140945,159434325.57850885
2020-11-28 03:30:00,152.0,152.0,151.0,151.0,154952.31533161,23487527.64606699
2020-11-28 04:00:00,152.0,152.0,151.0,152.0,448970.89756576,68082546.4434787
2020-11-28 04:30:00,151.0,152.0,150.0,151.0,585062.9681321,88218243.81916778
2020-11-28 05:00:00,151.0,153.0,150.0,152.0,548954.90007139,83565711.55169404
2020-11-28 05:30:00,153.0,154.0,152.0,153.0,1541797.60786595,235956023.00917166
2020-11-28 06:00:00,153.0,153.0,152.0,152.0,1208109.62197913,184623412.69745448
2020-11-28 06:30:00,152.0,155.0,152.0,154.0,2484834.77583328,381809798.6808154
2020-11-28 07:00:00,155.0,155.0,152.0,153.0,931418.24785989,142901927.83312082
2020-11-28 07:30:00,153.0,154.0,152.0,153.0,2272636.388145,347631815.34167206
2020-11-28 08:00:00,153.0,156.0,153.0,154.0,6260740.96897841,967024530.4049742
2020-11-28 08:30:00,154.0,162.0,154.0,160.0,23698965.2914725,3747572599.5925307
2020-11-28 09:00:00,160.0,162.0,156.0,158.0,31415678.69529452,4973681230.568642
2020-11-28 09:30:00,158.0,165.0,157.0,163.0,36595001.24411893,5917946905.992689
2020-11-28 10:00:00,163.0,164.0,160.0,162.0,17469627.76414579,2824866569.308102
2020-11-28 10:30:00,162.0,162.0,159.0,162.0,15134182.24200521,2431472451.203649
2020-11-28 11:00:00,162.0,162.0,158.0,159.0,11698847.92282749,1863295022.8121614
2020-11-28 11:30:00,159.0,160.0,157.0,158.0,5008775.65920607,792681919.2781571
2020-11-28 12:00:00,158.0,158.0,157.0,157.0,3845964.55356622,604349009.5245976
2020-11-28 12:30:00,157.0,159.0,157.0,158.0,2911625.2578527,459902403.1911483
2020-11-28 13:00:00,158.0,160.0,157.0,158.0,6069360.65103158,961881088.3860306
2020-11-28 13:30:00,158.0,158.0,156.0,158.0,4360293.71852276,683134563.1083978
2020-11-28 14:00:00,158.0,158.0,156.0,156.0,1845136.44353982,289122255.5215444
2020-11-28 14:30:00,157.0,158.0,156.0,157.0,2355699.84489983,369969696.8662758
2020-11-28 15:00:00,158.0,159.0,157.0,159.0,3098005.14172712,488919398.91695565
2020-11-28 15:30:00,159.0,159.0,157.0,158.0,1890477.0007497,298491848.6161517
2020-11-28 16:00:00,158.0,159.0,158.0,158.0,1876790.55045218,298182471.40496516
2020-11-28 16:30:00,158.0,160.0,158.0,159.0,1774549.94920869,281558254.8443342
2020-11-28 17:00:00,159.0,160.0,158.0,158.0,3820735.32060317,608969505.6765518
2020-11-28 17:30:00,158.0,160.0,157.0,158.0,3433700.94135924,544637586.2078772
2020-11-28 18:00:00,158.0,159.0,158.0,159.0,1674539.60748684,264715363.68246147
2020-11-28 18:30:00,158.0,164.0,158.0,163.0,19348721.20674126,3124697741.460907
2020-11-28 19:00:00,163.0,169.0,162.0,168.0,36989233.95647893,6156285469.274345
2020-11-28 19:30:00,167.0,168.0,164.0,165.0,19041599.62773189,3168827237.9810333
2020-11-28 20:00:00,165.0,171.0,163.0,171.0,28951776.16148711,4848915475.886244
2020-11-28 20:30:00,171.0,175.0,170.0,173.0,42906351.11565863,7418753693.028503
2020-11-28 21:00:00,173.0,175.0,170.0,171.0,30200801.96006807,5207110159.509837
2020-11-28 21:30:00,172.0,173.0,169.0,172.0,16846171.68100596,2876063694.8291807
2020-11-28 22:00:00,171.0,179.0,170.0,179.0,28940654.26570575,5077513207.259643
2020-11-28 22:30:00,178.0,189.0,178.0,187.0,95435821.65650268,17582250202.353535
2020-11-28 23:00:00,186.0,187.0,181.0,184.0,58256509.3303983,10685846543.000381
2020-11-28 23:30:00,184.0,185.0,181.0,185.0,25348391.08933668,4647295529.285791
2020-11-29 00:00:00,185.0,190.0,182.0,184.0,37383209.48457284,6970077542.436891
2020-11-29 00:30:00,185.0,185.0,182.0,185.0,10847992.63230388,1991442972.4785383
2020-11-29 01:00:00,185.0,186.0,179.0,179.0,19206832.86849792,3503006351.6302676
2020-11-29 01:30:00,179.0,181.0,177.0,177.0,9177470.1819543,1644577435.0627122
2020-11-29 02:00:00,178.0,181.0,176.0,179.0,7670311.86962097,1369328326.4043868
2020-11-29 02:30:00,179.0,181.0,178.0,180.0,2477264.52555089,444871105.44415885
2020-11-29 03:00:00,180.0,181.0,180.0,180.0,3132166.73838459,564315380.55176
2020-11-29 03:30:00,180.0,181.0,178.0,180.0,1295912.1415957,232483175.32998237
2020-11-29 04:00:00,180.0,181.0,177.0,179.0,2016841.08388185,361071355.72731745
