,open,high,low,close,volume,value
2019-10-08 08:00:00,49.3,49.8,49.1,49.2,2955266.86332596,146181794.10757482
2019-10-08 09:00:00,49.3,49.4,48.9,49.2,2987438.80632702,146809673.84654063
2019-10-08 10:00:00,49.2,50.2,49.1,50.2,3085443.08750385,153552666.59985277
2019-10-08 11:00:00,50.2,50.3,49.5,49.6,6638804.14081669,331383429.442786
2019-10-08 12:00:00,49.6,49.7,49.2,49.4,2750433.43715593,135873154.73179886
2019-10-08 13:00:00,49.4,49.5,48.7,49.0,2769707.68909196,136056838.00152048
2019-10-08 14:00:00,48.9,49.3,48.7,49.2,2462452.47155054,120555359.77902596
2019-10-08 15:00:00,49.2,49.4,49.0,49.2,2529560.23341898,124529746.98147339
2019-10-08 16:00:00,49.2,49.3,48.7,48.9,1457802.49347896,71454105.82854463
2019-10-08 17:00:00,48.9,49.0,48.1,48.2,6915398.33462921,334050135.66434765
2019-10-08 18:00:00,48.2,48.4,48.0,48.4,2612661.7923463,125873040.09155294
2019-10-08 19:00:00,48.4,48.7,48.2,48.3,2098589.65105328,101817238.20433846
2019-10-08 20:00:00,48.3,48.5,48.2,48.4,2202661.27807786,106497070.69095561
2019-10-08 21:00:00,48.4,48.7,47.9,48.5,3294296.35054761,158994428.4788493
2019-10-08 22:00:00,48.5,49.0,48.4,48.6,3510987.73641179,171010646.8133552
2019-10-08 23:00:00,48.6,48.6,48.2,48.5,1595367.36355876,77218313.83937885
2019-10-09 00:00:00,48.5,48.6,48.3,48.6,1009359.70447313,48912648.43833144
2019-10-09 01:00:00,48.6,48.9,48.2,48.8,916658.84846565,44473036.72448092
2019-10-09 02:00:00,48.9,49.0,48.6,48.9,449323.44120141,21908989.48807077
2019-10-09 03:00:00,49.1,49.1,48.7,48.8,376246.13377971,18418984.21016416
2019-10-09 04:00:00,48.8,49.0,48.7,48.7,235404.28086647,11512401.66876763
2019-10-09 05:00:00,48.8,48.9,48.3,48.4,284788.79868047,13801473.95496303
2019-10-09 06:00:00,48.4,48.7,48.3,48.5,159092.1307439,7698579.77975938
2019-10-09 07:00:00,48.5,49.2,48.5,49.2,922206.80209558,45206244.05143478
2019-10-09 08:00:00,49.2,49.2,48.8,49.1,1024554.86072961,50244368.1707391
2019-10-09 09:00:00,49.1,49.2,48.8,48.9,2529373.03574624,123957538.48743649
2019-10-09 10:00:00,48.9,49.0,48.7,48.7,2396303.93432473,117196737.50986956
2019-10-09 11:00:00,48.8,48.8,48.4,48.7,1680448.91174077,81599946.19742377
2019-10-09 12:00:00,48.7,48.9,48.5,48.5,1407648.55537955,68506642.09276697
2019-10-09 13:00:00,48.6,48.7,48.5,48.6,588571.14732313,28585008.17904679
2019-10-09 14:00:00,48.6,48.8,48.5,48.7,518330.56418596,25227396.62879987
2019-10-09 15:00:00,48.7,48.9,48.6,48.8,2929136.72993446,142496165.99023926
2019-10-09 16:00:00,48.7,50.2,48.7,50.0,4600360.93658471,228428747.65688097
2019-10-09 17:00:00,50.0,51.2,49.7,51.0,14372732.82971422,728429087.6905254
2019-10-09 18:00:00,51.1,51.1,50.2,50.8,3501766.89593675,177647620.999834
2019-10-09 19:00:00,50.6,51.5,50.6,51.2,3366690.76117388,172057528.85008895
2019-10-09 20:00:00,51.1,51.2,50.4,51.2,3581276.25339639,181907782.98691604
2019-10-09 21:00:00,51.2,51.2,50.4,50.5,3005609.59865939,152505682.6470241
2019-10-09 22:00:00,50.5,51.0,50.5,51.0,3277300.42164826,166128541.28373137
2019-10-09 23:00:00,51.0,51.6,50.8,51.1,6522064.02994625,333616200.2853763
2019-10-10 00:00:00,51.1,51.1,50.0,50.3,6909396.88813815,348104348.1650297
2019-10-10 01:00:00,50.5,50.8,50.3,50.5,987176.29250163,49874494.36902427
2019-10-10 02:00:00,50.6,50.8,50.2,50.4,1045709.25753674,52772331.16419414
2019-10-10 03:00:00,50.3,50.5,50.2,50.2,1421470.20504495,71397258.48674344
2019-10-10 04:00:00,50.2,50.5,50.2,50.4,189205.10807633,9501132.75420909
2019-10-10 05:00:00,50.4,50.6,50.1,50.5,320069.19010982,16134049.4917493
2019-10-10 06:00:00,50.5,50.6,50.3,50.6,235817.44066516,11887564.09104401
2019-10-10 07:00:00,50.6,50.8,50.5,50.7,889157.51809339,45057504.76015655
2019-10-10 08:00:00,50.7,50.8,50.4,50.4,888941.61549371,44965559.90180918
2019-10-10 09:00:00,50.4,50.6,49.8,50.0,3511569.19387027,175970343.19314262
2019-10-10 10:00:00,50.0,50.2,49.7,49.9,2292266.73835774,114481359.75935172
2019-10-10 11:00:00,49.8,49.8,49.4,49.7,2019741.40622241,100193904.53019135
2019-10-10 12:00:00,49.7,49.9,49.5,49.5,2440406.28813966,121267016.54802202
2019-10-10 13:00:00,49.6,49.9,49.5,49.7,1934945.73883828,96182417.35809311
2019-10-10 14:00:00,49.7,49.7,49.4,49.6,1214225.32805592,60183236.83165061
2019-10-10 15:00:00,49.6,49.9,49.5,49.8,1106068.15488417,54966070.46092723
2019-10-10 16:00:00,49.7,50.0,49.5,49.6,2102609.39903504,104411036.82029726
2019-10-10 17:00:00,49.7,49.7,48.8,48.8,4456320.34939284,218886391.5073654
2019-10-10 18:00:00,48.9,49.0,48.6,48.8,3331598.99656557,162356057.9278665
2019-10-10 19:00:00,48.7,48.9,48.4,48.6,2455299.27199664,119428265.28907406
2019-10-10 20:00:00,48.7,49.2,48.6,49.1,856702.19369731,41883038.90979063
2019-10-10 21:00:00,49.0,49.1,48.4,48.7,1527200.37768723,74433776.87687893
2019-10-10 22:00:00,48.7,49.0,48.4,48.9,3144253.2015928,153234099.9324856
2019-10-10 23:00:00,48.8,49.0,48.6,48.8,782758.34286298,38193025.01014442
2019-10-11 00:00:00,48.7,48.9,48.6,48.9,1182409.8683216,57648673.83298873
2019-10-11 01:00:00,48.9,49.1,48.7,48.9,246378.93793253,12043076.98144758
2019-10-11 02:00:00,48.9,49.0,48.8,48.8,353459.96815005,17297512.8126088
2019-10-11 03:00:00,48.8,49.1,48.7,49.1,219207.67251123,10741130.19107335
2019-10-11 04:00:00,49.1,49.5,49.1,49.4,483942.16321701,23856093.11467755
2019-10-11 05:00:00,49.5,49.6,49.4,49.4,341224.23345212,16882542.45590101
2019-10-11 06:00:00,49.4,49.7,49.3,49.4,418411.34896166,20685793.43724928
2019-10-11 07:00:00,49.4,49.6,49.3,49.4,908732.76495278,44912422.77614698
2019-10-11 08:00:00,49.4,49.6,49.1,49.4,1964781.18725575,96985907.57794955
2019-10-11 09:00:00,49.5,49.6,48.6,49.1,3083365.43014902,150907580.72496265
2019-10-11 10:00:00,48.9,49.1,48.6,49.0,804549.38355695,39266150.0034939
2019-10-11 11:00:00,49.0,49.0,48.8,49.0,761124.30782702,37275919.29458955
2019-10-11 12:00:00,49.0,49.4,48.9,49.3,743984.00184771,36651737.66374523
2019-10-11 13:00:00,49.4,50.3,49.3,49.9,2569166.99683094,128087119.01833406
2019-10-11 14:00:00,50.0,50.1,48.4,48.9,5587423.48706905,274091265.52972376
2019-10-11 15:00:00,48.9,48.9,48.3,48.6,1958462.09619199,94977969.32776837
2019-10-11 16:00:00,48.6,48.6,48.1,48.1,2112112.66065453,102025323.15924655
2019-10-11 17:00:00,48.2,48.2,47.7,48.2,3403165.89122466,163112251.61324248
2019-10-11 18:00:00,48.2,48.5,48.1,48.2,1154770.95505267,55715180.3329079
2019-10-11 19:00:00,48.2,49.1,48.1,48.8,1928735.26883002,93957067.03086028
