,open,high,low,close,volume,value
2019-09-30 17:00:00,73.6,74.1,70.1,70.7,1704548.96430597,122205909.8793107
2019-09-30 18:00:00,70.7,71.0,65.0,66.3,4289883.1058628,288888749.8383904
2019-09-30 19:00:00,66.9,69.5,65.3,68.6,2681909.72459445,182399833.61034334
2019-09-30 20:00:00,68.5,68.6,65.1,67.4,3106082.42836795,207337647.53726706
2019-09-30 21:00:00,67.3,68.8,66.2,68.7,1140386.23874952,76858633.03213699
2019-09-30 22:00:00,68.2,71.0,67.8,67.8,2910724.20696437,201776556.43688405
2019-09-30 23:00:00,67.8,70.3,67.6,69.7,1235200.40640622,85105050.42941004
2019-10-01 00:00:00,69.7,69.7,67.2,67.5,2202789.9395233,149645257.01899204
2019-10-01 01:00:00,67.3,68.5,66.6,67.5,1056021.399152,71090211.64631753
2019-10-01 02:00:00,67.1,68.5,66.1,67.5,494625.40163185,33352298.21813701
2019-10-01 03:00:00,67.3,67.3,67.3,67.3,24.77528042,1667.37637227
2019-10-01 06:00:00,67.3,68.4,66.1,68.1,594873.26823639,39883486.53832141
2019-10-01 07:00:00,68.1,71.0,67.6,70.5,1601322.44595142,111236620.92243701
2019-10-01 08:00:00,70.1,70.5,68.4,69.7,1444525.13971016,99971682.70809108
2019-10-01 09:00:00,70.1,76.4,67.5,73.6,9874421.40744084,725415992.8350389
2019-10-01 10:00:00,73.6,73.9,68.4,69.5,2324352.7736798,166120230.46961704
2019-10-01 11:00:00,69.5,69.7,68.0,68.6,2256036.00105791,154796640.56274876
2019-10-01 12:00:00,68.6,70.4,66.5,66.7,3584939.37436206,246988502.76789984
2019-10-01 13:00:00,66.7,67.5,66.1,67.0,584221.53204555,38958033.97786688
2019-10-01 14:00:00,66.9,67.3,66.5,67.1,430475.77948849,28764129.50253979
2019-10-01 15:00:00,67.0,67.7,66.3,66.5,558945.27686607,37579677.80343694
2019-10-01 16:00:00,66.5,67.1,66.3,67.0,220802.41492078,14723010.03073058
2019-10-01 17:00:00,66.9,67.8,66.5,67.6,821235.09113576,55126234.97873315
2019-10-01 18:00:00,67.6,67.6,66.3,66.6,585054.28454412,39112583.74481762
2019-10-01 19:00:00,66.6,67.2,66.5,66.7,126902.34065224,8483699.79695411
2019-10-01 20:00:00,66.9,67.2,64.2,64.8,1398643.44153484,91769401.40884478
2019-10-01 21:00:00,64.8,65.1,64.0,64.1,1398940.80467483,89997847.55660155
2019-10-01 22:00:00,64.1,64.2,62.7,63.4,1258708.54473908,79813014.42410667
2019-10-01 23:00:00,63.3,64.2,63.2,63.8,339258.42571757,21593927.94306789
2019-10-02 00:00:00,63.8,64.1,63.1,63.7,240525.79764813,15252644.37136693
2019-10-02 01:00:00,63.8,64.3,63.4,63.4,72454.39870671,4626710.06945199
2019-10-02 02:00:00,63.5,64.3,63.3,63.8,55973.63344065,3564368.26885697
2019-10-02 03:00:00,63.8,63.8,63.2,63.2,27360.76305952,1735528.69190935
2019-10-02 04:00:00,63.5,63.5,63.2,63.3,7693.9751603,486281.3921638
2019-10-02 05:00:00,63.3,64.3,63.3,64.3,22790.15266106,1447739.30963303
2019-10-02 06:00:00,64.3,64.3,63.5,64.2,19466.13513905,1239898.59812955
2019-10-02 07:00:00,64.2,64.5,63.5,63.5,208831.05482606,13352340.58170043
2019-10-02 08:00:00,63.7,65.0,63.5,64.9,579910.41444183,37217971.87509741
2019-10-02 09:00:00,64.9,66.9,63.2,64.0,2222064.61498853,144408028.98822352
2019-10-02 10:00:00,64.1,64.1,61.3,62.7,2040617.2398772,128020222.27056143
2019-10-02 11:00:00,62.0,63.4,61.0,61.4,1821037.88542455,112338477.7011226
2019-10-02 12:00:00,61.4,61.4,59.1,60.2,1539398.8751866,92375232.75247763
2019-10-02 13:00:00,59.8,62.2,59.8,60.2,1239799.63919363,75560104.77067184
2019-10-02 14:00:00,60.2,61.5,59.8,61.3,183456.55650305,11082895.79254524
2019-10-02 15:00:00,61.3,61.9,59.8,59.9,233516.6946792,14243650.92609325
2019-10-02 16:00:00,60.0,60.9,60.0,60.8,97729.40004359,5927453.03434583
2019-10-02 17:00:00,60.9,63.8,60.9,61.9,1641683.11571778,102910173.4316313
2019-10-02 18:00:00,61.9,62.0,61.2,61.2,166243.43425749,10226646.94100186
2019-10-02 19:00:00,61.3,63.9,61.3,63.5,1508661.68582301,94546165.23258194
2019-10-02 20:00:00,62.4,63.1,61.7,62.2,186513.57861432,11606403.90142865
2019-10-02 21:00:00,62.6,64.3,62.1,62.1,1185194.4800893,75135108.09518716
2019-10-02 22:00:00,62.1,62.2,61.2,61.3,206007.82237982,12703743.99913682
2019-10-02 23:00:00,61.5,62.2,61.2,61.8,41566.23093485,2546420.61852999
2019-10-03 00:00:00,61.5,62.1,61.4,61.9,57065.58145056,3515261.82511735
2019-10-03 01:00:00,61.8,61.9,61.4,61.9,37397.38924138,2299482.79798731
2019-10-03 02:00:00,61.7,61.7,61.2,61.7,138852.57816599,8540684.87275275
