,open,high,low,close,volume,value
2021-04-05 15:00:00,21920.0,30810.0,8000.0,12230.0,8150524.34513711,123087172264.8876
2021-04-05 16:00:00,12290.0,13260.0,10520.0,11240.0,7169481.58551709,85043391001.3476
2021-04-05 17:00:00,11250.0,11750.0,10960.0,11480.0,1586671.40486066,18123628085.20157
2021-04-05 18:00:00,11480.0,11490.0,10570.0,10600.0,1667867.68520259,18307013623.002064
2021-04-05 19:00:00,10570.0,11240.0,10420.0,10840.0,1290810.0879235,13667863282.65064
2021-04-05 20:00:00,10840.0,11290.0,10650.0,10920.0,1149513.51229504,12641513039.291292
2021-04-05 21:00:00,10910.0,13650.0,10620.0,12910.0,8043105.18867114,101180022981.7075
2021-04-05 22:00:00,12900.0,15310.0,12510.0,13990.0,14280973.78112209,200466936875.98444
2021-04-05 23:00:00,13950.0,14200.0,12700.0,13280.0,4135584.25258184,55386145286.833084
2021-04-06 00:00:00,13270.0,13700.0,12700.0,12870.0,1757920.23367993,23272580885.012745
2021-04-06 01:00:00,12870.0,13840.0,12680.0,12960.0,1262966.52692478,16742476419.342823
2021-04-06 02:00:00,12960.0,13510.0,12810.0,13080.0,587309.80485917,7716241946.844917
2021-04-06 03:00:00,13090.0,13240.0,12690.0,12770.0,380387.39634658,4943395869.571984
2021-04-06 04:00:00,12770.0,12830.0,12410.0,12600.0,290016.20537277,3646887727.7886515
2021-04-06 05:00:00,12610.0,12710.0,11970.0,12070.0,510698.92823504,6298176403.15167
2021-04-06 06:00:00,12040.0,12290.0,11640.0,11700.0,698068.03856737,8333349432.093329
2021-04-06 07:00:00,11690.0,11910.0,11300.0,11480.0,835586.80556218,9715842114.78507
2021-04-06 08:00:00,11490.0,12940.0,11200.0,12490.0,1634884.58230442,19824746094.72572
2021-04-06 09:00:00,12430.0,12490.0,11480.0,11650.0,1531495.95625698,17992551127.183105
2021-04-06 10:00:00,11580.0,11790.0,10560.0,11030.0,1058337.79661649,11637900595.543154
2021-04-06 11:00:00,11040.0,11400.0,10990.0,11170.0,464850.15345578,5207390781.206063
2021-04-06 12:00:00,11180.0,11390.0,11170.0,11200.0,231294.18829535,2608112278.313954
2021-04-06 13:00:00,11200.0,11800.0,11190.0,11700.0,282054.90312101,3247077223.423797
2021-04-06 14:00:00,11700.0,11760.0,11300.0,11360.0,229926.59859183,2634678888.678872
2021-04-06 15:00:00,11360.0,11400.0,11180.0,11250.0,198986.0488288,2243385008.706063
2021-04-06 16:00:00,11250.0,11520.0,11210.0,11370.0,175780.74952702,1998317204.774376
2021-04-06 17:00:00,11370.0,11370.0,10810.0,10870.0,347955.31671351,3857066440.7674246
2021-04-06 18:00:00,10870.0,11110.0,10870.0,10970.0,193870.45559054,2133089642.2753358
2021-04-06 19:00:00,10970.0,10980.0,10590.0,10950.0,388901.09905879,4187661882.8870034
2021-04-06 20:00:00,10600.0,11050.0,9995.0,10660.0,851811.83186172,8783243023.93551
2021-04-06 21:00:00,10650.0,10850.0,10380.0,10570.0,277958.23507732,2974979962.1487446
2021-04-06 22:00:00,10570.0,10650.0,10390.0,10400.0,289698.54911867,3043492351.6465087
2021-04-06 23:00:00,10400.0,10420.0,10010.0,10400.0,265301.38189294,2709713066.582195
2021-04-07 00:00:00,10400.0,10580.0,10240.0,10430.0,91738.63868933,952096924.9964592
2021-04-07 01:00:00,10410.0,10670.0,10300.0,10450.0,142587.45800678,1493386399.1800065
2021-04-07 02:00:00,10450.0,10670.0,10310.0,10660.0,47948.84286936,501860737.4369941
2021-04-07 03:00:00,10660.0,10690.0,10450.0,10500.0,22596.2873384,239239044.8430635
2021-04-07 04:00:00,10500.0,10670.0,10400.0,10530.0,27836.01537668,292194785.594888
2021-04-07 05:00:00,10530.0,10590.0,10350.0,10480.0,32129.35878258,336106325.6640249
2021-04-07 06:00:00,10470.0,10500.0,10290.0,10430.0,65102.28922543,675191795.5389915
2021-04-07 07:00:00,10370.0,10550.0,10250.0,10420.0,109266.26587642,1134831462.687953
2021-04-07 08:00:00,10430.0,10640.0,10320.0,10380.0,188727.84898892,1975299906.225741
2021-04-07 09:00:00,10380.0,10550.0,9495.0,9930.0,699961.30111307,6934627134.890492
2021-04-07 10:00:00,9930.0,10570.0,9850.0,10030.0,555325.04800405,5643854586.011152
2021-04-07 11:00:00,10030.0,11330.0,10020.0,10610.0,1168448.4565367,12502350551.62349
2021-04-07 12:00:00,10600.0,11000.0,10140.0,10160.0,394561.13008615,4164347558.5137386
2021-04-07 13:00:00,10170.0,10210.0,9600.0,10040.0,376213.37994425,3738039285.005038
2021-04-07 14:00:00,10040.0,10800.0,9950.0,10500.0,650104.27491239,6769651379.61718
2021-04-07 15:00:00,10470.0,10610.0,9000.0,9020.0,512817.23112636,5033102892.9528885
2021-04-07 16:00:00,9020.0,9125.0,7170.0,9100.0,637198.15593394,5423451511.232187
2021-04-07 17:00:00,9100.0,9375.0,8705.0,9110.0,157247.12137618,1421794978.6828084
