,open,high,low,close,volume,value
2020-08-05 14:00:00,33.5,110.0,33.5,76.5,612878271.5034941,43224313101.38893
2020-08-05 15:00:00,76.5,79.0,69.1,74.5,209511721.94058502,15287089264.906504
2020-08-05 16:00:00,74.6,76.0,58.6,66.8,299641025.14461946,19858434998.43035
2020-08-05 17:00:00,66.9,67.4,61.5,64.5,97090795.91053724,6210144806.339995
2020-08-05 18:00:00,64.6,65.1,59.6,60.6,36761740.98268192,2291209443.6994905
2020-08-05 19:00:00,60.6,61.2,54.1,57.8,77379866.723091,4393949093.72584
2020-08-05 20:00:00,57.8,59.2,55.4,57.4,46612867.6074617,2665137580.3315454
2020-08-05 21:00:00,57.4,61.4,56.5,59.1,67289546.1549137,3969269045.737751
2020-08-05 22:00:00,59.1,59.3,56.8,57.6,25249435.41751564,1462304240.977421
2020-08-05 23:00:00,57.5,57.7,55.7,57.3,15049815.11897912,853202037.5200094
2020-08-06 00:00:00,57.3,57.5,55.9,56.5,9765580.43822957,551437700.2544838
2020-08-06 01:00:00,56.5,56.5,51.4,52.3,13795733.61199564,746966447.6485739
2020-08-06 02:00:00,52.6,52.9,51.2,51.8,8639411.78257187,448883463.0986451
2020-08-06 03:00:00,51.7,53.9,51.2,53.8,3901705.32802679,204284125.3472157
2020-08-06 04:00:00,54.0,55.7,53.3,54.2,3108988.16521995,168227485.66722798
2020-08-06 05:00:00,54.2,54.4,53.4,53.9,1391141.14510728,74818380.44862527
2020-08-06 06:00:00,53.9,54.0,51.7,52.7,7550942.08918434,397475130.2079982
2020-08-06 07:00:00,52.8,53.6,52.1,52.6,9851309.96427531,522292852.64632195
2020-08-06 08:00:00,52.5,53.6,52.2,52.5,11924834.21135313,631160595.7637862
2020-08-06 09:00:00,52.8,55.4,49.3,49.9,55816230.16708965,2866898137.4865847
2020-08-06 10:00:00,49.8,49.9,46.9,48.5,28369807.55114638,1366307746.9234455
2020-08-06 11:00:00,48.5,50.1,48.0,49.2,12263495.85175913,602279450.1822163
2020-08-06 12:00:00,49.3,54.3,48.7,53.6,19654531.85084952,1021975864.147499
2020-08-06 13:00:00,53.6,53.6,50.4,50.9,15882368.23073094,823315212.2277852
2020-08-06 14:00:00,50.9,51.8,49.6,50.1,8954861.15249342,451745754.4593474
2020-08-06 15:00:00,50.1,53.9,50.0,53.1,8275958.3534029,424018757.02838343
2020-08-06 16:00:00,53.1,53.4,49.3,49.8,24879785.14050459,1268212479.2284925
2020-08-06 17:00:00,49.9,50.3,48.7,49.5,8481643.40118646,419748054.0703568
2020-08-06 18:00:00,49.3,49.4,48.4,48.7,5281445.22261915,257437134.6814827
2020-08-06 19:00:00,48.7,49.5,48.6,48.8,2898808.80592709,142135660.71510997
2020-08-06 20:00:00,48.9,49.7,48.7,49.7,1864039.10681918,91986827.56611726
2020-08-06 21:00:00,49.7,49.8,48.4,49.1,3279337.16010127,160778405.80694836
2020-08-06 22:00:00,49.0,49.6,48.6,49.0,2741007.33612286,134257583.1296653
2020-08-06 23:00:00,49.0,49.4,48.6,49.3,2246799.36424751,110179554.47995122
2020-08-07 00:00:00,49.3,49.5,47.7,48.4,4774225.71072222,231183848.8949738
2020-08-07 01:00:00,48.4,48.4,47.9,48.4,2085107.0068022,100452148.81970209
2020-08-07 02:00:00,48.4,48.6,48.2,48.6,484609.43044551,23480833.8154775
2020-08-07 03:00:00,48.6,49.4,48.6,49.3,978511.6794204,48012099.97458023
2020-08-07 04:00:00,49.3,49.4,48.6,49.1,512856.44180696,25104745.19285707
2020-08-07 05:00:00,49.1,49.3,48.7,49.3,654683.02582272,32154809.29979302
2020-08-07 06:00:00,49.3,50.7,49.0,49.8,3131488.19393697,157219840.5797661
2020-08-07 07:00:00,49.8,50.9,49.3,50.8,2563108.23056575,128972572.25148842
2020-08-07 08:00:00,50.8,51.2,49.4,50.3,3997960.10831856,201701306.67167592
2020-08-07 09:00:00,50.3,54.6,49.5,51.8,46633756.58934924,2474747974.9664664
2020-08-07 10:00:00,51.7,52.3,50.7,51.4,7254280.51611633,373838189.2854842
2020-08-07 11:00:00,51.4,51.4,50.0,50.5,4953667.71761148,249764931.38094977
2020-08-07 12:00:00,50.6,50.6,50.1,50.3,2675224.97330157,134558265.4309445
2020-08-07 13:00:00,50.5,50.8,50.3,50.4,1933377.41463372,97617740.52775978
2020-08-07 14:00:00,50.4,50.4,49.6,50.0,4059379.0773059,203395513.77034697
2020-08-07 15:00:00,50.0,50.0,48.7,49.2,4942290.25815666,243727095.51649746
2020-08-07 16:00:00,49.4,49.5,48.9,49.2,1461202.67410816,71762990.24273431
2020-08-07 17:00:00,49.3,49.6,49.2,49.5,1822070.3996347,90111668.7689943
2020-08-07 18:00:00,49.4,49.5,49.0,49.2,2148571.82510208,105844837.84839118
2020-08-07 19:00:00,49.1,49.6,49.0,49.5,2171576.00800386,106872932.62949973
2020-08-07 20:00:00,49.6,50.9,49.4,50.4,5606546.33937448,280128272.8221596
2020-08-07 21:00:00,50.4,50.6,49.0,49.2,6197784.82792026,307405625.9349845
2020-08-07 22:00:00,49.5,49.7,49.0,49.3,2451278.78159865,120666910.6337226
2020-08-07 23:00:00,49.3,49.7,48.8,49.2,1803876.66145344,88411480.7114576
2020-08-08 00:00:00,49.2,50.3,48.7,49.4,2600133.44220382,128262444.62164673
2020-08-08 01:00:00,49.5,49.5,48.8,48.9,415106.63865712,20400850.4749549
2020-08-08 02:00:00,49.1,49.7,48.5,48.8,2028621.0273543,99393869.72509748
2020-08-08 03:00:00,47.3,49.7,47.2,48.4,3872886.23706135,186054603.52730075
2020-08-08 04:00:00,48.5,48.6,47.2,48.6,101141.11001868,4870146.40116931
2020-08-08 05:00:00,48.6,48.8,48.4,48.8,18364.25675233,893859.49248322
2020-08-08 06:00:00,48.8,48.8,48.4,48.5,121530.22885539,5889940.33971106
2020-08-08 07:00:00,48.4,48.8,48.2,48.3,861778.42676917,41848417.6003656
2020-08-08 08:00:00,48.3,49.2,47.0,49.1,3233534.20664717,156283828.4418199
2020-08-08 09:00:00,49.0,49.1,46.5,47.7,4608281.78162256,220434569.9772128
2020-08-08 10:00:00,47.7,48.0,46.6,47.3,9987678.45690334,472390366.0902839
2020-08-08 11:00:00,47.3,48.3,46.4,47.1,4093223.80861555,192880971.0738593
2020-08-08 12:00:00,47.0,47.2,46.6,47.0,2339115.64742234,109625183.83506498
2020-08-08 13:00:00,47.0,47.7,46.6,47.5,3139488.3802579,147985802.45355362
2020-08-08 14:00:00,47.5,47.9,46.9,47.0,2435784.3503565,115102673.26135144
2020-08-08 15:00:00,47.1,47.6,46.0,46.7,8202801.46933778,383159426.69637036
2020-08-08 16:00:00,46.7,47.0,46.2,46.5,5706070.62161052,265156681.3040155
2020-08-08 17:00:00,46.3,47.1,46.3,46.6,3949306.16439569,183853308.63982898
2020-08-08 18:00:00,46.5,46.9,46.3,46.8,3051045.52150474,142095100.2318565
2020-08-08 19:00:00,46.7,47.2,46.5,46.9,4083775.17903791,191369173.39449012
2020-08-08 20:00:00,46.8,47.3,46.8,46.9,4617598.24558422,216990399.0590864
2020-08-08 21:00:00,47.0,47.3,46.5,46.7,10894151.99376388,509695197.6362081
2020-08-08 22:00:00,46.7,46.9,46.5,46.7,2974347.94148171,138830727.5880179
2020-08-08 23:00:00,46.6,46.8,46.4,46.7,1793788.10672751,83527570.0995182
2020-08-09 00:00:00,46.6,46.8,46.3,46.7,4389289.70185249,204030682.74057004
2020-08-09 01:00:00,46.8,46.9,46.3,46.9,4408424.11259859,205429456.11580127
2020-08-09 02:00:00,46.8,47.9,46.5,47.3,7567019.3663717,358110386.30420834
2020-08-09 03:00:00,47.3,47.8,46.7,47.5,1365623.79439552,64431025.40658582
2020-08-09 04:00:00,47.5,48.1,46.9,47.8,4088400.55041576,194443827.6451717
2020-08-09 05:00:00,47.8,48.2,47.2,47.7,3709404.06317312,177237063.91749084
2020-08-09 06:00:00,47.7,48.2,47.7,47.9,1516515.06735296,72647851.20701744
2020-08-09 07:00:00,47.9,48.1,47.6,48.0,1712651.44289398,82000772.52636963
2020-08-09 08:00:00,48.1,49.8,47.9,49.3,7765824.67973509,379422680.9367444
2020-08-09 09:00:00,49.4,49.8,47.0,47.7,13996541.83794195,672458447.0159874
2020-08-09 10:00:00,47.7,49.2,47.5,48.2,13792730.31493521,665916996.9671448
2020-08-09 11:00:00,48.1,48.2,47.5,47.7,7285528.23401862,348328534.22706383
2020-08-09 12:00:00,47.7,48.1,47.6,47.8,2854545.83007901,136375862.39400935
