,open,high,low,close,volume,value
2019-10-04 12:00:00,0.0005,0.00051,0.0005,0.00051,11732353200.03486,5880787.03214813
2019-10-04 13:00:00,0.00051,0.00051,0.00049,0.00049,615062143223.6041,307723521.0745099
2019-10-04 14:00:00,0.00049,0.00051,0.00049,0.00051,587339100311.288,291458225.5951803
2019-10-04 15:00:00,0.0005,0.00051,0.00049,0.00049,759592044315.8575,376513578.85153115
2019-10-04 16:00:00,0.0005,0.00051,0.00049,0.0005,217742467881.85373,108859078.81408222
2019-10-04 17:00:00,0.00051,0.00051,0.00049,0.00049,133018323840.62778,66427434.39934688
2019-10-04 18:00:00,0.00049,0.00051,0.00049,0.0005,181039174059.88986,90519358.9897348
2019-10-04 19:00:00,0.00051,0.00051,0.0005,0.00051,51668547506.97984,25910398.52221153
2019-10-04 20:00:00,0.00051,0.00051,0.0005,0.00051,25331562589.02802,12704207.86775612
2019-10-04 21:00:00,0.00051,0.00051,0.0005,0.00051,4558990485.25266,2282004.72338096
2019-10-04 22:00:00,0.00051,0.00051,0.0005,0.0005,13382518671.65199,6701985.61974287
2019-10-04 23:00:00,0.00051,0.00051,0.0005,0.00051,24381352458.62797,12320717.1546858
2019-10-05 00:00:00,0.00051,0.00051,0.0005,0.00051,66405501839.87931,33782396.35844298
2019-10-05 01:00:00,0.00051,0.00052,0.0005,0.00052,625670358725.2767,321614674.12272227
2019-10-05 02:00:00,0.00051,0.00052,0.00051,0.00051,165565258561.988,86049184.32735369
2019-10-05 03:00:00,0.00052,0.00053,0.00051,0.00051,727997675546.7075,378518800.5230802
2019-10-05 04:00:00,0.00052,0.00053,0.00051,0.00052,395466682471.2507,204457617.74481592
2019-10-05 05:00:00,0.00052,0.00052,0.00051,0.00052,6993699790.16766,3582154.44326499
2019-10-05 06:00:00,0.00052,0.00052,0.00051,0.00051,12408204288.49331,6349443.05578303
2019-10-05 07:00:00,0.00052,0.00052,0.00051,0.00052,9390777160.86672,4813859.66808418
2019-10-05 08:00:00,0.00052,0.00052,0.00051,0.00051,114669983695.49297,58548467.05683461
2019-10-05 09:00:00,0.00052,0.00052,0.0005,0.00051,159137133877.28848,80823706.82130973
2019-10-05 10:00:00,0.00051,0.00051,0.0005,0.00051,145559735533.1149,74051427.8028721
2019-10-05 11:00:00,0.00051,0.00051,0.0005,0.00051,63094862377.38735,32174840.38092684
2019-10-05 12:00:00,0.0005,0.00051,0.0005,0.0005,52591486414.51963,26673829.09944958
2019-10-05 13:00:00,0.00051,0.00051,0.0005,0.00051,61001627105.53852,31091393.19585225
2019-10-05 14:00:00,0.00051,0.00052,0.00051,0.00052,266800636637.87433,136080771.75637406
2019-10-05 15:00:00,0.00052,0.00052,0.00051,0.00052,156802518384.66788,81318325.1165498
2019-10-05 16:00:00,0.00052,0.00052,0.00051,0.00052,145004280437.6959,74920597.0266866
2019-10-05 17:00:00,0.00051,0.00052,0.0005,0.00051,402940601675.4715,205312145.046992
2019-10-05 18:00:00,0.0005,0.00051,0.0005,0.0005,39023196463.10518,19742665.88694019
2019-10-05 19:00:00,0.00051,0.00051,0.0005,0.0005,7069966197.60285,3574781.1902363
2019-10-05 20:00:00,0.00051,0.00051,0.0005,0.0005,19347845172.10919,9866585.51130816
2019-10-05 21:00:00,0.00051,0.00051,0.0005,0.0005,35330085516.19144,17798930.68639631
2019-10-05 22:00:00,0.0005,0.00051,0.0005,0.0005,62515441178.93643,31435876.250105
2019-10-05 23:00:00,0.00051,0.00051,0.0005,0.0005,102505002194.30128,52215961.00947492
2019-10-06 00:00:00,0.00051,0.00051,0.0005,0.0005,43071356285.09272,21538442.11313461
2019-10-06 01:00:00,0.00051,0.00051,0.0005,0.00051,17824659894.60167,9016825.6170056
2019-10-06 02:00:00,0.0005,0.00051,0.0005,0.00051,30398860358.50525,15425957.51521165
2019-10-06 03:00:00,0.00051,0.00052,0.0005,0.00051,83503499148.33032,42586770.98361927
2019-10-06 04:00:00,0.00051,0.00051,0.00051,0.00051,1411758921.56861,719997.05
2019-10-06 05:00:00,0.00051,0.00052,0.0005,0.00052,84797994078.534,43264410.29244464
2019-10-06 06:00:00,0.00051,0.00052,0.00051,0.00051,46745389930.81884,23840188.60703973
2019-10-06 07:00:00,0.00051,0.00052,0.00051,0.00051,27106770095.36096,13825193.59052083
2019-10-06 08:00:00,0.00052,0.00052,0.00051,0.00052,22323073703.30968,11390725.49061102
2019-10-06 09:00:00,0.00052,0.00052,0.00051,0.00052,74057621717.22473,37821088.9767715
2019-10-06 10:00:00,0.00051,0.00052,0.00051,0.00051,97225800150.12045,49683160.26520847
2019-10-06 11:00:00,0.00051,0.00052,0.00051,0.00052,48169335551.47013,24569725.68488064
2019-10-06 12:00:00,0.00051,0.00052,0.00051,0.00051,33586291084.82726,17406289.47563053
2019-10-06 13:00:00,0.00051,0.00052,0.00051,0.00052,43958592823.42114,22463030.93536583
2019-10-06 14:00:00,0.00052,0.00052,0.00051,0.00052,91776451857.25006,46829663.08798963
2019-10-06 15:00:00,0.00051,0.00052,0.0005,0.00051,208719068199.2819,106343930.43527572
2019-10-06 16:00:00,0.0005,0.00051,0.0005,0.0005,7685604226.65482,3861465.54661079
2019-10-06 17:00:00,0.00051,0.00051,0.0005,0.0005,250949188268.85968,125502543.57497637
2019-10-06 18:00:00,0.0005,0.00051,0.00049,0.0005,227480608602.76276,113693899.24272361
2019-10-06 19:00:00,0.0005,0.0005,0.00049,0.00049,69413306521.00977,34441363.35150872
2019-10-06 20:00:00,0.0005,0.00051,0.00049,0.00049,153175411089.9121,76518155.43922444
2019-10-06 21:00:00,0.0005,0.00051,0.0005,0.0005,92066266877.3606,46033205.37789608
2019-10-06 22:00:00,0.0005,0.00051,0.00049,0.00049,108284429268.60393,53751208.82487792
2019-10-06 23:00:00,0.00049,0.0005,0.00049,0.0005,22734056643.99102,11296304.61631388
2019-10-07 00:00:00,0.0005,0.00051,0.00049,0.0005,164377091365.8852,82095155.865343
2019-10-07 01:00:00,0.0005,0.0005,0.00049,0.00049,36176892492.9049,18083004.24438887
2019-10-07 02:00:00,0.0005,0.0005,0.00049,0.0005,77446293703.7614,38723135.74188073
2019-10-07 03:00:00,0.0005,0.0005,0.00049,0.00049,61452782407.73558,30172014.65119224
2019-10-07 04:00:00,0.00049,0.0005,0.00049,0.0005,1774454000.87883,869515.79043063
2019-10-07 05:00:00,0.0005,0.0005,0.00049,0.0005,5469145489.25535,2734552.73462769
2019-10-07 06:00:00,0.00049,0.0005,0.00049,0.0005,18601752624.74102,9127795.5361231
2019-10-07 07:00:00,0.00049,0.0005,0.00049,0.0005,13549392479.13624,6693462.13486673
2019-10-07 08:00:00,0.00049,0.0005,0.00049,0.0005,26213281368.08914,12890435.67876698
2019-10-07 09:00:00,0.0005,0.0005,0.00048,0.00049,435752998411.46967,213068295.04902995
2019-10-07 10:00:00,0.00049,0.0005,0.00048,0.00049,120473889985.4192,59030185.3928554
2019-10-07 11:00:00,0.00049,0.0005,0.00049,0.0005,84415605572.38602,41366551.71604137
2019-10-07 12:00:00,0.00049,0.00051,0.00049,0.0005,346978320070.9909,172629657.5142878
2019-10-07 13:00:00,0.00051,0.00051,0.00049,0.0005,203227527307.3889,101613960.94781223
2019-10-07 14:00:00,0.0005,0.0005,0.00049,0.00049,38626026623.32251,18961926.08628261
2019-10-07 15:00:00,0.00049,0.0005,0.00049,0.0005,21369152005.59289,10631941.77830026
2019-10-07 16:00:00,0.0005,0.0005,0.00049,0.0005,78095001187.2886,39020422.16564767
2019-10-07 17:00:00,0.0005,0.00051,0.0005,0.00051,257733741887.81677,128969059.00197372
2019-10-07 18:00:00,0.0005,0.00051,0.00049,0.00051,87395698501.36536,43714491.90750388
2019-10-07 19:00:00,0.0005,0.00051,0.0005,0.0005,246663049959.2839,124382458.57609066
2019-10-07 20:00:00,0.00051,0.00053,0.0005,0.00052,1374083609990.7168,711487322.1238203
2019-10-07 21:00:00,0.00051,0.00053,0.00051,0.00051,782867695958.4669,407175560.8975179
2019-10-07 22:00:00,0.00051,0.00053,0.00051,0.00052,236448944452.79886,122229289.23162651
2019-10-07 23:00:00,0.00052,0.00052,0.00051,0.00052,51221704690.79251,26608938.7054235
2019-10-08 00:00:00,0.00051,0.00052,0.00051,0.00051,21528411241.97778,11137465.88276932
2019-10-08 01:00:00,0.00052,0.00052,0.00051,0.00052,181675344174.7468,93965470.06246333
2019-10-08 02:00:00,0.00052,0.00053,0.00051,0.00052,229906871914.91772,119576480.95247844
2019-10-08 03:00:00,0.00053,0.00053,0.00051,0.00051,40227989774.80567,20919249.32891643
2019-10-08 04:00:00,0.00052,0.00052,0.00051,0.00051,110805459462.19873,57617632.46975509
2019-10-08 05:00:00,0.00052,0.00052,0.00052,0.00052,24228336673.24988,12598735.07008992
2019-10-08 06:00:00,0.00052,0.00052,0.00051,0.00051,33575590109.13417,17306688.34470585
2019-10-08 07:00:00,0.00052,0.00053,0.00052,0.00052,79775686939.85481,41542350.66861026
2019-10-08 08:00:00,0.00052,0.00053,0.00051,0.00051,160422443732.76093,83366249.47471534
2019-10-08 09:00:00,0.00052,0.00053,0.00051,0.00052,177109962820.7238,91875043.21834347
2019-10-08 10:00:00,0.00051,0.00053,0.00051,0.00052,98348533824.38213,51151430.22991623
2019-10-08 11:00:00,0.00052,0.00055,0.00052,0.00054,1174445160287.1816,626005853.9218515
2019-10-08 12:00:00,0.00054,0.00054,0.00053,0.00054,404537223991.8812,217304293.0304887
2019-10-08 13:00:00,0.00053,0.00055,0.00052,0.00053,1123644397837.916,603216159.2249558
2019-10-08 14:00:00,0.00053,0.00053,0.00052,0.00053,264711832149.25418,138626611.9853036
2019-10-08 15:00:00,0.00052,0.00053,0.00052,0.00053,67657679613.31837,35290720.02134104
2019-10-08 16:00:00,0.00053,0.00053,0.00051,0.00052,282303069494.3171,146743634.18685126
2019-10-08 17:00:00,0.00052,0.00052,0.00051,0.00052,168239480830.07742,86019431.52502607
2019-10-08 18:00:00,0.00051,0.00052,0.00051,0.00052,36381758843.4902,18842034.76972255
2019-10-08 19:00:00,0.00052,0.00052,0.00051,0.00051,148973351917.85007,77247071.47344089
2019-10-08 20:00:00,0.00052,0.00053,0.00051,0.00051,197788694969.63553,102618086.66178726
2019-10-08 21:00:00,0.00052,0.00053,0.00051,0.00052,83418228006.97707,43381990.33302809
2019-10-08 22:00:00,0.00053,0.00053,0.00051,0.00052,127142946805.96893,66106384.98105682
2019-10-08 23:00:00,0.00052,0.00053,0.00051,0.00052,92992726840.89867,48389423.91181341
2019-10-09 00:00:00,0.00053,0.00053,0.00051,0.00052,79014625801.45976,41089423.48827052
2019-10-09 01:00:00,0.00052,0.00052,0.00051,0.00052,41448988633.76435,21535178.92732624
2019-10-09 02:00:00,0.00052,0.00052,0.00051,0.00052,8034688919.79379,4105433.86245354
2019-10-09 03:00:00,0.00052,0.00052,0.00051,0.00051,6586194653.38554,3406802.27980026
2019-10-09 04:00:00,0.00052,0.00052,0.00051,0.00052,116946774950.40305,60658121.7126784
2019-10-09 05:00:00,0.00052,0.00052,0.00051,0.00052,39319681742.16847,20435148.27166373
2019-10-09 06:00:00,0.00051,0.00052,0.00051,0.00052,16780095087.73565,8717845.98681416
2019-10-09 07:00:00,0.00052,0.00052,0.00051,0.00052,92760079383.42148,48167911.19515305
2019-10-09 08:00:00,0.00052,0.00053,0.00051,0.00052,201208605010.52283,104634706.98556468
2019-10-09 09:00:00,0.00052,0.00053,0.00051,0.00051,222253935203.49243,115620155.98989213
2019-10-09 10:00:00,0.00051,0.00052,0.00051,0.00052,82534055708.32945,42894825.75805837
2019-10-09 11:00:00,0.00052,0.00052,0.00051,0.00051,43873267590.96514,22532229.95204413
2019-10-09 12:00:00,0.00052,0.00052,0.00051,0.00051,68116377920.43557,35281410.32296138
2019-10-09 13:00:00,0.00052,0.00053,0.00051,0.00052,88548414227.85658,46041917.71866787
2019-10-09 14:00:00,0.00052,0.00053,0.00052,0.00053,35534993617.89648,18682517.77945469
2019-10-09 15:00:00,0.00053,0.00055,0.00052,0.00054,1053408305322.5897,564925687.0043346
2019-10-09 16:00:00,0.00054,0.00054,0.00052,0.00054,598992024473.9243,318958964.1866025
2019-10-09 17:00:00,0.00053,0.00054,0.00052,0.00053,339095847628.8663,179655778.07818165
2019-10-09 18:00:00,0.00053,0.00056,0.00053,0.00055,1592864662075.008,870578257.6761913
2019-10-09 19:00:00,0.00055,0.00056,0.00054,0.00055,340080514410.97424,187201989.1938537
2019-10-09 20:00:00,0.00055,0.00056,0.00054,0.00055,370942618003.33575,204222710.15558517
2019-10-09 21:00:00,0.00056,0.00056,0.00055,0.00055,280846189393.28314,156439630.58853242
2019-10-09 22:00:00,0.00056,0.00057,0.00055,0.00057,485996940910.55853,272017525.83581614
2019-10-09 23:00:00,0.00057,0.00057,0.00054,0.00056,731646408901.9384,406074909.57790005
2019-10-10 00:00:00,0.00055,0.00056,0.00053,0.00055,750800097313.5471,406416626.69281614
2019-10-10 01:00:00,0.00054,0.00055,0.00054,0.00054,10652097846.19552,5759715.60662066
2019-10-10 02:00:00,0.00054,0.00055,0.00053,0.00054,256828992704.32434,138650138.12086385
2019-10-10 03:00:00,0.00054,0.00055,0.00053,0.00054,62588406287.92111,33809181.82813592
2019-10-10 04:00:00,0.00054,0.00055,0.00054,0.00054,14517670330.9933,7914076.85675194
2019-10-10 05:00:00,0.00055,0.00055,0.00054,0.00054,38698824210.66092,20982199.47291187
2019-10-10 06:00:00,0.00054,0.00055,0.00054,0.00054,44239036523.27041,23902354.69170562
2019-10-10 07:00:00,0.00054,0.00055,0.00054,0.00054,45537515409.18277,24776695.65351907
2019-10-10 08:00:00,0.00055,0.00055,0.00054,0.00054,24681405064.88134,13388954.01903029
2019-10-10 09:00:00,0.00055,0.00057,0.00054,0.00056,1416538377420.033,798100247.1827564
2019-10-10 10:00:00,0.00057,0.00058,0.00055,0.00056,1301891089095.7966,735898802.2504884
2019-10-10 11:00:00,0.00056,0.00056,0.00055,0.00056,269260296270.04135,150553368.12895754
2019-10-10 12:00:00,0.00056,0.00057,0.00055,0.00056,502621361435.8955,281155394.0296238
2019-10-10 13:00:00,0.00056,0.00056,0.00054,0.00055,435464448957.18494,239608713.55871955
2019-10-10 14:00:00,0.00055,0.00056,0.00054,0.00055,365016673536.2829,200293607.90965557
2019-10-10 15:00:00,0.00054,0.00055,0.00054,0.00055,111850853335.24922,61130418.40726778
2019-10-10 16:00:00,0.00055,0.00056,0.00054,0.00054,185050245271.0845,101754943.37586898
2019-10-10 17:00:00,0.00055,0.00055,0.00054,0.00055,106302772569.43353,58127137.22713093
2019-10-10 18:00:00,0.00055,0.00055,0.00053,0.00054,391542737976.7587,211089037.39129353
2019-10-10 19:00:00,0.00054,0.00054,0.00053,0.00054,211002853484.38306,112604729.89848079
2019-10-10 20:00:00,0.00053,0.00054,0.00053,0.00054,36371301150.43914,19293455.95773592
2019-10-10 21:00:00,0.00053,0.00054,0.00053,0.00054,44127502849.06266,23463249.99842571
2019-10-10 22:00:00,0.00054,0.00054,0.00053,0.00054,55236744017.73367,29350612.08173732
2019-10-10 23:00:00,0.00053,0.00054,0.00053,0.00053,11652448997.78436,6275882.52291184
2019-10-11 00:00:00,0.00054,0.00054,0.00053,0.00054,48075401077.75065,25614078.63276676
2019-10-11 01:00:00,0.00054,0.00054,0.00053,0.00053,130520486999.1067,70439669.30042335
2019-10-11 02:00:00,0.00054,0.00054,0.00053,0.00054,1239225379.63712,658954.55184866
2019-10-11 03:00:00,0.00054,0.00054,0.00053,0.00053,17565881268.34484,9334946.84862586
2019-10-11 04:00:00,0.00053,0.00054,0.00053,0.00054,17362192017.69432,9372634.40697125
2019-10-11 05:00:00,0.00054,0.00055,0.00054,0.00054,160559245827.2917,86704618.64673752
2019-10-11 06:00:00,0.00054,0.00055,0.00053,0.00054,77528747069.94984,41890530.01490877
2019-10-11 07:00:00,0.00055,0.00055,0.00054,0.00054,95117812525.9479,51451238.46864203
2019-10-11 08:00:00,0.00055,0.00055,0.00054,0.00055,46486649903.99308,25330562.30104883
2019-10-11 09:00:00,0.00054,0.00055,0.00053,0.00054,218509023155.4033,117892834.69038838
2019-10-11 10:00:00,0.00053,0.00054,0.00053,0.00053,18526980619.45578,9905449.18953634
2019-10-11 11:00:00,0.00053,0.00054,0.00053,0.00054,24147958738.50592,13020688.4636897
2019-10-11 12:00:00,0.00054,0.00055,0.00053,0.00054,112182409093.7709,60526787.38397264
2019-10-11 13:00:00,0.00055,0.00055,0.00054,0.00054,107568908736.94167,58088119.17094909
2019-10-11 14:00:00,0.00055,0.00055,0.00052,0.00053,457066248392.3957,242071495.45587614
2019-10-11 15:00:00,0.00053,0.00053,0.00052,0.00052,77144856070.54555,40377483.22275112
2019-10-11 16:00:00,0.00052,0.00053,0.00052,0.00052,14912434443.34925,7781813.70026758
2019-10-11 17:00:00,0.00053,0.00053,0.00052,0.00053,118134159078.68025,61510134.7098243
2019-10-11 18:00:00,0.00053,0.00053,0.00052,0.00053,34958481958.37995,18416472.93715548
2019-10-11 19:00:00,0.00052,0.00053,0.00052,0.00053,155738885354.1351,82312271.11067379
2019-10-11 20:00:00,0.00053,0.00053,0.00052,0.00053,43788368905.23802,22782534.01203708
2019-10-11 21:00:00,0.00053,0.00053,0.00052,0.00053,17079222954.34796,8965538.87766562
2019-10-11 22:00:00,0.00052,0.00053,0.00052,0.00053,50932643548.45742,26837270.19741111
2019-10-11 23:00:00,0.00053,0.00053,0.00052,0.00053,49697482170.01274,26299372.91603238
