,open,high,low,close,volume,value
2021-06-24 20:45:00,11640.0,11680.0,11560.0,11610.0,4628.89157877,53739242.0943219
2021-06-24 21:00:00,11620.0,11770.0,11620.0,11710.0,4320.91750316,50704820.8877728
2021-06-24 21:15:00,11720.0,11760.0,11680.0,11680.0,4963.19146337,58149732.4564189
2021-06-24 21:30:00,11710.0,11730.0,11610.0,11650.0,4312.62774791,50276820.867862
2021-06-24 21:45:00,11650.0,11760.0,11650.0,11700.0,874.97861476,10244179.9658084
2021-06-24 22:00:00,11710.0,11710.0,11580.0,11620.0,2832.75602785,32990394.6981834
2021-06-24 22:15:00,11640.0,11640.0,11540.0,11630.0,2114.66609214,24472919.6478538
2021-06-24 22:30:00,11600.0,11700.0,11600.0,11700.0,2740.66544151,31978481.0197106
2021-06-24 22:45:00,11690.0,11730.0,11610.0,11710.0,2186.77731617,25500058.9801293
2021-06-24 23:00:00,11730.0,11770.0,11600.0,11600.0,2602.19253047,30270691.1549694
2021-06-24 23:15:00,11650.0,11810.0,11640.0,11810.0,2245.01953307,26349614.3162237
2021-06-24 23:30:00,11780.0,12110.0,11780.0,11970.0,14838.94678879,178252109.6261221
2021-06-24 23:45:00,11960.0,11990.0,11890.0,11990.0,2268.78609976,27115106.5372335
2021-06-25 00:00:00,11970.0,12100.0,11920.0,12000.0,1819.79927794,21907624.847499
2021-06-25 00:15:00,12010.0,12050.0,11940.0,12040.0,1722.83222242,20670505.7561548
2021-06-25 00:30:00,12040.0,12110.0,11990.0,11990.0,1996.37864343,24046601.4047657
2021-06-25 00:45:00,12040.0,12040.0,11910.0,11920.0,1642.08573746,19603412.5515526
2021-06-25 01:00:00,11950.0,12090.0,11840.0,11860.0,3718.29897802,44404581.0846014
2021-06-25 01:15:00,11900.0,11980.0,11860.0,11910.0,675.98752209,8043019.9694778
2021-06-25 01:30:00,11960.0,12060.0,11960.0,12010.0,985.22633265,11814793.1331088
2021-06-25 01:45:00,12040.0,12060.0,11980.0,12060.0,409.58823522,4936349.9661148
2021-06-25 02:00:00,12060.0,12110.0,11970.0,12050.0,4001.39871144,48173960.2552225
2021-06-25 02:15:00,12020.0,12080.0,11930.0,12000.0,7418.50076159,89002463.9834972
2021-06-25 02:30:00,12000.0,12050.0,11980.0,12020.0,1321.36956226,15875321.3825511
2021-06-25 02:45:00,12010.0,12020.0,11910.0,12010.0,1758.46766452,21086228.6232162
2021-06-25 03:00:00,12020.0,12080.0,12020.0,12060.0,2427.73786324,29261395.7759594
2021-06-25 03:15:00,12060.0,12120.0,12050.0,12120.0,5580.71054683,67489149.2335046
2021-06-25 03:30:00,12100.0,12100.0,12010.0,12070.0,1624.02503296,19526671.7053736
2021-06-25 03:45:00,12070.0,12130.0,12060.0,12130.0,787.09730969,9535974.3334666
2021-06-25 04:00:00,12130.0,12130.0,12090.0,12110.0,1541.1532965,18669000.3387318
2021-06-25 04:15:00,12120.0,12120.0,12070.0,12080.0,495.30585824,5985543.314072
2021-06-25 04:30:00,12080.0,12130.0,12050.0,12100.0,639.86920752,7736906.9948088
2021-06-25 04:45:00,12090.0,12100.0,12040.0,12100.0,523.0152475,6299978.7757642
2021-06-25 05:00:00,12100.0,12320.0,12100.0,12280.0,18474.25048283,225402618.6019085
2021-06-25 05:15:00,12280.0,12320.0,12250.0,12300.0,4066.35088772,49935545.5631442
2021-06-25 05:30:00,12300.0,12380.0,12270.0,12340.0,2543.83782508,31341794.6110139
2021-06-25 05:45:00,12340.0,12360.0,12270.0,12320.0,1488.61670783,18329896.5567204
2021-06-25 06:00:00,12300.0,12360.0,12260.0,12350.0,1925.94908547,23758507.4545146
2021-06-25 06:15:00,12350.0,12360.0,12300.0,12340.0,2197.22139806,27060209.1413886
2021-06-25 06:30:00,12300.0,12380.0,12280.0,12300.0,1483.03887408,18293129.823799
2021-06-25 06:45:00,12300.0,12330.0,12200.0,12210.0,1019.718976,12498796.28732
2021-06-25 07:00:00,12220.0,12240.0,12100.0,12140.0,5464.34799893,66523155.892739
2021-06-25 07:15:00,12130.0,12140.0,11960.0,12040.0,3593.07264827,43274272.3894204
2021-06-25 07:30:00,12040.0,12040.0,11960.0,12010.0,785.50137583,9429655.4858824
2021-06-25 07:45:00,12010.0,12030.0,11850.0,12000.0,2286.50040515,27298258.9249967
2021-06-25 08:00:00,12000.0,12030.0,11870.0,11950.0,1329.84108192,15874683.9497772
2021-06-25 08:15:00,11940.0,12080.0,11930.0,12040.0,667.60655152,8015599.2684697
2021-06-25 08:30:00,12040.0,12070.0,11920.0,11920.0,3137.00074211,37618808.5533144
2021-06-25 08:45:00,11920.0,12010.0,11920.0,12010.0,1464.04317724,17506613.9043264
2021-06-25 09:00:00,12020.0,12250.0,12000.0,12160.0,13909.84570723,169420037.2856219
2021-06-25 09:15:00,12160.0,12350.0,12110.0,12330.0,8250.97257541,100841000.6692794
2021-06-25 09:30:00,12310.0,12390.0,12290.0,12390.0,6758.26129436,83343680.967539
2021-06-25 09:45:00,12380.0,12390.0,12020.0,12020.0,16448.33645151,200842370.8253326
2021-06-25 10:00:00,12020.0,12040.0,11830.0,11890.0,13282.324057,157843985.0148776
2021-06-25 10:15:00,11890.0,11990.0,11860.0,11880.0,4879.30773948,58141276.4147173
2021-06-25 10:30:00,11880.0,12120.0,11880.0,12120.0,8777.15347159,105692588.4751514
2021-06-25 10:45:00,12120.0,12240.0,12050.0,12240.0,7659.6280563,93176818.1293232
2021-06-25 11:00:00,12220.0,12220.0,12000.0,12010.0,7823.25412283,94362715.147462
2021-06-25 11:15:00,12020.0,12060.0,11910.0,11910.0,22207.89501452,266100202.5818842
2021-06-25 11:30:00,11910.0,11920.0,11810.0,11820.0,39367.82535535,467048609.8203409
2021-06-25 11:45:00,11820.0,11830.0,11700.0,11720.0,26351.80929175,309787635.9701416
2021-06-25 12:00:00,11720.0,11770.0,11610.0,11750.0,22263.11757609,260291569.5967439
2021-06-25 12:15:00,11750.0,11750.0,11650.0,11710.0,7012.69601207,81997038.0931566
2021-06-25 12:30:00,11700.0,11740.0,11660.0,11740.0,6868.02605308,80273872.9615196
2021-06-25 12:45:00,11740.0,11810.0,11730.0,11740.0,13891.1907598,163561844.8702757
2021-06-25 13:00:00,11750.0,11820.0,11660.0,11760.0,9881.62932088,116121626.3669005
2021-06-25 13:15:00,11800.0,11810.0,11710.0,11740.0,8515.73305859,100178870.0013718
2021-06-25 13:30:00,11730.0,11750.0,11650.0,11650.0,6530.08212842,76300305.4755992
2021-06-25 13:45:00,11660.0,11670.0,11640.0,11670.0,4682.74400695,54593199.2357156
