,open,high,low,close,volume,value
2019-10-06 21:00:00,3160.0,3205.0,3140.0,3185.0,9985.61780526,31823508.0002148
2019-10-06 22:00:00,3185.0,3190.0,3125.0,3125.0,6982.72984217,22112850.3523152
2019-10-06 23:00:00,3155.0,3155.0,3115.0,3155.0,1907.27763048,5950323.43650655
2019-10-07 00:00:00,3175.0,3250.0,3175.0,3220.0,6111.15712364,19749257.3629469
2019-10-07 01:00:00,3220.0,3230.0,3175.0,3180.0,8191.34767086,26199488.1347192
2019-10-07 02:00:00,3175.0,3220.0,3160.0,3160.0,4388.70142279,13877626.5662902
2019-10-07 03:00:00,3185.0,3185.0,3095.0,3130.0,5523.1948412,17237243.72537345
2019-10-07 04:00:00,3120.0,3135.0,3115.0,3135.0,18.19715244,57039.8946994
2019-10-07 05:00:00,3155.0,3155.0,3155.0,3155.0,0.01901743,59.99999165
2019-10-07 06:00:00,3170.0,3175.0,3170.0,3170.0,128.68897815,408030.1477317
2019-10-07 07:00:00,3205.0,3205.0,3155.0,3175.0,1417.90919651,4509335.73512935
2019-10-07 08:00:00,3170.0,3185.0,3130.0,3185.0,5037.8783502,15917166.592279
2019-10-07 09:00:00,3185.0,3185.0,3050.0,3110.0,11275.63912876,34812564.7329313
2019-10-07 10:00:00,3100.0,3105.0,3065.0,3080.0,1940.3954475,5975112.30857135
2019-10-07 11:00:00,3080.0,3090.0,3060.0,3065.0,9989.00757894,30664325.307571
2019-10-07 12:00:00,3075.0,3175.0,3075.0,3140.0,26759.42610136,84241227.28654575
2019-10-07 13:00:00,3140.0,3150.0,3120.0,3120.0,3703.43095224,11611493.2442511
2019-10-07 14:00:00,3125.0,3140.0,3100.0,3140.0,15970.01222187,49690020.231966
2019-10-07 15:00:00,3140.0,3140.0,3105.0,3140.0,1088.62438901,3412835.8722112
2019-10-07 16:00:00,3120.0,3140.0,3120.0,3125.0,10961.98490705,34291188.94890185
2019-10-07 17:00:00,3135.0,3155.0,3120.0,3140.0,10326.89442973,32380873.1147284
2019-10-07 18:00:00,3170.0,3175.0,3135.0,3175.0,4429.90166533,13969939.72230365
2019-10-07 19:00:00,3170.0,3210.0,3165.0,3200.0,4978.08768137,15906567.0109442
2019-10-07 20:00:00,3205.0,3240.0,3200.0,3240.0,4884.22618652,15735618.1283331
2019-10-07 21:00:00,3235.0,3290.0,3225.0,3260.0,15847.93331045,51424648.6358877
2019-10-07 22:00:00,3270.0,3325.0,3235.0,3265.0,15389.93278784,50607291.0671574
2019-10-07 23:00:00,3265.0,3265.0,3200.0,3235.0,19528.96261362,62874153.53971385
2019-10-08 00:00:00,3250.0,3325.0,3235.0,3305.0,18230.29258083,59733896.73576365
2019-10-08 01:00:00,3310.0,3370.0,3300.0,3370.0,4901.20009088,16426283.4245065
2019-10-08 02:00:00,3370.0,3500.0,3370.0,3500.0,15511.64735962,53590886.20770695
2019-10-08 03:00:00,3500.0,3515.0,3420.0,3430.0,9125.57584163,31889200.23544375
2019-10-08 04:00:00,3430.0,3445.0,3425.0,3430.0,208.0440619,715035.49482985
2019-10-08 05:00:00,3430.0,3450.0,3395.0,3395.0,555.48243179,1898623.40340065
2019-10-08 06:00:00,3450.0,3465.0,3420.0,3425.0,1126.22347903,3870855.77806495
2019-10-08 07:00:00,3430.0,3475.0,3390.0,3475.0,15276.09184943,52638957.03050125
2019-10-08 08:00:00,3480.0,3490.0,3415.0,3430.0,5669.47016916,19536475.44878545
2019-10-08 09:00:00,3430.0,3660.0,3430.0,3565.0,86029.51168313,307700159.3565326
2019-10-08 10:00:00,3575.0,3645.0,3545.0,3625.0,14777.48804889,53412631.77491765
2019-10-08 11:00:00,3640.0,3660.0,3545.0,3560.0,14967.08035405,53761979.00399895
2019-10-08 12:00:00,3570.0,3590.0,3525.0,3555.0,7773.12096968,27594163.6492977
2019-10-08 13:00:00,3570.0,3570.0,3515.0,3520.0,4588.87624167,16192069.40146055
2019-10-08 14:00:00,3515.0,3595.0,3485.0,3575.0,15233.85066173,53919842.72118735
2019-10-08 15:00:00,3570.0,3595.0,3495.0,3505.0,6331.46827704,22222803.91187065
