,open,high,low,close,volume,value
2021-11-11 03:25:00,427.0,429.0,427.0,427.0,8142.17294457,3479127.77013654
2021-11-11 03:30:00,427.0,428.0,427.0,428.0,11546.35099268,4937553.69802672
2021-11-11 03:35:00,428.0,428.0,427.0,427.0,17754.01062277,7590885.18239161
2021-11-11 03:40:00,427.0,427.0,425.0,426.0,62605.3031339,26684834.6705721
2021-11-11 03:45:00,426.0,426.0,425.0,426.0,54090.25876876,23032637.15024578
2021-11-11 03:50:00,426.0,426.0,422.0,423.0,203778.67492728,86514275.2303774
2021-11-11 03:55:00,424.0,426.0,424.0,426.0,26126.48000414,11079643.24226294
2021-11-11 04:00:00,426.0,426.0,425.0,425.0,6005.34156828,2555213.98999067
2021-11-11 04:05:00,425.0,425.0,423.0,425.0,40386.35287438,17132825.01335385
2021-11-11 04:10:00,425.0,425.0,424.0,425.0,12571.62662373,5338177.56187667
2021-11-11 04:15:00,426.0,426.0,424.0,426.0,5148.52092493,2183891.69830212
2021-11-11 04:20:00,424.0,429.0,424.0,424.0,43550.577014,18550126.63770698
2021-11-11 04:25:00,424.0,424.0,422.0,423.0,94155.69861064,39833273.50045932
2021-11-11 04:30:00,423.0,423.0,422.0,422.0,16906.64639742,7143430.41928813
2021-11-11 04:35:00,422.0,423.0,420.0,421.0,201882.03788426,85108890.3774711
2021-11-11 04:40:00,420.0,422.0,420.0,421.0,130543.83142977,54882292.08175073
2021-11-11 04:45:00,421.0,424.0,420.0,420.0,129232.48642186,54371641.61225564
2021-11-11 04:50:00,420.0,421.0,418.0,419.0,88365.25860441,37040703.7802548
2021-11-11 04:55:00,419.0,421.0,418.0,419.0,47820.00681628,20034932.36395425
2021-11-11 05:00:00,419.0,420.0,418.0,419.0,241750.31412097,101138016.23769498
2021-11-11 05:05:00,419.0,419.0,418.0,419.0,26333.56767133,11031418.4673297
2021-11-11 05:10:00,419.0,421.0,415.0,416.0,168921.06698594,70443067.87450457
2021-11-11 05:15:00,417.0,419.0,415.0,419.0,55298.79140579,23039294.07482658
2021-11-11 05:20:00,418.0,419.0,417.0,418.0,12263.37406276,5125863.07958571
2021-11-11 05:25:00,418.0,418.0,415.0,415.0,47005.80683182,19560882.74093567
2021-11-11 05:30:00,416.0,419.0,415.0,417.0,81106.83356952,33830550.82641578
2021-11-11 05:35:00,418.0,418.0,416.0,417.0,12076.9668594,5034760.00814906
2021-11-11 05:40:00,417.0,419.0,415.0,417.0,221542.08111474,92006123.56785311
2021-11-11 05:45:00,417.0,417.0,414.0,415.0,57331.84497587,23770654.39232906
2021-11-11 05:50:00,414.0,415.0,412.0,412.0,294560.6218612,121731839.7103488
2021-11-11 05:55:00,412.0,413.0,409.0,411.0,411997.15193624,169051372.00109673
2021-11-11 06:00:00,411.0,413.0,408.0,409.0,209280.44688086,85697164.60892943
2021-11-11 06:05:00,409.0,410.0,408.0,408.0,179619.97417633,73449800.99693501
2021-11-11 06:10:00,409.0,410.0,408.0,408.0,98316.22259907,40158020.51943612
2021-11-11 06:15:00,409.0,410.0,406.0,406.0,280526.68168262,114340136.08860126
2021-11-11 06:20:00,407.0,408.0,400.0,400.0,1446539.28611414,583227553.4618973
2021-11-11 06:25:00,400.0,406.0,397.0,403.0,880840.28638889,352613362.3152614
