,open,high,low,close,volume,value
2021-06-24 22:00:00,282.0,282.0,277.0,277.0,34268333.54904193,9557885210.563032
2021-06-24 22:15:00,277.0,278.0,275.0,278.0,35581427.75540909,9842840606.289766
2021-06-24 22:30:00,278.0,279.0,276.0,278.0,29298371.68490606,8136315887.219607
2021-06-24 22:45:00,278.0,280.0,277.0,280.0,24924689.26287522,6932847568.041947
2021-06-24 23:00:00,280.0,280.0,275.0,276.0,52044882.96742335,14412064919.983438
2021-06-24 23:15:00,276.0,278.0,276.0,276.0,16644946.69579493,4610200908.138785
2021-06-24 23:30:00,276.0,279.0,276.0,277.0,28007826.90818888,7779406595.303901
2021-06-24 23:45:00,277.0,280.0,276.0,278.0,25497317.58466647,7088522433.314948
2021-06-25 00:00:00,279.0,282.0,278.0,282.0,77331920.25115678,21676518641.26837
2021-06-25 00:15:00,281.0,284.0,279.0,283.0,54426868.53237532,15333028337.114033
2021-06-25 00:30:00,282.0,285.0,281.0,281.0,62338702.68048528,17654131298.084038
2021-06-25 00:45:00,282.0,282.0,276.0,278.0,58367326.68791849,16234427637.82267
2021-06-25 01:00:00,278.0,279.0,275.0,277.0,50246417.97126451,13922511484.03231
2021-06-25 01:15:00,277.0,280.0,277.0,279.0,16859242.28301485,4695057396.541421
2021-06-25 01:30:00,279.0,282.0,278.0,282.0,21845657.38750245,6124765734.8737755
2021-06-25 01:45:00,282.0,283.0,281.0,283.0,22492595.37182596,6351487605.891215
2021-06-25 02:00:00,283.0,287.0,283.0,283.0,61979617.37442148,17653783089.663017
2021-06-25 02:15:00,283.0,285.0,281.0,283.0,30657427.8246686,8677387611.099844
2021-06-25 02:30:00,283.0,286.0,281.0,283.0,23325850.74370878,6610195796.955548
2021-06-25 02:45:00,283.0,284.0,280.0,283.0,20652720.32190285,5820060141.729888
2021-06-25 03:00:00,284.0,286.0,282.0,282.0,21534655.04924151,6122749922.224958
2021-06-25 03:15:00,282.0,285.0,282.0,285.0,9658707.81989172,2737512115.4454594
2021-06-25 03:30:00,285.0,287.0,283.0,287.0,17347637.63988198,4953105356.305104
2021-06-25 03:45:00,287.0,289.0,286.0,287.0,23887583.61541674,6862217300.173399
2021-06-25 04:00:00,287.0,292.0,286.0,292.0,22668180.62306466,6557162144.222198
2021-06-25 04:15:00,292.0,297.0,291.0,293.0,46584732.82223541,13700886641.214756
2021-06-25 04:30:00,292.0,296.0,291.0,292.0,19128899.42270656,5613038495.717356
2021-06-25 04:45:00,293.0,294.0,290.0,293.0,16944192.20912732,4940980248.996229
2021-06-25 05:00:00,293.0,296.0,292.0,293.0,20278710.13217953,5962701058.667025
2021-06-25 05:15:00,294.0,295.0,292.0,292.0,15599293.52224771,4582624312.67032
2021-06-25 05:30:00,292.0,295.0,291.0,295.0,14981864.33904999,4385689422.763004
2021-06-25 05:45:00,295.0,297.0,293.0,295.0,19487181.21972382,5744733989.176792
2021-06-25 06:00:00,295.0,296.0,293.0,294.0,14423135.83767845,4246935920.0336676
2021-06-25 06:15:00,294.0,301.0,294.0,301.0,36785987.758029,10973988221.518936
2021-06-25 06:30:00,301.0,303.0,299.0,300.0,52848559.5923815,15886231605.234732
2021-06-25 06:45:00,300.0,308.0,300.0,308.0,66305841.95651439,20215505545.84491
2021-06-25 07:00:00,308.0,311.0,304.0,307.0,86161901.0602862,26592642344.222385
2021-06-25 07:15:00,308.0,308.0,302.0,305.0,64256102.47438387,19598085761.10222
2021-06-25 07:30:00,306.0,307.0,302.0,304.0,45244873.59529379,13774138266.230364
2021-06-25 07:45:00,304.0,307.0,302.0,306.0,46114664.24198619,14059877825.076574
2021-06-25 08:00:00,306.0,306.0,302.0,305.0,38537591.34509273,11708406959.60773
2021-06-25 08:15:00,305.0,306.0,303.0,305.0,24261674.19487386,7397358841.705049
2021-06-25 08:30:00,305.0,310.0,304.0,306.0,71577227.69692865,21992644528.12667
2021-06-25 08:45:00,306.0,306.0,302.0,305.0,60524070.99798988,18397176049.987225
2021-06-25 09:00:00,305.0,312.0,304.0,308.0,169784481.0453433,52273050458.1177
2021-06-25 09:15:00,308.0,319.0,305.0,316.0,165173672.16297284,51806814230.909195
2021-06-25 09:30:00,315.0,322.0,313.0,320.0,148512570.94167155,46934875685.063385
2021-06-25 09:45:00,320.0,323.0,311.0,311.0,142725523.67595038,45147773066.1452
2021-06-25 10:00:00,312.0,313.0,305.0,306.0,165144614.75875518,50916690611.18029
2021-06-25 10:15:00,306.0,310.0,306.0,309.0,68113695.44102246,20983882921.72595
