,open,high,low,close,volume,value
2021-02-24 15:00:00,130.0,241.0,59.7,61.9,1451848560.7840421,142743638477.32748
2021-02-24 15:30:00,62.0,66.7,60.6,64.2,728811621.5157019,46221056346.78127
2021-02-24 16:00:00,64.2,64.2,59.9,60.6,404051121.63858485,24900453502.78712
2021-02-24 16:30:00,60.6,62.3,60.5,61.0,200999170.63888976,12338051603.426937
2021-02-24 17:00:00,61.0,62.7,60.9,61.8,176040661.80174455,10926251030.882814
2021-02-24 17:30:00,61.7,61.9,60.7,60.7,126841728.12375581,7767857166.389869
2021-02-24 18:00:00,60.7,61.4,60.2,61.0,140593975.08891967,8528107184.645385
2021-02-24 18:30:00,61.0,61.3,60.5,60.9,88947771.74566045,5416689892.1609125
2021-02-24 19:00:00,60.9,61.3,60.3,60.5,83214423.64780538,5056950693.443463
2021-02-24 19:30:00,60.5,61.1,60.4,60.5,50378698.64019209,3062064944.5767727
2021-02-24 20:00:00,60.5,60.7,60.1,60.2,83555032.59999534,5044058315.168021
2021-02-24 20:30:00,60.2,60.5,59.4,59.8,98478593.36810447,5914606566.580785
2021-02-24 21:00:00,59.8,60.1,58.8,59.6,198755445.98959082,11809691936.505869
2021-02-24 21:30:00,59.7,59.8,58.4,58.8,134183057.98379268,7947881407.198351
2021-02-24 22:00:00,58.8,74.8,58.7,63.3,1353681069.748996,89269861211.4686
2021-02-24 22:30:00,63.4,73.1,62.5,67.5,998040668.0169973,66998317915.944885
2021-02-24 23:00:00,67.3,70.7,65.6,67.5,742467172.9754564,50198514163.85644
2021-02-24 23:30:00,67.4,68.8,63.3,64.9,530726246.7378518,34921872799.47912
2021-02-25 00:00:00,65.3,65.7,61.3,63.2,296198160.07585907,18721212408.59314
2021-02-25 00:30:00,63.2,64.4,62.5,64.3,139296375.46350494,8865128798.807497
2021-02-25 01:00:00,64.3,65.5,62.8,62.9,129459142.47986057,8297214984.560277
2021-02-25 01:30:00,62.9,64.0,62.7,63.3,45354359.88564878,2874779218.095353
2021-02-25 02:00:00,63.5,63.9,63.2,63.6,28930768.34342919,1838210487.6361687
2021-02-25 02:30:00,63.6,65.0,63.4,64.2,44660113.0032936,2867505249.2033086
2021-02-25 03:00:00,64.2,64.5,63.2,63.9,28741463.52517654,1831794906.2476244
2021-02-25 03:30:00,63.8,64.1,63.5,63.7,15351076.25080178,978988779.1874788
2021-02-25 04:00:00,63.6,64.0,62.9,63.0,21327174.12475892,1349085297.3741632
2021-02-25 04:30:00,62.9,63.1,62.0,62.3,23171108.03873063,1445152814.6355457
2021-02-25 05:00:00,62.2,63.4,62.1,62.5,12879852.36400843,806851597.6027606
2021-02-25 05:30:00,62.4,62.6,61.6,62.3,23651470.14951681,1467319083.3506312
2021-02-25 06:00:00,62.3,62.3,60.7,61.0,40084987.31997952,2458176721.350869
2021-02-25 06:30:00,61.0,62.1,60.7,61.6,38801945.90532059,2378489122.4410844
2021-02-25 07:00:00,61.7,64.6,60.5,64.1,78733980.33060183,4911818773.249911
2021-02-25 07:30:00,64.0,64.4,63.0,63.8,53257745.72837802,3388408517.960296
2021-02-25 08:00:00,63.8,64.3,62.7,63.4,64883023.68810684,4122670663.4642186
2021-02-25 08:30:00,63.3,65.5,63.3,64.9,108280965.00020222,6976951024.931437
