,open,high,low,close,volume,value
2021-11-11 03:55:00,323.0,324.0,323.0,323.0,1084310.27162962,350314516.98419523
2021-11-11 04:00:00,323.0,324.0,323.0,323.0,622776.70474482,201203530.96431002
2021-11-11 04:05:00,324.0,324.0,323.0,323.0,855545.65374071,276388827.21821386
2021-11-11 04:10:00,323.0,325.0,323.0,324.0,773995.80168513,250701824.14880025
2021-11-11 04:15:00,323.0,325.0,323.0,323.0,622455.16601425,201355713.86329806
2021-11-11 04:20:00,323.0,324.0,323.0,323.0,1034337.80875478,334123685.24238604
2021-11-11 04:25:00,323.0,324.0,322.0,323.0,2450933.58295381,791545683.9308903
2021-11-11 04:30:00,322.0,323.0,322.0,322.0,1268159.02105627,408577223.9274626
2021-11-11 04:35:00,322.0,323.0,322.0,322.0,2513190.96161964,809336783.4878258
2021-11-11 04:40:00,322.0,324.0,321.0,321.0,7523436.58686856,2423955498.0219007
2021-11-11 04:45:00,321.0,322.0,321.0,322.0,5798800.9503062,1861822531.3070397
2021-11-11 04:50:00,321.0,322.0,320.0,322.0,3504020.07795185,1123691753.307774
2021-11-11 04:55:00,322.0,322.0,320.0,320.0,4507996.69252058,1444621470.6212463
2021-11-11 05:00:00,321.0,321.0,319.0,320.0,8684153.8112723,2777405793.2360926
2021-11-11 05:05:00,319.0,320.0,318.0,318.0,6021544.6039797,1920888072.498188
2021-11-11 05:10:00,318.0,319.0,318.0,318.0,2515761.48948685,800827091.9256629
2021-11-11 05:15:00,319.0,320.0,318.0,319.0,2525613.44615055,805593399.8272754
2021-11-11 05:20:00,319.0,320.0,318.0,319.0,1656553.31472191,528586317.5160064
2021-11-11 05:25:00,319.0,319.0,317.0,318.0,2087297.97226303,663707402.4806204
2021-11-11 05:30:00,318.0,319.0,317.0,318.0,3161172.56312656,1006440714.7458129
2021-11-11 05:35:00,318.0,319.0,317.0,317.0,3046258.29870311,968707336.7525277
2021-11-11 05:40:00,317.0,318.0,317.0,318.0,3076717.66311586,975447809.2439696
2021-11-11 05:45:00,317.0,318.0,316.0,317.0,4491716.1379469,1424108728.6201231
2021-11-11 05:50:00,317.0,317.0,315.0,316.0,9269690.23956575,2928454401.142022
2021-11-11 05:55:00,316.0,317.0,315.0,317.0,5910060.3345034,1867086702.4052079
2021-11-11 06:00:00,316.0,318.0,316.0,317.0,1833287.2943436,580703861.8834996
2021-11-11 06:05:00,317.0,318.0,316.0,318.0,4078369.38396334,1293360536.7258584
2021-11-11 06:10:00,318.0,318.0,316.0,316.0,1532453.1304041,485171517.76612085
2021-11-11 06:15:00,316.0,317.0,315.0,316.0,5569680.11162563,1756687912.6931334
2021-11-11 06:20:00,316.0,316.0,311.0,311.0,22042372.67299972,6894486518.044394
