,open,high,low,close,volume,value
2020-11-27 20:00:00,5320.0,5330.0,5280.0,5320.0,1290.765496,6845555.19991405
2020-11-27 20:30:00,5295.0,5325.0,5250.0,5275.0,1897.89307849,10017224.1314546
2020-11-27 21:00:00,5275.0,5325.0,5260.0,5275.0,2438.53808741,12883280.5725431
2020-11-27 21:30:00,5300.0,5360.0,5300.0,5330.0,2587.27184862,13800251.39316855
2020-11-27 22:00:00,5330.0,5365.0,5275.0,5280.0,15397.42009823,82288146.53362656
2020-11-27 22:30:00,5280.0,5315.0,5250.0,5250.0,4956.91120144,26160368.6284968
2020-11-27 23:00:00,5250.0,5250.0,5175.0,5250.0,3242.84200595,16864989.82786035
2020-11-27 23:30:00,5245.0,5250.0,5175.0,5175.0,2910.44703845,15199147.23124195
2020-11-28 00:00:00,5175.0,5190.0,5105.0,5115.0,9960.73635668,51295830.755994
2020-11-28 00:30:00,5115.0,5150.0,5035.0,5115.0,16050.27298595,81611119.29084225
2020-11-28 01:00:00,5110.0,5205.0,5095.0,5185.0,2506.98820186,12838395.73780755
2020-11-28 01:30:00,5170.0,5215.0,5165.0,5200.0,378.64314373,1964298.38260325
2020-11-28 02:00:00,5205.0,5205.0,5180.0,5185.0,959.37712052,4980826.183215
2020-11-28 02:30:00,5180.0,5205.0,5165.0,5200.0,406.55706692,2105372.36046925
2020-11-28 03:00:00,5180.0,5260.0,5180.0,5205.0,5374.84676327,28197989.443005
2020-11-28 03:30:00,5205.0,5210.0,5200.0,5200.0,5033.16690286,26182798.75194805
2020-11-28 04:00:00,5215.0,5215.0,5210.0,5210.0,24.05099998,125347.48989575
2020-11-28 04:30:00,5220.0,5230.0,5210.0,5225.0,212.41425239,1110627.0849997
2020-11-28 05:00:00,5230.0,5260.0,5225.0,5255.0,289.53676382,1519511.1352273
2020-11-28 05:30:00,5255.0,5255.0,5250.0,5255.0,458.31901529,2408441.42534895
2020-11-28 06:00:00,5265.0,5285.0,5260.0,5285.0,1723.10211279,9086679.1624537
2020-11-28 06:30:00,5285.0,5375.0,5275.0,5370.0,2490.81293128,13255222.17910935
2020-11-28 07:00:00,5395.0,5410.0,5305.0,5305.0,1516.63504788,8156259.07177935
2020-11-28 07:30:00,5300.0,5325.0,5270.0,5290.0,999.61100303,5288617.0085291
2020-11-28 08:00:00,5305.0,5330.0,5300.0,5310.0,1364.96680577,7256381.44384385
2020-11-28 08:30:00,5315.0,5385.0,5310.0,5375.0,1715.72333428,9164831.798823
2020-11-28 09:00:00,5375.0,5385.0,5290.0,5315.0,2691.1133782,14314961.1556981
2020-11-28 09:30:00,5315.0,5345.0,5300.0,5335.0,3811.31825061,20276744.1119315
2020-11-28 10:00:00,5335.0,5445.0,5320.0,5405.0,5013.20908748,27040749.6578322
2020-11-28 10:30:00,5420.0,5420.0,5375.0,5385.0,4438.35208437,23971549.7345436
2020-11-28 11:00:00,5385.0,5385.0,5340.0,5355.0,4631.50883352,24883867.137495
