,open,high,low,close,volume,value
2020-10-05 16:00:00,4315.0,5795.0,4315.0,4890.0,948844.90419368,4665393694.641774
2020-10-05 17:00:00,4890.0,4975.0,4760.0,4820.0,487215.65039768,2373369851.7854934
2020-10-05 18:00:00,4820.0,4885.0,4790.0,4880.0,123109.76802337,595868862.1483816
2020-10-05 19:00:00,4885.0,4960.0,4830.0,4855.0,101280.61766952,494553988.1132496
2020-10-05 20:00:00,4865.0,4890.0,4825.0,4835.0,62639.09773599,303935275.4935761
2020-10-05 21:00:00,4835.0,4860.0,4800.0,4845.0,39782.79327175,192259436.6553597
2020-10-05 22:00:00,4845.0,4885.0,4835.0,4875.0,43842.86720513,213105332.82438695
2020-10-05 23:00:00,4880.0,4900.0,4870.0,4890.0,38529.53427034,188301742.5831204
2020-10-06 00:00:00,4890.0,4905.0,4840.0,4875.0,26133.00192712,127275135.31643765
2020-10-06 01:00:00,4870.0,4885.0,4820.0,4885.0,16784.0085271,81423522.5081649
2020-10-06 02:00:00,4885.0,4890.0,4835.0,4850.0,5470.2507643,26674525.1115207
2020-10-06 03:00:00,4850.0,4865.0,4820.0,4850.0,6174.5198669,29905778.38827955
2020-10-06 04:00:00,4850.0,4865.0,4820.0,4860.0,4162.03916357,20209415.8177244
2020-10-06 05:00:00,4860.0,4875.0,4830.0,4865.0,1725.71689298,8370159.81209535
2020-10-06 06:00:00,4865.0,4890.0,4835.0,4885.0,11685.07872052,56974318.5326348
2020-10-06 07:00:00,4880.0,4895.0,4860.0,4860.0,26550.83726917,129633455.2750623
2020-10-06 08:00:00,4860.0,4860.0,4805.0,4840.0,29283.21912999,141569644.8238228
2020-10-06 09:00:00,4840.0,4855.0,4755.0,4800.0,55806.11881874,268049630.4739789
2020-10-06 10:00:00,4800.0,4815.0,4765.0,4780.0,32314.42623162,154792689.0692957
2020-10-06 11:00:00,4780.0,4810.0,4725.0,4780.0,43553.37495995,208000364.6022053
2020-10-06 12:00:00,4790.0,4820.0,4775.0,4795.0,33521.44294152,160590238.81553206
