,open,high,low,close,volume,value
2021-06-24 20:00:00,169.0,174.0,169.0,173.0,273600.37810917,47082441.09340917
2021-06-24 20:15:00,173.0,176.0,172.0,176.0,354619.31435772,61700609.43554448
2021-06-24 20:30:00,176.0,176.0,175.0,176.0,30493.75256136,5349978.81444372
2021-06-24 20:45:00,176.0,177.0,174.0,176.0,350598.82393896,61507334.60606748
2021-06-24 21:00:00,176.0,178.0,175.0,178.0,317384.30333367,56133869.41259931
2021-06-24 21:15:00,178.0,179.0,176.0,178.0,92480.06737679,16308750.37541417
2021-06-24 21:30:00,178.0,179.0,176.0,177.0,54859.5762085,9752073.75326513
2021-06-24 21:45:00,177.0,177.0,176.0,177.0,97520.06174954,17239857.39992412
2021-06-24 22:00:00,176.0,177.0,176.0,177.0,52222.38755208,9238325.38177201
2021-06-24 22:15:00,177.0,177.0,176.0,176.0,120904.65718197,21359970.85608815
2021-06-24 22:30:00,177.0,177.0,176.0,177.0,59631.17885332,10511984.17313712
2021-06-24 22:45:00,177.0,178.0,176.0,177.0,56898.22901095,10070943.25792799
2021-06-24 23:00:00,177.0,178.0,177.0,177.0,23030.50195998,4086796.0883059
2021-06-24 23:15:00,177.0,178.0,177.0,178.0,14944.91021661,2656453.35094625
2021-06-24 23:30:00,177.0,178.0,177.0,177.0,18240.46355331,3230150.97072606
2021-06-24 23:45:00,177.0,178.0,177.0,177.0,66253.61418038,11764733.40425986
2021-06-25 00:00:00,177.0,179.0,177.0,178.0,59276.19299118,10516860.37933989
2021-06-25 00:15:00,178.0,180.0,177.0,180.0,183117.06947579,32604862.51805881
2021-06-25 00:30:00,180.0,181.0,178.0,180.0,79895.42190738,14359902.62287084
2021-06-25 00:45:00,180.0,180.0,176.0,177.0,90593.4729102,16025041.5555813
2021-06-25 01:00:00,177.0,180.0,177.0,179.0,18711.19329048,3354737.26611011
2021-06-25 01:15:00,180.0,180.0,179.0,180.0,590.26892178,105850.12020612
2021-06-25 01:30:00,179.0,183.0,179.0,180.0,83109.87666439,15020395.89130453
2021-06-25 01:45:00,181.0,182.0,179.0,182.0,17547.24761128,3177210.54435368
2021-06-25 02:00:00,181.0,185.0,181.0,184.0,75817.17951079,13867292.5423163
2021-06-25 02:15:00,184.0,185.0,181.0,184.0,81343.63700133,14857531.7266723
2021-06-25 02:30:00,183.0,183.0,182.0,183.0,8128.25532937,1487305.89010987
2021-06-25 02:45:00,183.0,184.0,182.0,184.0,28302.9353967,5151981.41014546
2021-06-25 03:00:00,184.0,185.0,182.0,184.0,8780.87182538,1614370.92006634
2021-06-25 03:15:00,183.0,184.0,182.0,184.0,10192.5334232,1865599.17958952
2021-06-25 03:30:00,184.0,185.0,181.0,184.0,34022.57044309,6259089.30152594
2021-06-25 03:45:00,183.0,185.0,183.0,185.0,6731.60832362,1241333.48266591
2021-06-25 04:00:00,182.0,186.0,182.0,186.0,84223.72859947,15614160.8462223
2021-06-25 04:15:00,186.0,186.0,183.0,186.0,54418.19079923,10091404.88855145
2021-06-25 04:30:00,186.0,186.0,184.0,184.0,2305.42521379,426369.79886761
2021-06-25 04:45:00,184.0,184.0,183.0,183.0,9863.55255242,1814797.2081543
2021-06-25 05:00:00,184.0,184.0,182.0,184.0,286.24362962,52421.85081407
2021-06-25 05:15:00,183.0,184.0,182.0,182.0,36423.80364999,6664267.90278635
2021-06-25 05:30:00,182.0,183.0,181.0,183.0,34500.65514813,6267982.21162691
2021-06-25 05:45:00,183.0,183.0,182.0,182.0,21178.755234,3860237.86788852
