,open,high,low,close,volume,value
2021-11-11 05:50:00,71270.0,71290.0,70000.0,70440.0,99162.89451108,6994632331.751623
2021-11-11 05:55:00,70440.0,70970.0,70000.0,70890.0,42178.48204598,2970178296.1816177
2021-11-11 06:00:00,70840.0,71270.0,70480.0,71260.0,24856.70219477,1766203921.2257655
2021-11-11 06:05:00,71260.0,71290.0,70800.0,70800.0,19409.16418819,1378844943.013353
2021-11-11 06:10:00,70800.0,71200.0,70660.0,70800.0,16057.48030698,1138484983.4368937
2021-11-11 06:15:00,70850.0,70850.0,69600.0,69890.0,62389.94867896,4367939022.108917
2021-11-11 06:20:00,69890.0,69890.0,67210.0,67240.0,171759.38154166,11718044414.469872
2021-11-11 06:25:00,67210.0,68800.0,67000.0,68760.0,141788.98949715,9612056566.891478
2021-11-11 06:30:00,68780.0,69300.0,67680.0,69230.0,112980.74160081,7720730812.605779
2021-11-11 06:35:00,69230.0,70000.0,68560.0,69860.0,65607.69188689,4545194046.286409
2021-11-11 06:40:00,69790.0,69980.0,69000.0,69550.0,52961.6340121,3682860393.8020096
2021-11-11 06:45:00,69550.0,69780.0,68290.0,68660.0,51578.37741312,3557367063.0606775
2021-11-11 06:50:00,68730.0,69040.0,68280.0,68400.0,41314.96730009,2838518637.3936796
2021-11-11 06:55:00,68400.0,68650.0,68010.0,68200.0,49853.04918047,3406015201.8456874
2021-11-11 07:00:00,68200.0,68420.0,67570.0,68060.0,79226.88562123,5386610714.673188
2021-11-11 07:05:00,68060.0,69680.0,68040.0,68930.0,47569.80263308,3284425487.4221206
2021-11-11 07:10:00,68930.0,69750.0,68720.0,69550.0,41198.06710949,2859239737.0300493
2021-11-11 07:15:00,69570.0,69570.0,68850.0,69030.0,41108.45816406,2838383499.857454
2021-11-11 07:20:00,69090.0,69200.0,68400.0,68890.0,37648.03186724,2585308021.4546723
2021-11-11 07:25:00,68760.0,69170.0,68450.0,68480.0,32296.30554819,2217423288.324012
2021-11-11 07:30:00,68490.0,69050.0,68000.0,68860.0,51533.78753027,3524982016.2941437
2021-11-11 07:35:00,68910.0,69440.0,68770.0,69380.0,42717.45274865,2950475304.745239
2021-11-11 07:40:00,69380.0,69540.0,69070.0,69470.0,38557.73981468,2675801076.5136204
2021-11-11 07:45:00,69480.0,70490.0,69340.0,70020.0,31151.20002408,2177284294.258076
2021-11-11 07:50:00,70040.0,70500.0,69780.0,70350.0,36965.83015137,2594211366.548672
2021-11-11 07:55:00,70300.0,70850.0,70290.0,70680.0,52539.88848156,3712021087.188027
2021-11-11 08:00:00,70670.0,70690.0,70000.0,70190.0,39456.46343533,2774256645.4397416
2021-11-11 08:05:00,70190.0,70550.0,70150.0,70290.0,19576.92297296,1375985882.602405
2021-11-11 08:10:00,70290.0,70320.0,69990.0,70140.0,22560.46775013,1581620946.6177979
2021-11-11 08:15:00,70140.0,70230.0,69250.0,69730.0,40831.13194844,2843817788.5476117
