,open,high,low,close,volume,value
2021-11-11 03:05:00,5771000.0,5777000.0,5767000.0,5767000.0,41.29950992,238314874.87027
2021-11-11 03:10:00,5767000.0,5770000.0,5765000.0,5767000.0,31.55551234,181977935.45195
2021-11-11 03:15:00,5767000.0,5767000.0,5757000.0,5759000.0,48.45963449,279170175.98168
2021-11-11 03:20:00,5758000.0,5761000.0,5753000.0,5757000.0,56.26086086,323840154.04855
2021-11-11 03:25:00,5757000.0,5764000.0,5756000.0,5758000.0,25.66018075,147763359.84343
2021-11-11 03:30:00,5762000.0,5762000.0,5751000.0,5757000.0,31.88374729,183507643.19517
2021-11-11 03:35:00,5758000.0,5761000.0,5757000.0,5757000.0,17.69651944,101904347.06549
2021-11-11 03:40:00,5757000.0,5757000.0,5741000.0,5745000.0,113.87796816,654775152.06325
2021-11-11 03:45:00,5745000.0,5755000.0,5740000.0,5749000.0,65.87556777,378678055.24203
2021-11-11 03:50:00,5749000.0,5750000.0,5724000.0,5726000.0,127.1674469,729433251.53138
2021-11-11 03:55:00,5727000.0,5737000.0,5722000.0,5737000.0,76.68943679,439485961.06617
2021-11-11 04:00:00,5736000.0,5749000.0,5733000.0,5745000.0,27.08417719,155544327.14868
2021-11-11 04:05:00,5744000.0,5758000.0,5734000.0,5757000.0,47.86689313,275006548.02092
2021-11-11 04:10:00,5757000.0,5757000.0,5750000.0,5755000.0,8.4958825,48881077.72293
2021-11-11 04:15:00,5755000.0,5757000.0,5746000.0,5756000.0,27.22721278,156588777.55468
2021-11-11 04:20:00,5756000.0,5756000.0,5740000.0,5746000.0,26.31558361,151312575.23753
2021-11-11 04:25:00,5740000.0,5743000.0,5732000.0,5732000.0,17.15885099,98424378.28818
2021-11-11 04:30:00,5732000.0,5734000.0,5720000.0,5720000.0,56.53695479,323635392.04564
2021-11-11 04:35:00,5720000.0,5720000.0,5710000.0,5710000.0,82.7327917,472825069.01415
2021-11-11 04:40:00,5711000.0,5718000.0,5701000.0,5701000.0,128.1254025,731086645.94274
2021-11-11 04:45:00,5701000.0,5718000.0,5697000.0,5697000.0,266.41139067,1519344238.087
2021-11-11 04:50:00,5697000.0,5700000.0,5680000.0,5686000.0,283.20103473,1611394804.89202
2021-11-11 04:55:00,5686000.0,5692000.0,5671000.0,5684000.0,320.22142943,1819138571.26033
2021-11-11 05:00:00,5685000.0,5687000.0,5653000.0,5664000.0,495.5556024,2809870461.224
2021-11-11 05:05:00,5664000.0,5685000.0,5664000.0,5676000.0,290.43966923,1648252294.27322
2021-11-11 05:10:00,5676000.0,5677000.0,5662000.0,5675000.0,110.99778613,629472462.95116
2021-11-11 05:15:00,5675000.0,5695000.0,5671000.0,5688000.0,171.79106383,976079145.7867
2021-11-11 05:20:00,5693000.0,5693000.0,5679000.0,5681000.0,106.8597112,607316847.85251
2021-11-11 05:25:00,5681000.0,5695000.0,5667000.0,5675000.0,75.54241459,428966207.38013
2021-11-11 05:30:00,5674000.0,5687000.0,5667000.0,5681000.0,69.39864073,393742616.52393
2021-11-11 05:35:00,5686000.0,5687000.0,5666000.0,5666000.0,125.97311822,714990876.77915
2021-11-11 05:40:00,5666000.0,5670000.0,5650000.0,5657000.0,150.88425358,853514575.80373
2021-11-11 05:45:00,5659000.0,5660000.0,5632000.0,5637000.0,391.9002412,2213213520.56733
2021-11-11 05:50:00,5640000.0,5661000.0,5610000.0,5644000.0,791.32028804,4454583486.01501
2021-11-11 05:55:00,5644000.0,5650000.0,5611000.0,5647000.0,539.00025175,3035022744.17994
2021-11-11 06:00:00,5647000.0,5694000.0,5637000.0,5667000.0,324.53713752,1835044602.12192
2021-11-11 06:05:00,5664000.0,5666000.0,5640000.0,5641000.0,206.96410374,1170121463.54958
2021-11-11 06:10:00,5641000.0,5643000.0,5621000.0,5636000.0,322.33437409,1815819302.30624
2021-11-11 06:15:00,5636000.0,5639000.0,5610000.0,5623000.0,472.77675375,2659001198.08556
2021-11-11 06:20:00,5622000.0,5644000.0,5585000.0,5590000.0,1459.10833451,8177310806.3577
2021-11-11 06:25:00,5587000.0,5679000.0,5582000.0,5650000.0,1162.42688462,6537776281.58232
2021-11-11 06:30:00,5650000.0,5692000.0,5625000.0,5682000.0,856.65642171,4850984387.19782
2021-11-11 06:35:00,5682000.0,5714000.0,5665000.0,5704000.0,717.08657464,4083522020.83878
2021-11-11 06:40:00,5704000.0,5710000.0,5665000.0,5685000.0,537.36723143,3053873365.64853
2021-11-11 06:45:00,5685000.0,5685000.0,5644000.0,5653000.0,560.79216555,3175822925.36697
2021-11-11 06:50:00,5653000.0,5662000.0,5620000.0,5624000.0,589.60816241,3327397427.52118
2021-11-11 06:55:00,5624000.0,5649000.0,5598000.0,5604000.0,746.87551999,4190638735.43776
2021-11-11 07:00:00,5607000.0,5620000.0,5575000.0,5602000.0,862.088538,4820749480.1875
2021-11-11 07:05:00,5602000.0,5652000.0,5601000.0,5644000.0,466.28417231,2624494335.15012
2021-11-11 07:10:00,5645000.0,5645000.0,5634000.0,5636000.0,330.61354524,1864682449.83462
2021-11-11 07:15:00,5637000.0,5637000.0,5600000.0,5609000.0,417.58622455,2343795393.71534
2021-11-11 07:20:00,5609000.0,5609000.0,5580000.0,5585000.0,439.13196532,2455293432.17159
2021-11-11 07:25:00,5585000.0,5603000.0,5581000.0,5599000.0,408.41473444,2283554332.12596
2021-11-11 07:30:00,5599000.0,5626000.0,5588000.0,5620000.0,422.01485758,2363243649.12269
2021-11-11 07:35:00,5625000.0,5648000.0,5616000.0,5645000.0,366.59397903,2064418587.85271
2021-11-11 07:40:00,5645000.0,5652000.0,5630000.0,5641000.0,402.0356721,2268610909.10211
2021-11-11 07:45:00,5642000.0,5662000.0,5638000.0,5654000.0,310.05253818,1752583980.1955
2021-11-11 07:50:00,5654000.0,5692000.0,5650000.0,5689000.0,477.02538636,2703148341.77707
2021-11-11 07:55:00,5689000.0,5730000.0,5688000.0,5720000.0,697.20819557,3981612146.43812
2021-11-11 08:00:00,5719000.0,5720000.0,5677000.0,5678000.0,563.1748191,3204209092.28401
2021-11-11 08:05:00,5678000.0,5680000.0,5671000.0,5679000.0,397.57357386,2257309963.69571
2021-11-11 08:10:00,5678000.0,5689000.0,5678000.0,5685000.0,177.71356544,1009958995.97975
2021-11-11 08:15:00,5686000.0,5686000.0,5641000.0,5654000.0,382.31846617,2163522376.46
2021-11-11 08:20:00,5654000.0,5668000.0,5650000.0,5666000.0,310.46628514,1756456420.46743
2021-11-11 08:25:00,5667000.0,5670000.0,5652000.0,5656000.0,189.34949155,1071494168.06156
2021-11-11 08:30:00,5656000.0,5659000.0,5633000.0,5655000.0,404.56105215,2284591251.73057
2021-11-11 08:35:00,5655000.0,5664000.0,5650000.0,5660000.0,228.47651841,1292437294.2973
2021-11-11 08:40:00,5662000.0,5662000.0,5645000.0,5658000.0,267.3259706,1511316542.11935
2021-11-11 08:45:00,5658000.0,5667000.0,5657000.0,5663000.0,178.72491824,1011878039.30393
2021-11-11 08:50:00,5664000.0,5674000.0,5659000.0,5673000.0,246.72486141,1397364326.16492
2021-11-11 08:55:00,5674000.0,5692000.0,5673000.0,5689000.0,309.45884383,1759057254.17407
2021-11-11 09:00:00,5689000.0,5689000.0,5648000.0,5672000.0,412.77344893,2337760131.48896
2021-11-11 09:05:00,5672000.0,5689000.0,5643000.0,5661000.0,265.09758125,1500767114.03267
2021-11-11 09:10:00,5659000.0,5666000.0,5639000.0,5641000.0,286.80696559,1622275174.72213
2021-11-11 09:15:00,5641000.0,5660000.0,5627000.0,5629000.0,223.04432191,1257442448.72077
2021-11-11 09:20:00,5629000.0,5633000.0,5613000.0,5630000.0,346.14478802,1946139990.95492
2021-11-11 09:25:00,5630000.0,5648000.0,5618000.0,5625000.0,444.33882238,2503053527.65886
2021-11-11 09:30:00,5631000.0,5631000.0,5602000.0,5617000.0,431.87184631,2423704936.79704
2021-11-11 09:35:00,5617000.0,5637000.0,5601000.0,5626000.0,402.29693083,2260177266.25333
2021-11-11 09:40:00,5631000.0,5631000.0,5605000.0,5614000.0,335.7463012,1885009653.43715
2021-11-11 09:45:00,5611000.0,5648000.0,5610000.0,5646000.0,196.42533287,1105955579.74003
2021-11-11 09:50:00,5646000.0,5654000.0,5638000.0,5654000.0,139.71934612,788862905.09362
2021-11-11 09:55:00,5654000.0,5654000.0,5644000.0,5653000.0,146.03085612,824869247.83093
2021-11-11 10:00:00,5652000.0,5654000.0,5644000.0,5654000.0,136.93353326,773596034.73331
2021-11-11 10:05:00,5653000.0,5659000.0,5653000.0,5658000.0,210.97291635,1193451577.05736
2021-11-11 10:10:00,5659000.0,5659000.0,5644000.0,5646000.0,103.50073792,584873991.26781
2021-11-11 10:15:00,5646000.0,5652000.0,5642000.0,5650000.0,116.91523,660220645.3863
2021-11-11 10:20:00,5645000.0,5650000.0,5635000.0,5639000.0,136.39000578,769190525.28751
2021-11-11 10:25:00,5638000.0,5647000.0,5637000.0,5641000.0,103.45418695,583334289.63902
2021-11-11 10:30:00,5641000.0,5643000.0,5630000.0,5632000.0,101.14686216,570254384.49497
2021-11-11 10:35:00,5632000.0,5632000.0,5620000.0,5626000.0,164.72920386,926744905.07235
2021-11-11 10:40:00,5631000.0,5636000.0,5620000.0,5631000.0,223.34041345,1257141311.37296
2021-11-11 10:45:00,5631000.0,5640000.0,5620000.0,5634000.0,387.48641696,2182043307.51389
2021-11-11 10:50:00,5634000.0,5640000.0,5624000.0,5640000.0,99.24072972,559155509.37857
2021-11-11 10:55:00,5635000.0,5650000.0,5631000.0,5646000.0,139.68834995,788042736.88477
2021-11-11 11:00:00,5646000.0,5649000.0,5630000.0,5632000.0,151.40693162,853555240.21885
2021-11-11 11:05:00,5630000.0,5635000.0,5618000.0,5620000.0,240.28642647,1351792576.90746
2021-11-11 11:10:00,5622000.0,5627000.0,5616000.0,5621000.0,117.44699078,660089201.54747
2021-11-11 11:15:00,5622000.0,5630000.0,5615000.0,5626000.0,115.86940308,651377505.37138
2021-11-11 11:20:00,5629000.0,5630000.0,5623000.0,5629000.0,37.37564704,210309292.20424
2021-11-11 11:25:00,5629000.0,5630000.0,5621000.0,5622000.0,78.32914755,440643048.2645
2021-11-11 11:30:00,5623000.0,5623000.0,5615000.0,5616000.0,107.22464321,602434309.73745
2021-11-11 11:35:00,5616000.0,5617000.0,5609000.0,5611000.0,140.42365287,788057731.41294
2021-11-11 11:40:00,5609000.0,5611000.0,5605000.0,5607000.0,132.90091826,745208226.19314
