,open,high,low,close,volume,value
2020-11-27 13:00:00,136.0,136.0,135.0,136.0,20519.11124096,2790499.12877056
2020-11-27 13:30:00,136.0,137.0,135.0,137.0,23033.21110392,3143989.9727658
2020-11-27 14:00:00,137.0,138.0,137.0,137.0,57272.35705013,7879888.07709969
2020-11-27 14:30:00,137.0,138.0,136.0,138.0,70581.5876481,9636170.72856674
2020-11-27 15:00:00,138.0,138.0,137.0,137.0,1720.12745382,235729.92494145
2020-11-27 15:30:00,137.0,138.0,136.0,137.0,34620.96331801,4744354.43588586
2020-11-27 16:00:00,137.0,137.0,136.0,136.0,29511.43542939,4027275.11114297
2020-11-27 16:30:00,136.0,137.0,135.0,136.0,121575.11531637,16466253.52319616
2020-11-27 17:00:00,136.0,136.0,133.0,133.0,108861.34874206,14568318.27232895
2020-11-27 17:30:00,132.0,134.0,129.0,133.0,256364.46695438,33685331.25606789
2020-11-27 18:00:00,133.0,135.0,131.0,132.0,91533.90846923,12194314.48718767
2020-11-27 18:30:00,132.0,133.0,131.0,132.0,26437.65836196,3472427.58463438
2020-11-27 19:00:00,132.0,132.0,129.0,132.0,55847.47718037,7291511.70539283
2020-11-27 19:30:00,132.0,133.0,131.0,131.0,56759.66207742,7443974.77967469
2020-11-27 20:00:00,131.0,132.0,130.0,131.0,32679.58470566,4281434.74322934
2020-11-27 20:30:00,131.0,131.0,129.0,131.0,88918.23448398,11629459.97728173
2020-11-27 21:00:00,131.0,132.0,131.0,131.0,117436.89397668,15440471.23709647
2020-11-27 21:30:00,132.0,134.0,132.0,134.0,45122.26479102,5979880.00174015
2020-11-27 22:00:00,134.0,134.0,131.0,132.0,126139.34982447,16661635.41624852
2020-11-27 22:30:00,132.0,132.0,131.0,132.0,34678.3001792,4575584.17926047
2020-11-27 23:00:00,132.0,132.0,131.0,131.0,71244.56303582,9364134.46981363
2020-11-27 23:30:00,131.0,132.0,130.0,131.0,24016.12831275,3147433.13125522
2020-11-28 00:00:00,131.0,132.0,130.0,131.0,37378.8748377,4891798.282005
2020-11-28 00:30:00,131.0,131.0,130.0,130.0,28777.32752312,3743770.22495216
2020-11-28 01:00:00,130.0,131.0,130.0,131.0,8121.15768525,1061934.96176776
2020-11-28 01:30:00,131.0,134.0,129.0,130.0,158296.88311642,20754717.9670722
2020-11-28 02:00:00,127.0,132.0,127.0,132.0,228622.87979027,29479042.31045769
2020-11-28 02:30:00,130.0,130.0,130.0,130.0,4046.15384615,525999.9999995
2020-11-28 03:00:00,131.0,131.0,130.0,130.0,674.44552552,88017.10839393
2020-11-28 03:30:00,130.0,131.0,130.0,131.0,4948.62499946,647234.91092978
2020-11-28 04:30:00,132.0,132.0,132.0,132.0,22.72727272,2999.99999904
2020-11-28 05:30:00,132.0,132.0,131.0,131.0,7675.75757574,1009412.12120981
2020-11-28 06:00:00,132.0,132.0,131.0,132.0,1761.4879507,232366.16881441
2020-11-28 06:30:00,131.0,131.0,131.0,131.0,150.24067799,19681.52881669
2020-11-28 07:00:00,131.0,132.0,131.0,132.0,890.34503496,117490.57957976
2020-11-28 07:30:00,132.0,132.0,132.0,132.0,4549.96399999,600595.24799868
2020-11-28 08:00:00,132.0,133.0,132.0,133.0,19134.19831986,2541053.92206387
2020-11-28 08:30:00,133.0,134.0,133.0,134.0,94439.4194299,12623264.61527268
2020-11-28 09:00:00,134.0,134.0,132.0,133.0,56798.54790306,7550226.18697909
