,open,high,low,close,volume,value
2021-06-24 21:00:00,151.0,153.0,150.0,151.0,450640.73572882,68302101.18156421
2021-06-24 21:15:00,151.0,154.0,148.0,152.0,1738802.79708857,262584561.3506514
2021-06-24 21:30:00,151.0,153.0,149.0,151.0,497503.04041754,75182870.74512215
2021-06-24 21:45:00,152.0,159.0,152.0,156.0,1210997.44005501,188052623.5734322
2021-06-24 22:00:00,157.0,157.0,153.0,156.0,512258.09064259,79270885.45861484
2021-06-24 22:15:00,156.0,156.0,151.0,153.0,540620.16882263,82691562.42649788
2021-06-24 22:30:00,153.0,161.0,153.0,157.0,3302030.4287003,520076784.9954403
2021-06-24 22:45:00,157.0,158.0,155.0,156.0,1394978.88465978,217919584.33007163
2021-06-24 23:00:00,156.0,156.0,154.0,155.0,760026.53709976,117678604.4566224
2021-06-24 23:15:00,155.0,157.0,155.0,156.0,469197.81740418,73004133.05047908
2021-06-24 23:30:00,156.0,157.0,155.0,155.0,736688.21910085,115092831.08931282
2021-06-24 23:45:00,155.0,159.0,153.0,153.0,2311074.22715359,361340959.35730183
2021-06-25 00:00:00,153.0,155.0,153.0,154.0,806800.55066349,124253425.75933123
2021-06-25 00:15:00,154.0,155.0,153.0,155.0,246341.78886416,37937171.32454397
2021-06-25 00:30:00,154.0,155.0,152.0,153.0,406320.50267325,62127613.05456768
2021-06-25 00:45:00,153.0,154.0,151.0,152.0,362103.4624416,54935431.32818364
2021-06-25 01:00:00,152.0,152.0,149.0,150.0,354449.88221627,53234454.10703912
2021-06-25 01:15:00,149.0,150.0,149.0,150.0,145830.40674761,21818122.81837248
2021-06-25 01:30:00,150.0,154.0,150.0,153.0,176923.24512111,26944199.95737625
2021-06-25 01:45:00,153.0,153.0,151.0,152.0,34420.98754182,5222753.30326604
2021-06-25 02:00:00,152.0,153.0,151.0,151.0,59495.52337627,9033771.16250896
2021-06-25 02:15:00,151.0,153.0,151.0,153.0,71307.32705428,10865867.20486993
2021-06-25 02:30:00,153.0,154.0,153.0,153.0,50510.24823234,7730783.74297798
2021-06-25 02:45:00,153.0,153.0,152.0,153.0,13022.81601541,1991860.2211307
2021-06-25 03:00:00,154.0,154.0,153.0,154.0,9098.40531429,1400199.01893578
2021-06-25 03:15:00,153.0,154.0,153.0,154.0,15017.04578284,2309089.94394777
2021-06-25 03:30:00,153.0,154.0,153.0,153.0,25840.41800927,3954572.62076074
2021-06-25 03:45:00,153.0,153.0,153.0,153.0,2000.0,306000.0
2021-06-25 04:00:00,153.0,155.0,153.0,154.0,70557.06976777,10866289.97624623
2021-06-25 04:15:00,154.0,155.0,154.0,155.0,16269.56404198,2518641.11661963
2021-06-25 04:30:00,155.0,155.0,155.0,155.0,30931.59871674,4794397.8010947
2021-06-25 04:45:00,155.0,155.0,153.0,154.0,62164.07613346,9603708.99974703
2021-06-25 05:00:00,154.0,154.0,153.0,154.0,105885.16898456,16239750.37765945
2021-06-25 05:15:00,154.0,154.0,154.0,154.0,39711.7625712,6115611.4359648
2021-06-25 05:30:00,154.0,155.0,154.0,155.0,39306.39434009,6064814.21664604
2021-06-25 05:45:00,154.0,154.0,152.0,153.0,60015.80896762,9194366.42501603
2021-06-25 06:00:00,153.0,154.0,153.0,153.0,77710.08301815,11895859.55380595
2021-06-25 06:15:00,153.0,155.0,153.0,155.0,124412.75638897,19093652.37694951
2021-06-25 06:30:00,155.0,156.0,153.0,153.0,106869.54935966,16495105.17312891
2021-06-25 06:45:00,154.0,155.0,153.0,155.0,97120.20249051,14923319.22694075
2021-06-25 07:00:00,155.0,155.0,153.0,155.0,145248.02783532,22432216.40593749
2021-06-25 07:15:00,155.0,156.0,154.0,155.0,79828.23590209,12357644.14496127
2021-06-25 07:30:00,155.0,158.0,154.0,155.0,578099.16177468,90415894.35797855
2021-06-25 07:45:00,155.0,157.0,155.0,157.0,199738.84320537,31139564.80503707
2021-06-25 08:00:00,157.0,158.0,156.0,157.0,172185.26952108,27053582.22179521
2021-06-25 08:15:00,157.0,160.0,157.0,159.0,406029.72834961,64204656.19391654
2021-06-25 08:30:00,160.0,160.0,155.0,155.0,647324.63972837,102061387.43546665
2021-06-25 08:45:00,155.0,159.0,155.0,156.0,478147.57238312,75023168.59219745
2021-06-25 09:00:00,155.0,176.0,152.0,165.0,12737793.28464175,2139275387.7936966
2021-06-25 09:15:00,164.0,169.0,163.0,165.0,3468202.65408064,575861119.8738146
2021-06-25 09:30:00,165.0,182.0,165.0,172.0,13984125.87272732,2435047728.019668
2021-06-25 09:45:00,172.0,176.0,168.0,171.0,4827924.80977578,830736735.4896752
2021-06-25 10:00:00,171.0,177.0,167.0,169.0,7892123.70020811,1360415853.8995779
2021-06-25 10:15:00,170.0,180.0,170.0,179.0,5921046.71154126,1038158433.7301446
2021-06-25 10:30:00,179.0,183.0,172.0,176.0,8563404.26211396,1518969281.6101418
2021-06-25 10:45:00,176.0,178.0,173.0,177.0,2777596.58135535,486518353.896377
2021-06-25 11:00:00,178.0,181.0,176.0,179.0,5791127.66500348,1035279901.0332775
2021-06-25 11:15:00,179.0,180.0,173.0,174.0,3000866.87973908,527190271.94477046
2021-06-25 11:30:00,174.0,176.0,172.0,172.0,2172986.17742989,377287991.08032775
2021-06-25 11:45:00,173.0,174.0,171.0,173.0,1110446.50020633,191168246.58861265
2021-06-25 12:00:00,174.0,175.0,172.0,174.0,2017480.66815718,350621007.8248054
2021-06-25 12:15:00,174.0,180.0,173.0,180.0,4348792.45789793,773359877.7488209
2021-06-25 12:30:00,180.0,180.0,173.0,174.0,3515125.46943948,616356798.8186758
2021-06-25 12:45:00,175.0,176.0,173.0,176.0,1399531.11574167,244688706.08439872
2021-06-25 13:00:00,175.0,177.0,173.0,175.0,1129718.09809118,197297593.46889243
2021-06-25 13:15:00,175.0,176.0,174.0,176.0,682880.67738826,119405768.84090742
2021-06-25 13:30:00,176.0,177.0,174.0,177.0,1409702.338162,248313200.1187301
2021-06-25 13:45:00,176.0,177.0,173.0,173.0,1240649.24803252,216508019.9374338
2021-06-25 14:00:00,173.0,175.0,169.0,170.0,2184653.1870608,374381751.19890326
2021-06-25 14:15:00,170.0,171.0,166.0,168.0,1700968.34529464,286764879.64833796
2021-06-25 14:30:00,168.0,169.0,166.0,167.0,862436.53957438,144158999.74046934
2021-06-25 14:45:00,167.0,169.0,166.0,168.0,312431.00926376,52361203.95350658
2021-06-25 15:00:00,169.0,170.0,168.0,168.0,505137.59830663,85269787.88507277
2021-06-25 15:15:00,168.0,171.0,168.0,169.0,1736647.6506938,294173967.99967396
2021-06-25 15:30:00,169.0,170.0,164.0,165.0,1350688.220575,224931902.99717504
2021-06-25 15:45:00,165.0,168.0,165.0,167.0,628550.58999647,104608812.18727247
2021-06-25 16:00:00,167.0,175.0,167.0,171.0,7440047.86367335,1283160561.904372
2021-06-25 16:15:00,172.0,173.0,165.0,166.0,2288235.66082315,386297156.8641302
2021-06-25 16:30:00,166.0,166.0,160.0,161.0,1978358.2455599,321645361.4742
2021-06-25 16:45:00,161.0,164.0,161.0,164.0,742713.02278619,120759552.85936548
2021-06-25 17:00:00,163.0,166.0,162.0,163.0,1147301.74652186,188009223.7615111
2021-06-25 17:15:00,162.0,163.0,160.0,161.0,703535.92913415,113342200.56751022
2021-06-25 17:30:00,161.0,165.0,161.0,164.0,946537.33737409,154121282.03106123
2021-06-25 17:45:00,164.0,168.0,162.0,168.0,1631704.56596577,270620244.43921936
2021-06-25 18:00:00,168.0,168.0,162.0,164.0,1256868.57401465,207419621.89350393
2021-06-25 18:15:00,164.0,166.0,163.0,165.0,610267.6995727,100444505.52501738
2021-06-25 18:30:00,164.0,166.0,162.0,162.0,682674.53928991,111495983.75458954
2021-06-25 18:45:00,162.0,163.0,158.0,158.0,1049058.65738304,168341531.13984516
2021-06-25 19:00:00,158.0,163.0,158.0,162.0,817126.00348116,131199050.28966233
2021-06-25 19:15:00,162.0,163.0,160.0,160.0,384097.15997379,61873124.34111148
2021-06-25 19:30:00,160.0,161.0,158.0,159.0,797575.45013682,127147813.75100312
