,open,high,low,close,volume,value
2020-09-15 16:00:00,79.0,88.0,57.4,60.5,34465083.65737218,2290648558.0059204
2020-09-15 17:00:00,60.4,74.8,54.9,73.2,99076428.13821964,6164480159.822678
2020-09-15 18:00:00,72.7,83.3,65.8,83.2,72069374.2691213,5236157738.065503
2020-09-15 19:00:00,83.1,136.0,80.8,112.0,254126169.07433102,27197052181.472347
2020-09-15 20:00:00,113.0,141.0,112.0,125.0,175653491.663535,22289949849.298355
2020-09-15 21:00:00,126.0,144.0,114.0,125.0,124571361.37606014,16246897757.191135
2020-09-15 22:00:00,126.0,129.0,114.0,119.0,46770093.84777337,5675959308.300458
2020-09-15 23:00:00,119.0,138.0,119.0,127.0,69802275.02023724,9115765106.437185
2020-09-16 00:00:00,127.0,138.0,126.0,128.0,38103619.53748094,5052183234.584021
2020-09-16 01:00:00,128.0,133.0,125.0,129.0,18175533.2058025,2354085676.4060073
2020-09-16 02:00:00,129.0,129.0,118.0,123.0,8927894.06063534,1100960618.9164896
2020-09-16 03:00:00,122.0,125.0,115.0,118.0,5452385.74461793,655057051.7005659
2020-09-16 04:00:00,118.0,125.0,116.0,123.0,3001306.08948175,361733688.87742877
2020-09-16 05:00:00,123.0,125.0,120.0,124.0,1598067.00487869,195135626.65276912
2020-09-16 06:00:00,125.0,126.0,122.0,123.0,1854738.18843899,230102743.02542138
2020-09-16 07:00:00,123.0,134.0,122.0,129.0,12135607.1375899,1572433788.3313303
2020-09-16 08:00:00,129.0,137.0,126.0,135.0,25124439.292769,3322575336.5121417
2020-09-16 09:00:00,135.0,175.0,129.0,171.0,186796021.66428104,29088865066.713425
2020-09-16 10:00:00,170.0,172.0,155.0,162.0,69387322.03683516,11334674807.21622
2020-09-16 11:00:00,162.0,166.0,134.0,142.0,53743186.32528538,7828396034.593976
2020-09-16 12:00:00,143.0,153.0,141.0,148.0,27998274.06449079,4143235814.228645
2020-09-16 13:00:00,148.0,161.0,148.0,150.0,26676010.83911033,4139262309.3311872
2020-09-16 14:00:00,151.0,156.0,145.0,154.0,14581214.14032285,2193838046.106869
2020-09-16 15:00:00,154.0,162.0,151.0,153.0,31449819.80906029,4963197101.310169
2020-09-16 16:00:00,152.0,161.0,152.0,159.0,12076446.17656741,1887084031.451317
2020-09-16 17:00:00,159.0,161.0,143.0,143.0,25794684.54490426,3963055756.818845
2020-09-16 18:00:00,143.0,153.0,140.0,144.0,24728093.60734372,3639334865.5247297
2020-09-16 19:00:00,144.0,148.0,117.0,120.0,49250831.11932728,6319403346.637853
2020-09-16 20:00:00,120.0,124.0,97.3,101.0,97349406.43832102,10514775305.61484
2020-09-16 21:00:00,102.0,117.0,101.0,114.0,40871151.12530746,4453532108.392648
2020-09-16 22:00:00,114.0,146.0,114.0,136.0,113425545.5203024,15252719502.094494
2020-09-16 23:00:00,136.0,136.0,116.0,120.0,73060059.1960101,9232755014.93205
2020-09-17 00:00:00,120.0,131.0,114.0,120.0,39315584.72050518,4810606808.539289
2020-09-17 01:00:00,120.0,122.0,114.0,116.0,8470580.88799548,1002120524.949515
2020-09-17 02:00:00,118.0,118.0,111.0,113.0,3762165.44320304,429241367.9979418
2020-09-17 03:00:00,113.0,115.0,108.0,114.0,2381784.22021662,264848146.90942073
2020-09-17 04:00:00,114.0,119.0,114.0,118.0,722523.41478255,84312568.86682796
2020-09-17 05:00:00,117.0,118.0,111.0,112.0,873285.4026719,99345701.66016047
2020-09-17 06:00:00,112.0,126.0,109.0,123.0,4306647.39048065,514916783.97620434
2020-09-17 07:00:00,124.0,126.0,119.0,126.0,3867760.43751097,472537696.77254415
2020-09-17 08:00:00,126.0,139.0,125.0,131.0,25288908.01057713,3341040958.398626
2020-09-17 09:00:00,131.0,140.0,118.0,123.0,52220536.33367756,6767247032.521193
2020-09-17 10:00:00,124.0,127.0,113.0,118.0,22633054.43306949,2657718825.833078
