,open,high,low,close,volume,value
2021-06-24 21:45:00,596.0,601.0,595.0,599.0,265796.23782035,159041757.28309166
2021-06-24 22:00:00,599.0,600.0,596.0,596.0,277180.93710399,165836059.825007
2021-06-24 22:15:00,597.0,598.0,593.0,597.0,246419.92279145,146635745.54815117
2021-06-24 22:30:00,597.0,600.0,597.0,599.0,167756.18400293,100470425.38447978
2021-06-24 22:45:00,600.0,601.0,598.0,600.0,124443.67853828,74659019.82493503
2021-06-24 23:00:00,600.0,603.0,598.0,599.0,247209.18228191,148374357.6904733
2021-06-24 23:15:00,599.0,604.0,599.0,602.0,128060.54386536,77000494.97377773
2021-06-24 23:30:00,603.0,605.0,601.0,603.0,107428.49002085,64856514.54795776
2021-06-24 23:45:00,603.0,605.0,602.0,604.0,175913.16920895,106072936.73415878
2021-06-25 00:00:00,604.0,610.0,604.0,609.0,643529.70980959,390157061.7812119
2021-06-25 00:15:00,609.0,610.0,604.0,610.0,291918.39696073,177157217.6521954
2021-06-25 00:30:00,610.0,611.0,608.0,611.0,114811.79426435,69986611.9903393
2021-06-25 00:45:00,610.0,611.0,600.0,604.0,361885.0631428,219431207.52942702
2021-06-25 01:00:00,604.0,604.0,596.0,598.0,330423.13257248,198349443.10781586
2021-06-25 01:15:00,598.0,606.0,597.0,605.0,96078.49754842,57792266.53266099
2021-06-25 01:30:00,605.0,611.0,603.0,607.0,174962.46133451,106113090.30448182
2021-06-25 01:45:00,607.0,613.0,607.0,613.0,112514.31475029,68728747.07910779
2021-06-25 02:00:00,613.0,615.0,612.0,613.0,188628.37884799,115721775.71842682
2021-06-25 02:15:00,613.0,620.0,613.0,619.0,119049.70667033,73303302.32787786
2021-06-25 02:30:00,620.0,621.0,618.0,621.0,99054.79490486,61407159.64566122
2021-06-25 02:45:00,620.0,620.0,615.0,618.0,109373.25908738,67540949.90085582
2021-06-25 03:00:00,619.0,620.0,615.0,619.0,129285.51596602,79802893.67024478
2021-06-25 03:15:00,619.0,625.0,615.0,624.0,121286.02845331,75384792.13642257
2021-06-25 03:30:00,624.0,636.0,623.0,635.0,255594.04742205,160747002.5738753
2021-06-25 03:45:00,635.0,635.0,628.0,629.0,134524.19014093,84872190.39774641
2021-06-25 04:00:00,629.0,629.0,614.0,619.0,193599.33810095,120583044.65377857
2021-06-25 04:15:00,620.0,621.0,615.0,615.0,61080.98511828,37848946.81007219
2021-06-25 04:30:00,615.0,620.0,615.0,618.0,91857.47684826,56751726.05837847
2021-06-25 04:45:00,616.0,619.0,614.0,619.0,31679.87365656,19506815.33720954
2021-06-25 05:00:00,619.0,622.0,618.0,622.0,38320.70037498,23760345.56979254
2021-06-25 05:15:00,622.0,622.0,617.0,621.0,100479.68430274,62251870.07817226
2021-06-25 05:30:00,620.0,627.0,618.0,624.0,97022.21768999,60492681.45472864
2021-06-25 05:45:00,626.0,633.0,626.0,632.0,190090.55394047,119762710.13902614
2021-06-25 06:00:00,630.0,631.0,622.0,623.0,97405.98406262,60869833.2668293
2021-06-25 06:15:00,623.0,625.0,621.0,621.0,105817.54568114,65891063.88767329
2021-06-25 06:30:00,621.0,624.0,617.0,618.0,212450.08424313,131814658.0744463
2021-06-25 06:45:00,617.0,618.0,614.0,618.0,127209.04159048,78432830.94019306
2021-06-25 07:00:00,617.0,619.0,614.0,619.0,271892.96084997,167568046.02986768
2021-06-25 07:15:00,619.0,619.0,610.0,613.0,260786.01559469,159970993.08040804
2021-06-25 07:30:00,614.0,615.0,611.0,613.0,137240.45971442,84207316.3750044
2021-06-25 07:45:00,613.0,615.0,609.0,611.0,129305.50270536,79035546.97865319
2021-06-25 08:00:00,611.0,611.0,606.0,608.0,116322.35773005,70617620.58899213
2021-06-25 08:15:00,608.0,616.0,608.0,614.0,157207.73119814,96177548.31844701
2021-06-25 08:30:00,615.0,616.0,608.0,608.0,184974.1078838,113280193.24252336
2021-06-25 08:45:00,608.0,610.0,607.0,608.0,293264.25334417,178519622.76213554
2021-06-25 09:00:00,608.0,622.0,608.0,615.0,495358.16067213,305009262.3571677
2021-06-25 09:15:00,616.0,627.0,616.0,625.0,528815.58361964,329155490.78250337
2021-06-25 09:30:00,624.0,625.0,617.0,622.0,264238.74774096,164171079.97817457
2021-06-25 09:45:00,621.0,622.0,609.0,610.0,363189.28418146,223316076.76973456
2021-06-25 10:00:00,610.0,610.0,600.0,600.0,760859.94923383,460839372.2342837
2021-06-25 10:15:00,600.0,608.0,600.0,603.0,278745.35983133,168031854.8908753
2021-06-25 10:30:00,603.0,619.0,603.0,615.0,278692.24235098,169992889.84002134
2021-06-25 10:45:00,615.0,620.0,612.0,619.0,238052.67407991,146601933.44644532
2021-06-25 11:00:00,619.0,625.0,616.0,624.0,640010.85369495,396553902.8995445
2021-06-25 11:15:00,625.0,627.0,618.0,623.0,551010.91008135,343859660.4035547
2021-06-25 11:30:00,622.0,628.0,621.0,626.0,271567.58357155,169739678.69070813
2021-06-25 11:45:00,626.0,627.0,622.0,624.0,167020.72452711,104434486.04222196
2021-06-25 12:00:00,623.0,625.0,618.0,620.0,125844.85956062,78080837.68264826
2021-06-25 12:15:00,619.0,620.0,615.0,620.0,116076.91893826,71693375.14746933
2021-06-25 12:30:00,617.0,618.0,615.0,617.0,103926.94741623,64055025.7573937
2021-06-25 12:45:00,618.0,626.0,617.0,622.0,137074.01423038,85346961.0626516
2021-06-25 13:00:00,622.0,622.0,617.0,620.0,72769.78022315,45040407.68458252
2021-06-25 13:15:00,620.0,620.0,614.0,617.0,185689.69385316,114354651.9018399
2021-06-25 13:30:00,617.0,617.0,608.0,611.0,286405.86123928,174769827.1132523
2021-06-25 13:45:00,611.0,613.0,607.0,609.0,196123.20928147,119454211.77050103
2021-06-25 14:00:00,609.0,614.0,602.0,602.0,345569.95722709,209289737.43529373
2021-06-25 14:15:00,602.0,605.0,599.0,599.0,425090.88551686,255792483.6086029
2021-06-25 14:30:00,600.0,603.0,596.0,600.0,308662.34826262,184914244.4660723
2021-06-25 14:45:00,599.0,604.0,597.0,600.0,99424.31369869,59727365.44518459
2021-06-25 15:00:00,600.0,607.0,600.0,602.0,126074.30508181,76116913.91509853
2021-06-25 15:15:00,602.0,604.0,600.0,600.0,114264.54060372,68757449.35550003
2021-06-25 15:30:00,600.0,600.0,594.0,600.0,235299.88509759,140614832.56960943
2021-06-25 15:45:00,599.0,602.0,599.0,599.0,155764.14139874,93513714.03227995
2021-06-25 16:00:00,599.0,599.0,590.0,591.0,338987.1080322,201014085.49690208
2021-06-25 16:15:00,591.0,591.0,582.0,582.0,557097.57129107,326307019.0110065
2021-06-25 16:30:00,582.0,584.0,571.0,578.0,535310.95324041,309783723.04442537
2021-06-25 16:45:00,578.0,585.0,577.0,584.0,228266.61332087,132784829.77348924
2021-06-25 17:00:00,584.0,585.0,575.0,575.0,248504.45908843,143934521.14750585
2021-06-25 17:15:00,578.0,579.0,574.0,579.0,270448.0511401,156033438.51252663
2021-06-25 17:30:00,578.0,579.0,576.0,579.0,221753.26265349,128237992.6000499
2021-06-25 17:45:00,578.0,587.0,575.0,586.0,190268.36088273,110398076.1007085
2021-06-25 18:00:00,586.0,589.0,581.0,589.0,175134.73285466,102642354.5464276
2021-06-25 18:15:00,589.0,590.0,583.0,584.0,162235.2006598,95210178.92295022
2021-06-25 18:30:00,584.0,586.0,575.0,576.0,178182.97763457,103288351.7496874
2021-06-25 18:45:00,576.0,576.0,569.0,570.0,283652.76807603,162301428.34295937
2021-06-25 19:00:00,569.0,575.0,567.0,574.0,220116.46096325,125822332.10575894
2021-06-25 19:15:00,575.0,581.0,570.0,571.0,335191.78217026,193087810.212561
2021-06-25 19:30:00,571.0,574.0,564.0,567.0,407767.57286811,231680452.7971887
2021-06-25 19:45:00,567.0,576.0,567.0,576.0,142045.47151495,81242072.81972851
2021-06-25 20:00:00,576.0,577.0,570.0,570.0,199566.36046492,114620393.11172916
2021-06-25 20:15:00,570.0,573.0,565.0,567.0,213297.79568526,121185544.69602852
2021-06-25 20:30:00,567.0,571.0,566.0,569.0,215269.79951898,122305664.77646147
2021-06-25 20:45:00,569.0,570.0,567.0,568.0,292353.32975403,166190585.50197673
2021-06-25 21:00:00,567.0,575.0,563.0,573.0,325248.06265344,184848788.1948486
2021-06-25 21:15:00,572.0,577.0,569.0,572.0,184957.46324762,106066323.3857624
2021-06-25 21:30:00,574.0,574.0,566.0,571.0,164632.51718042,93589917.34042269
2021-06-25 21:45:00,570.0,573.0,562.0,571.0,324614.37430054,183647251.07994857
2021-06-25 22:00:00,571.0,573.0,564.0,565.0,146136.85738231,83100531.05679063
2021-06-25 22:15:00,564.0,571.0,562.0,568.0,265247.47922859,150041551.39580506
2021-06-25 22:30:00,568.0,573.0,560.0,567.0,218195.8210858,123525304.71293986
2021-06-25 22:45:00,568.0,573.0,567.0,569.0,143999.06813124,82065543.35296637
2021-06-25 23:00:00,569.0,577.0,568.0,577.0,262700.09660219,150748031.46746054
2021-06-25 23:15:00,578.0,578.0,571.0,576.0,153226.06647163,88100258.65465882
2021-06-25 23:30:00,575.0,575.0,566.0,566.0,322238.6692017,182977318.94906485
2021-06-25 23:45:00,566.0,567.0,562.0,563.0,199716.47818441,112710196.01560529
2021-06-26 00:00:00,563.0,564.0,553.0,557.0,592500.34650621,329932411.2404213
2021-06-26 00:15:00,557.0,560.0,554.0,558.0,223281.87304439,124389261.29720564
2021-06-26 00:30:00,558.0,563.0,556.0,563.0,126505.16790584,70883918.78960152
2021-06-26 00:45:00,563.0,564.0,557.0,559.0,72153.91416502,40467829.43782681
2021-06-26 01:00:00,558.0,565.0,557.0,560.0,106544.84733815,59805493.62668155
2021-06-26 01:15:00,560.0,560.0,551.0,553.0,304434.59165259,168752833.1703202
2021-06-26 01:30:00,553.0,558.0,551.0,558.0,255294.02145409,141173667.78386793
2021-06-26 01:45:00,558.0,558.0,551.0,555.0,193183.00515766,107152071.36390486
2021-06-26 02:00:00,556.0,565.0,556.0,561.0,263658.51328809,147878475.30834827
2021-06-26 02:15:00,561.0,566.0,559.0,565.0,112332.71519629,63067795.17406637
2021-06-26 02:30:00,565.0,566.0,557.0,559.0,134900.59472101,75971814.01737492
2021-06-26 02:45:00,559.0,566.0,555.0,558.0,117543.32576115,65702769.26765791
2021-06-26 03:00:00,558.0,567.0,555.0,565.0,91506.52877273,51437911.95697313
2021-06-26 03:15:00,564.0,567.0,560.0,566.0,53508.98047292,30223024.37419798
2021-06-26 03:30:00,565.0,569.0,561.0,568.0,71892.16241075,40563115.40137951
2021-06-26 03:45:00,568.0,568.0,563.0,566.0,47737.21205691,26996258.37178381
2021-06-26 04:00:00,567.0,568.0,557.0,568.0,49239.02838823,27663515.81492461
2021-06-26 04:15:00,569.0,577.0,569.0,573.0,142393.93442165,81465269.97424884
2021-06-26 04:30:00,573.0,573.0,562.0,567.0,47030.22392345,26714710.07699648
2021-06-26 04:45:00,568.0,572.0,565.0,570.0,29725.13263955,16899964.7500702
2021-06-26 05:00:00,570.0,571.0,565.0,567.0,44383.09867912,25181493.09692403
2021-06-26 05:15:00,567.0,574.0,567.0,571.0,108235.18641685,61584596.83733433
2021-06-26 05:30:00,571.0,573.0,568.0,571.0,54397.6729746,31043331.56325162
2021-06-26 05:45:00,572.0,572.0,570.0,572.0,38083.78386087,21748300.06480011
