,open,high,low,close,volume,value
2021-11-11 04:35:00,3120.0,3130.0,3115.0,3125.0,47313.54769643,147617487.2038565
2021-11-11 04:40:00,3115.0,3130.0,3105.0,3105.0,103795.33890082,322832945.30633056
2021-11-11 04:45:00,3105.0,3110.0,3090.0,3090.0,338114.49398462,1046628356.1039615
2021-11-11 04:50:00,3090.0,3095.0,3075.0,3085.0,369402.77779392,1138431129.1347902
2021-11-11 04:55:00,3085.0,3090.0,3070.0,3070.0,259355.23256653,798116525.1336358
2021-11-11 05:00:00,3070.0,3085.0,3055.0,3060.0,366860.7896876,1123536624.7322643
2021-11-11 05:05:00,3060.0,3075.0,3055.0,3065.0,126659.43627051,388406977.67769843
2021-11-11 05:10:00,3070.0,3085.0,3065.0,3070.0,118369.37871487,364029565.4780654
2021-11-11 05:15:00,3070.0,3125.0,3065.0,3120.0,145540.97027907,452072779.8141903
2021-11-11 05:20:00,3120.0,3145.0,3110.0,3125.0,251653.53609608,786577855.9970844
2021-11-11 05:25:00,3125.0,3130.0,3090.0,3105.0,68661.67641261,213559331.7705742
2021-11-11 05:30:00,3100.0,3120.0,3095.0,3120.0,46698.90133541,145218909.6136558
2021-11-11 05:35:00,3120.0,3120.0,3090.0,3100.0,51168.40371603,158978404.43953204
2021-11-11 05:40:00,3100.0,3105.0,3065.0,3080.0,100340.92078099,309390872.18769175
2021-11-11 05:45:00,3080.0,3090.0,3060.0,3060.0,97193.07402905,298288490.81034243
2021-11-11 05:50:00,3060.0,3065.0,3030.0,3040.0,663205.93861164,2019848153.372535
2021-11-11 05:55:00,3040.0,3050.0,3015.0,3045.0,350080.03825661,1059961367.8946198
2021-11-11 06:00:00,3050.0,3065.0,3035.0,3050.0,169278.74781983,515264114.74173474
2021-11-11 06:05:00,3050.0,3060.0,3030.0,3030.0,99649.86582109,303394060.3294006
2021-11-11 06:10:00,3030.0,3040.0,3025.0,3035.0,119066.98257477,360792880.4603984
2021-11-11 06:15:00,3035.0,3040.0,3000.0,3005.0,688102.64078808,2070065903.217355
2021-11-11 06:20:00,3005.0,3010.0,2900.0,2900.0,1011031.33352575,2993297215.116813
2021-11-11 06:25:00,2900.0,2990.0,2880.0,2980.0,851882.40471574,2486073543.6500216
2021-11-11 06:30:00,2980.0,2995.0,2930.0,2970.0,504711.24109638,1497301465.974023
2021-11-11 06:35:00,2965.0,2980.0,2940.0,2970.0,309489.20475005,917446983.1715661
2021-11-11 06:40:00,2970.0,2975.0,2925.0,2945.0,554108.50884705,1633596971.0873964
2021-11-11 06:45:00,2945.0,2950.0,2885.0,2895.0,812487.89850298,2361848061.110457
2021-11-11 06:50:00,2900.0,2925.0,2880.0,2880.0,416661.36361315,1208518449.481786
2021-11-11 06:55:00,2880.0,2885.0,2860.0,2865.0,580713.62328315,1667342816.6046927
2021-11-11 07:00:00,2865.0,2875.0,2805.0,2870.0,883282.95089481,2513327324.826484
2021-11-11 07:05:00,2870.0,2960.0,2855.0,2930.0,590940.78158132,1722437532.87493
2021-11-11 07:10:00,2930.0,2960.0,2920.0,2950.0,358000.66174838,1054514166.5447544
2021-11-11 07:15:00,2950.0,2955.0,2910.0,2925.0,371562.39880594,1089539783.696763
2021-11-11 07:20:00,2930.0,2950.0,2915.0,2925.0,206819.53690223,605866595.275833
2021-11-11 07:25:00,2925.0,2945.0,2920.0,2925.0,129906.84889867,381182848.7980099
2021-11-11 07:30:00,2920.0,2980.0,2915.0,2970.0,360575.02300718,1063877403.2264098
2021-11-11 07:35:00,2955.0,2995.0,2955.0,2990.0,392581.13193427,1168067003.578999
2021-11-11 07:40:00,2990.0,3000.0,2960.0,2990.0,493293.68278719,1470665496.7142622
2021-11-11 07:45:00,2990.0,3005.0,2985.0,2985.0,419272.95641248,1255127156.6212144
2021-11-11 07:50:00,2985.0,3015.0,2980.0,3000.0,426164.87864976,1279132524.632565
2021-11-11 07:55:00,3000.0,3025.0,2995.0,3020.0,344195.23923302,1037653281.5138952
2021-11-11 08:00:00,3015.0,3020.0,2995.0,3000.0,283181.83406914,849988482.385059
2021-11-11 08:05:00,3000.0,3025.0,2995.0,3015.0,172874.15109051,520528126.7464743
2021-11-11 08:10:00,3020.0,3020.0,3010.0,3015.0,116449.79980317,351073604.1006063
2021-11-11 08:15:00,3015.0,3020.0,2970.0,2980.0,318064.89785248,952016125.3071517
2021-11-11 08:20:00,2980.0,3000.0,2960.0,2990.0,265741.81699412,791360810.8072984
2021-11-11 08:25:00,2990.0,2995.0,2970.0,2975.0,252717.36780983,753601473.612185
2021-11-11 08:30:00,2975.0,3000.0,2950.0,2995.0,330122.20011107,981767544.2116616
2021-11-11 08:35:00,2995.0,3000.0,2985.0,2990.0,148945.47685988,445451440.7225301
2021-11-11 08:40:00,2990.0,3005.0,2985.0,3005.0,162024.48962872,484907073.16785824
2021-11-11 08:45:00,3000.0,3020.0,2995.0,3015.0,313916.44346805,944464925.1973088
2021-11-11 08:50:00,3015.0,3040.0,3015.0,3035.0,506159.03451592,1534492459.4066856
2021-11-11 08:55:00,3040.0,3115.0,3040.0,3085.0,1488304.57144725,4591168389.49996
2021-11-11 09:00:00,3075.0,3110.0,3035.0,3100.0,1070563.17028318,3283375005.7264204
2021-11-11 09:05:00,3100.0,3135.0,3070.0,3130.0,1949391.65667294,6069200558.011784
2021-11-11 09:10:00,3130.0,3145.0,3100.0,3125.0,1211440.34515724,3783947236.317116
2021-11-11 09:15:00,3125.0,3125.0,3060.0,3060.0,713682.11092994,2201114880.285708
2021-11-11 09:20:00,3065.0,3070.0,3035.0,3055.0,659165.99699166,2011121375.0010686
2021-11-11 09:25:00,3055.0,3080.0,3055.0,3060.0,407674.40765413,1249528847.4860125
2021-11-11 09:30:00,3060.0,3065.0,3030.0,3055.0,448835.08072355,1364653098.3031335
2021-11-11 09:35:00,3050.0,3065.0,3040.0,3045.0,259663.4394296,792046128.5559528
2021-11-11 09:40:00,3045.0,3060.0,3035.0,3040.0,251426.85328966,765333320.469449
2021-11-11 09:45:00,3040.0,3105.0,3035.0,3100.0,590854.45375353,1819048822.0736103
2021-11-11 09:50:00,3095.0,3105.0,3070.0,3100.0,470531.47550427,1453928175.3864906
