,open,high,low,close,volume,value
2019-09-28 10:00:00,33.1,33.1,33.1,33.1,3021.1450151,99999.89999981
2019-09-28 11:00:00,32.9,33.1,32.9,33.1,1691.96374622,55803.99999988
2019-09-28 12:00:00,32.9,32.9,32.7,32.7,13175.37112513,432100.108258
2019-09-28 13:00:00,32.9,33.1,32.9,32.9,2924.18318609,96206.46059968
2019-09-28 14:00:00,32.9,33.1,32.8,32.8,1506.28751652,49453.95801514
2019-09-28 15:00:00,32.9,32.9,32.8,32.8,7468.6818529,245372.76477512
2019-09-28 16:00:00,32.8,33.1,32.8,33.1,1536.517,50399.31733
2019-09-28 17:00:00,33.1,33.4,33.0,33.4,41825.10950133,1387861.02974989
2019-09-28 18:00:00,33.4,33.4,32.9,32.9,39306.03553815,1299562.54901937
2019-09-28 19:00:00,32.9,33.3,32.9,33.3,100380.67500011,3319834.82175563
2019-09-28 20:00:00,33.1,33.1,32.8,33.1,65776.21636252,2168843.68286523
2019-09-28 21:00:00,33.2,33.2,32.6,32.6,23599.90031208,770782.44048075
2019-09-28 22:00:00,32.6,32.6,32.5,32.5,16336.27343043,532462.62872647
2019-09-28 23:00:00,32.4,32.4,32.3,32.3,7171.13003094,231727.49999936
2019-09-29 00:00:00,32.1,32.1,31.6,32.0,28154.43769564,893615.47578365
2019-09-29 01:00:00,32.1,32.3,31.1,32.3,147173.39084417,4724472.51983056
2019-09-29 02:00:00,32.5,32.7,32.5,32.7,295.2,9623.25787256
2019-09-29 03:00:00,32.7,32.7,32.1,32.1,110060.68386121,3585237.58108224
2019-09-29 04:00:00,32.4,32.7,32.2,32.7,5638.44231236,182222.59803842
2019-09-29 05:00:00,32.7,32.7,32.3,32.3,1656.00301629,53516.80152956
2019-09-29 06:00:00,32.7,32.9,32.7,32.9,17149.90855623,562542.64443555
2019-09-29 07:00:00,32.8,32.9,32.7,32.9,30475.24596614,996705.50560717
2019-09-29 08:00:00,33.0,33.1,33.0,33.1,94003.41665039,3102127.15375939
2019-09-29 09:00:00,33.1,33.1,33.0,33.1,11140.54907092,368194.23424061
2019-09-29 10:00:00,33.1,33.1,33.1,33.1,137.46223564,4549.99999969
2019-09-29 12:00:00,33.0,33.0,32.7,32.7,1300.93648622,42699.77116806
2019-09-29 13:00:00,32.7,32.7,32.1,32.3,6115.57001819,197377.76533161
2019-09-29 14:00:00,32.3,33.1,32.2,32.6,2982.19920382,96221.4329785
2019-09-29 15:00:00,32.6,32.6,32.6,32.6,92.02453987,2999.99999976
2019-09-29 16:00:00,32.5,32.5,32.4,32.4,2080.199,67400.0476
2019-09-29 17:00:00,32.5,32.5,32.5,32.5,6810.06538461,221327.12499984
2019-09-29 18:00:00,32.4,32.5,32.3,32.4,1694.858,54750.7134
2019-09-29 19:00:00,32.3,32.3,31.9,31.9,111975.60761055,3572401.91232618
2019-09-29 20:00:00,32.3,32.3,32.0,32.0,339.41,10879.12
2019-09-29 21:00:00,32.1,32.1,31.2,31.2,51847.06746459,1623370.48137805
2019-09-29 22:00:00,31.2,31.7,30.8,31.7,24374.86764992,765677.22427692
2019-09-29 23:00:00,31.7,31.7,31.6,31.7,709.1515774,22423.50762053
2019-09-30 00:00:00,31.7,31.7,31.7,31.7,3104.736,98420.1312
2019-09-30 01:00:00,31.9,31.9,31.9,31.9,3247.0967931,103582.38769989
2019-09-30 02:00:00,31.9,32.1,31.9,32.1,16.0,513.5998783
2019-09-30 04:00:00,31.9,31.9,31.9,31.9,1040.677,33197.5963
2019-09-30 05:00:00,31.9,32.3,31.9,32.1,28842.49409708,926622.06088468
2019-09-30 06:00:00,32.1,32.5,32.1,32.5,8176.14118734,264092.56031303
2019-09-30 07:00:00,32.3,32.5,32.2,32.5,8405.3,270694.42385
2019-09-30 08:00:00,32.4,32.4,32.2,32.2,33.84615384,1093.23076903
2019-09-30 09:00:00,32.4,32.5,32.4,32.5,405.4382716,13136.26228469
2019-09-30 10:00:00,32.3,32.6,32.3,32.6,65363.90855288,2125651.37820378
2019-09-30 11:00:00,32.6,32.8,32.4,32.4,15850.27815726,516563.80121635
