,open,high,low,close,volume,value
2021-12-15 13:00:00,49810.0,65000.0,10350.0,16240.0,6626089.49017493,129140578542.06224
2021-12-15 13:30:00,16240.0,16380.0,13340.0,13440.0,4847307.41985304,70521953227.52792
2021-12-15 14:00:00,13420.0,13590.0,12880.0,13000.0,3077373.69951113,40881171912.694374
2021-12-15 14:30:00,13010.0,13140.0,12570.0,12730.0,2030473.16851973,26044101107.52631
2021-12-15 15:00:00,12720.0,12810.0,12450.0,12640.0,1649276.52379273,20771458426.165543
2021-12-15 15:30:00,12650.0,12870.0,12570.0,12720.0,1229325.71935991,15655605604.826311
2021-12-15 16:00:00,12710.0,12870.0,12590.0,12730.0,716748.01265939,9146795355.333162
2021-12-15 16:30:00,12700.0,13030.0,12630.0,12950.0,668937.98237729,8582816731.86832
2021-12-15 17:00:00,12960.0,13140.0,12840.0,12880.0,968340.42543978,12573366211.569338
2021-12-15 17:30:00,12890.0,12900.0,12680.0,12760.0,516076.3542436,6584240582.659927
2021-12-15 18:00:00,12770.0,12950.0,12730.0,12950.0,334621.86828957,4301269252.047594
2021-12-15 18:30:00,12930.0,13100.0,12810.0,13080.0,454876.35051421,5890640791.078166
2021-12-15 19:00:00,13070.0,13100.0,12750.0,12900.0,541491.04384834,6994834657.630977
2021-12-15 19:30:00,12900.0,12950.0,12770.0,12810.0,369760.19646848,4759425594.572949
2021-12-15 20:00:00,12810.0,12900.0,12640.0,12780.0,548569.54581647,6996157368.455519
2021-12-15 20:30:00,12790.0,12850.0,12760.0,12800.0,176977.81363569,2265553848.1218634
2021-12-15 21:00:00,12800.0,12810.0,12500.0,12550.0,542328.85199757,6863505022.581752
2021-12-15 21:30:00,12550.0,12560.0,12100.0,12200.0,1156080.26995454,14258722717.773985
2021-12-15 22:00:00,12210.0,12300.0,12170.0,12240.0,368965.43411112,4514693624.7827635
2021-12-15 22:30:00,12240.0,12360.0,12230.0,12310.0,226803.79851063,2792453153.839045
2021-12-15 23:00:00,12310.0,12340.0,12210.0,12280.0,173397.84877935,2126657711.2701356
2021-12-15 23:30:00,12280.0,12280.0,11910.0,12100.0,550215.34665936,6644342610.019203
2021-12-16 00:00:00,12110.0,12130.0,11860.0,12030.0,365250.03392729,4376629930.373402
2021-12-16 00:30:00,12030.0,12100.0,11920.0,12020.0,177077.64854573,2130147560.660768
2021-12-16 01:00:00,12020.0,12350.0,12000.0,12220.0,193236.75726915,2350251851.0513997
2021-12-16 01:30:00,12260.0,12850.0,12220.0,12700.0,865724.39939204,10859476584.77141
2021-12-16 02:00:00,12720.0,12740.0,12380.0,12550.0,278749.06679304,3494126739.1178646
2021-12-16 02:30:00,12550.0,12670.0,12410.0,12610.0,143158.17550653,1799467008.3664227
2021-12-16 03:00:00,12610.0,12610.0,12390.0,12510.0,90028.25277437,1126790419.1441648
2021-12-16 03:30:00,12510.0,12520.0,12170.0,12260.0,179344.22779302,2214797562.0319896
2021-12-16 04:00:00,12270.0,12550.0,11970.0,12070.0,419029.61352404,5141525777.786518
2021-12-16 04:30:00,12080.0,12300.0,12000.0,12190.0,207087.52713207,2514777116.879645
2021-12-16 05:00:00,12190.0,12420.0,12170.0,12290.0,289357.65173948,3555960675.9390206
2021-12-16 05:30:00,12290.0,12590.0,12290.0,12550.0,256645.39899325,3206483753.1196136
2021-12-16 06:00:00,12550.0,12580.0,12310.0,12390.0,190626.03344112,2368205671.83813
2021-12-16 06:30:00,12390.0,12450.0,12300.0,12310.0,176764.34104968,2186850498.3969774
2021-12-16 07:00:00,12310.0,12330.0,12200.0,12270.0,258893.92693897,3173282739.594628
2021-12-16 07:30:00,12270.0,12430.0,12230.0,12290.0,189157.48075134,2329484287.3515115
2021-12-16 08:00:00,12300.0,12460.0,12300.0,12390.0,168335.61331145,2086513826.956735
2021-12-16 08:30:00,12390.0,12480.0,12350.0,12410.0,266402.53134227,3305783613.8483467
2021-12-16 09:00:00,12420.0,13340.0,12210.0,12670.0,3132099.66098027,40345226971.95271
2021-12-16 09:30:00,12680.0,12850.0,12550.0,12760.0,730374.685611,9260838368.03749
2021-12-16 10:00:00,12760.0,12810.0,12430.0,12490.0,430793.00830742,5420371311.0778265
2021-12-16 10:30:00,12500.0,12590.0,12490.0,12560.0,138435.83115589,1736037350.709909
2021-12-16 11:00:00,12570.0,12640.0,12510.0,12560.0,146507.66910223,1841067823.7616723
2021-12-16 11:30:00,12570.0,12580.0,12500.0,12540.0,86103.99495006,1078781493.3728728
2021-12-16 12:00:00,12520.0,12550.0,12290.0,12310.0,249575.17428498,3099523006.711878
2021-12-16 12:30:00,12310.0,12340.0,12230.0,12310.0,241934.09780888,2970827188.932721
2021-12-16 13:00:00,12310.0,12390.0,12210.0,12270.0,155843.46616142,1914290802.7872846
2021-12-16 13:30:00,12270.0,12300.0,12140.0,12150.0,175522.31024442,2140362029.9901283
2021-12-16 14:00:00,12140.0,12200.0,12110.0,12150.0,165645.75482035,2013388419.2037916
2021-12-16 14:30:00,12150.0,12170.0,11960.0,11980.0,272837.2212939,3290412570.72635
2021-12-16 15:00:00,11970.0,12030.0,11930.0,12020.0,242657.43533268,2909893948.153835
2021-12-16 15:30:00,12020.0,12130.0,12010.0,12080.0,97928.30361109,1181083498.7207692
2021-12-16 16:00:00,12080.0,12130.0,12030.0,12100.0,98304.04752301,1185690853.03294
2021-12-16 16:30:00,12110.0,12130.0,12030.0,12040.0,91001.0690974,1098739169.5563023
2021-12-16 17:00:00,12050.0,12050.0,11980.0,12020.0,146038.46023764,1754672598.0963073
2021-12-16 17:30:00,12020.0,12080.0,12000.0,12030.0,113341.87512739,1363360301.8695796
2021-12-16 18:00:00,12030.0,12080.0,12020.0,12040.0,54743.86210221,659718316.1382464
2021-12-16 18:30:00,12040.0,12110.0,12040.0,12090.0,62142.81576871,750961516.4491271
2021-12-16 19:00:00,12090.0,12210.0,12070.0,12120.0,179439.2065803,2179959666.854933
2021-12-16 19:30:00,12120.0,12140.0,12070.0,12140.0,100628.8699001,1218053922.2703817
2021-12-16 20:00:00,12140.0,12140.0,12060.0,12100.0,90229.85053211,1091264745.454829
2021-12-16 20:30:00,12100.0,12230.0,12100.0,12200.0,146967.91648775,1786419749.5457876
2021-12-16 21:00:00,12200.0,12200.0,12120.0,12180.0,101944.47037916,1239728527.3881254
2021-12-16 21:30:00,12180.0,12180.0,11960.0,12000.0,240939.78920043,2901060241.450399
2021-12-16 22:00:00,12000.0,12030.0,11870.0,11980.0,318995.53956053,3808773063.9739647
2021-12-16 22:30:00,11990.0,12110.0,11920.0,12060.0,161887.59607126,1943558069.3621733
2021-12-16 23:00:00,12060.0,12140.0,12000.0,12100.0,108547.55456886,1311109017.4207337
2021-12-16 23:30:00,12100.0,12290.0,12080.0,12150.0,198862.57824012,2423420561.7712073
2021-12-17 00:00:00,12150.0,12200.0,12010.0,12160.0,138190.02856356,1672512230.0221443
2021-12-17 00:30:00,12160.0,12260.0,12160.0,12230.0,77092.26370563,940953262.3671937
2021-12-17 01:00:00,12220.0,12290.0,12120.0,12240.0,61884.98387921,757136840.3221651
2021-12-17 01:30:00,12250.0,12260.0,12120.0,12180.0,43235.53248958,527627565.7793996
2021-12-17 02:00:00,12180.0,12240.0,12170.0,12190.0,33084.17518439,403882363.4795368
2021-12-17 02:30:00,12190.0,12650.0,12150.0,12510.0,153705.63094692,1914254174.0875325
2021-12-17 03:00:00,12510.0,12620.0,12300.0,12420.0,74520.30037473,929085684.8026819
2021-12-17 03:30:00,12410.0,12420.0,12050.0,12130.0,63808.72188312,778597523.8758045
2021-12-17 04:00:00,12130.0,12190.0,12000.0,12050.0,52819.36215884,635905185.7529753
2021-12-17 04:30:00,12040.0,12050.0,11930.0,11950.0,57718.5881776,691391054.8045552
2021-12-17 05:00:00,11940.0,12140.0,11940.0,12090.0,24916.98888419,300251992.2938265
2021-12-17 05:30:00,12090.0,12110.0,12010.0,12030.0,21494.32280432,259099262.1850063
2021-12-17 06:00:00,12030.0,12070.0,11990.0,12000.0,33576.5032233,403370856.7799121
2021-12-17 06:30:00,12030.0,12040.0,12000.0,12030.0,25374.14040535,304766262.6679789
