,open,high,low,close,volume,value
2021-10-15 15:30:00,314.0,1255.0,314.0,866.0,106660693.35446617,103555281646.92795
2021-10-15 15:45:00,868.0,1630.0,850.0,1460.0,189824460.39780375,213357589979.26868
2021-10-15 16:00:00,1435.0,1740.0,1210.0,1300.0,129136758.86178406,174447691796.47784
2021-10-15 16:15:00,1300.0,1385.0,1230.0,1305.0,81740641.01558386,107532177504.95723
2021-10-15 16:30:00,1290.0,1380.0,1275.0,1330.0,60427078.85225709,79974711287.86252
2021-10-15 16:45:00,1335.0,1865.0,1325.0,1705.0,153340481.49483824,238691039923.91565
2021-10-15 17:00:00,1720.0,3430.0,1660.0,3345.0,204900116.13133597,501263771474.3365
2021-10-15 17:15:00,3400.0,10000.0,3320.0,4355.0,99418263.0226751,484702435329.0899
2021-10-15 17:30:00,4470.0,7510.0,4225.0,5900.0,78275291.551344,454194093801.0615
2021-10-15 17:45:00,5905.0,6000.0,3455.0,4000.0,92102941.3397074,412190923870.9927
2021-10-15 18:00:00,4065.0,4225.0,2900.0,3275.0,73827203.72703423,247112302943.2355
2021-10-15 18:15:00,3260.0,4705.0,3250.0,4250.0,77132191.24202609,309958603447.364
2021-10-15 18:30:00,4280.0,4340.0,2715.0,2985.0,88051578.30901904,291702300286.33545
2021-10-15 18:45:00,2975.0,3170.0,2700.0,3150.0,48610557.90315384,143049725340.8816
2021-10-15 19:00:00,3160.0,3280.0,2920.0,3110.0,49050914.37764088,153732275025.58362
2021-10-15 19:15:00,3105.0,3150.0,2765.0,2850.0,28374989.97450936,84814194875.52574
2021-10-15 19:30:00,2860.0,2955.0,2460.0,2575.0,40881600.75745735,111143734321.09438
2021-10-15 19:45:00,2580.0,2685.0,2430.0,2630.0,37813517.26477746,96957539157.89958
2021-10-15 20:00:00,2630.0,2740.0,2540.0,2625.0,25624068.63058405,67658693156.59179
2021-10-15 20:15:00,2625.0,2910.0,2585.0,2895.0,34394042.171761,95354671810.04727
2021-10-15 20:30:00,2885.0,2920.0,2475.0,2545.0,39703325.86677477,106988513596.33177
2021-10-15 20:45:00,2550.0,2590.0,2430.0,2495.0,27250090.38369106,68319700085.099976
2021-10-15 21:00:00,2495.0,2590.0,2450.0,2515.0,21235713.13859339,53663967562.11714
2021-10-15 21:15:00,2510.0,2615.0,2475.0,2595.0,17354412.68643485,44124367137.86791
2021-10-15 21:30:00,2595.0,2640.0,2520.0,2530.0,23784098.7610912,61494451498.86779
2021-10-15 21:45:00,2530.0,2565.0,2480.0,2520.0,13369057.73584773,33813481074.365322
2021-10-15 22:00:00,2515.0,2675.0,2495.0,2625.0,25719545.10592445,66809788010.18974
2021-10-15 22:15:00,2630.0,2675.0,2500.0,2530.0,24156190.74381453,62147206308.163795
2021-10-15 22:30:00,2530.0,2595.0,2520.0,2580.0,13460893.13735112,34434660767.14289
2021-10-15 22:45:00,2580.0,2580.0,2250.0,2270.0,35781895.22669685,86204255767.97691
2021-10-15 23:00:00,2275.0,2310.0,2000.0,2060.0,61623264.27253838,130912791346.05928
2021-10-15 23:15:00,2055.0,2080.0,1940.0,2000.0,43187146.19492081,86288123351.3846
2021-10-15 23:30:00,1995.0,2010.0,1895.0,1950.0,36677878.47404579,71370968551.18474
2021-10-15 23:45:00,1950.0,1980.0,1835.0,1850.0,28879468.21977301,55527071429.16394
2021-10-16 00:00:00,1850.0,1860.0,1775.0,1775.0,31901853.98184239,57839336704.46625
2021-10-16 00:15:00,1780.0,1815.0,1730.0,1760.0,21072098.59136434,37372868429.45655
2021-10-16 00:30:00,1765.0,1805.0,1755.0,1775.0,15161871.76030593,27081610095.185963
2021-10-16 00:45:00,1780.0,1785.0,1715.0,1750.0,14088525.42690488,24640942145.51251
2021-10-16 01:00:00,1750.0,1755.0,1680.0,1725.0,16339254.47120777,27942868423.315144
2021-10-16 01:15:00,1725.0,1770.0,1695.0,1750.0,11003717.93807827,19112842474.663338
2021-10-16 01:30:00,1750.0,1835.0,1750.0,1780.0,23490456.15368542,42145352648.38086
2021-10-16 01:45:00,1780.0,1780.0,1735.0,1775.0,9665785.79570833,16994808160.819069
2021-10-16 02:00:00,1770.0,1775.0,1730.0,1730.0,6573594.89986539,11541982183.0049
2021-10-16 02:15:00,1735.0,1745.0,1715.0,1735.0,5319408.71372048,9194123653.186329
2021-10-16 02:30:00,1735.0,1755.0,1710.0,1715.0,4715310.22175033,8172646863.845695
2021-10-16 02:45:00,1715.0,1720.0,1630.0,1655.0,11124867.43593709,18495732440.430428
2021-10-16 03:00:00,1655.0,1675.0,1640.0,1660.0,4175200.14669352,6929646324.599505
2021-10-16 03:15:00,1665.0,1690.0,1645.0,1675.0,3784994.25240141,6312158064.256078
2021-10-16 03:30:00,1670.0,1685.0,1575.0,1595.0,10259018.30268492,16552494804.268488
2021-10-16 03:45:00,1595.0,1620.0,1535.0,1540.0,6773690.15827827,10645361090.863153
2021-10-16 04:00:00,1540.0,1565.0,1520.0,1530.0,6015868.25750944,9275120440.00094
2021-10-16 04:15:00,1530.0,1545.0,1470.0,1485.0,7949632.40261589,11949971296.685614
2021-10-16 04:30:00,1485.0,1525.0,1480.0,1510.0,4481196.38899234,6732543993.879619
2021-10-16 04:45:00,1505.0,1510.0,1440.0,1465.0,7261833.34320508,10670528474.746212
2021-10-16 05:00:00,1460.0,1515.0,1460.0,1500.0,4780306.31981627,7073087481.619011
2021-10-16 05:15:00,1500.0,1520.0,1475.0,1500.0,4127585.11284197,6178538838.346649
2021-10-16 05:30:00,1505.0,1520.0,1445.0,1455.0,7038676.03939474,10450932857.074633
2021-10-16 05:45:00,1455.0,1495.0,1435.0,1460.0,6926734.64117874,10130694791.116812
2021-10-16 06:00:00,1460.0,1475.0,1440.0,1455.0,4770758.66523016,6940105947.405029
2021-10-16 06:15:00,1460.0,1600.0,1455.0,1595.0,14328368.60301397,22161289490.0279
