,open,high,low,close,volume,value
2021-10-15 15:30:00,314.0,1630.0,314.0,1460.0,296485153.7522699,316912871626.19666
2021-10-15 16:00:00,1435.0,1740.0,1210.0,1305.0,210877399.8773679,281979869301.43506
2021-10-15 16:30:00,1290.0,1865.0,1275.0,1705.0,213767560.34709534,318665751211.7782
2021-10-15 17:00:00,1720.0,10000.0,1660.0,4355.0,304318379.1540111,985966206803.4264
2021-10-15 17:30:00,4470.0,7510.0,3455.0,4000.0,170378232.8910514,866385017672.0542
2021-10-15 18:00:00,4065.0,4705.0,2900.0,4250.0,150959394.96906033,557070906390.5996
2021-10-15 18:30:00,4280.0,4340.0,2700.0,3150.0,136662136.21217287,434752025627.21704
2021-10-15 19:00:00,3160.0,3280.0,2765.0,2850.0,77425904.35215025,238546469901.10934
2021-10-15 19:30:00,2860.0,2955.0,2430.0,2630.0,78695118.02223481,208101273478.99396
2021-10-15 20:00:00,2630.0,2910.0,2540.0,2895.0,60018110.80234505,163013364966.63907
2021-10-15 20:30:00,2885.0,2920.0,2430.0,2495.0,66953416.25046583,175308213681.43176
2021-10-15 21:00:00,2495.0,2615.0,2450.0,2595.0,38590125.82502824,97788334699.98505
2021-10-15 21:30:00,2595.0,2640.0,2480.0,2520.0,37153156.49693893,95307932573.23311
2021-10-15 22:00:00,2515.0,2675.0,2495.0,2530.0,49875735.84973898,128956994318.35353
2021-10-15 22:30:00,2530.0,2595.0,2250.0,2270.0,49242788.36404797,120638916535.1198
2021-10-15 23:00:00,2275.0,2310.0,1940.0,2000.0,104810410.46745919,217200914697.44388
2021-10-15 23:30:00,1995.0,2010.0,1835.0,1850.0,65557346.6938188,126898039980.34868
2021-10-16 00:00:00,1850.0,1860.0,1730.0,1760.0,52973952.57320673,95212205133.92279
2021-10-16 00:30:00,1765.0,1805.0,1715.0,1750.0,29250397.18721081,51722552240.69847
2021-10-16 01:00:00,1750.0,1770.0,1680.0,1750.0,27342972.40928604,47055710897.97848
2021-10-16 01:30:00,1750.0,1835.0,1735.0,1775.0,33156241.94939375,59140160809.19993
2021-10-16 02:00:00,1770.0,1775.0,1715.0,1735.0,11893003.61358587,20736105836.19123
2021-10-16 02:30:00,1735.0,1755.0,1630.0,1655.0,15840177.65768742,26668379304.276123
2021-10-16 03:00:00,1655.0,1690.0,1640.0,1675.0,7960194.39909493,13241804388.855583
2021-10-16 03:30:00,1670.0,1685.0,1535.0,1540.0,17032708.46096319,27197855895.13164
2021-10-16 04:00:00,1540.0,1565.0,1470.0,1485.0,13965500.66012533,21225091736.686554
2021-10-16 04:30:00,1485.0,1525.0,1440.0,1465.0,11743029.73219742,17403072468.62583
2021-10-16 05:00:00,1460.0,1520.0,1460.0,1500.0,8907891.43265824,13251626319.96566
2021-10-16 05:30:00,1505.0,1520.0,1435.0,1460.0,13965410.68057348,20581627648.191444
2021-10-16 06:00:00,1460.0,1600.0,1440.0,1595.0,19099127.26824413,29101395437.43293
2021-10-16 06:30:00,1590.0,1685.0,1555.0,1650.0,49619683.59898616,80401155651.54897
2021-10-16 07:00:00,1645.0,2260.0,1645.0,2190.0,123812498.0453814,237689460179.17474
2021-10-16 07:30:00,2215.0,2220.0,1875.0,2075.0,130488922.89338745,263513820725.47913
2021-10-16 08:00:00,2075.0,2165.0,1885.0,1925.0,96180692.33559527,197106772165.04514
2021-10-16 08:30:00,1930.0,1930.0,1710.0,1815.0,101815243.03129528,183210846484.97162
2021-10-16 09:00:00,1825.0,1980.0,1605.0,1645.0,166574378.81435525,296972669739.9676
2021-10-16 09:30:00,1645.0,1970.0,1640.0,1945.0,104838061.7198642,191297788900.30518
2021-10-16 10:00:00,1960.0,1995.0,1800.0,1835.0,73454493.45825754,138950267618.3506
2021-10-16 10:30:00,1830.0,1890.0,1700.0,1705.0,34447755.9370996,61880358298.30794
2021-10-16 11:00:00,1700.0,1790.0,1675.0,1790.0,24378466.11630874,42211635962.381775
2021-10-16 11:30:00,1790.0,1835.0,1745.0,1830.0,20345695.31557752,36362518099.11142
2021-10-16 12:00:00,1830.0,1940.0,1810.0,1890.0,49722254.43831916,93411946718.86057
2021-10-16 12:30:00,1890.0,2345.0,1885.0,2280.0,208288633.65304494,454259474660.6565
2021-10-16 13:00:00,2275.0,2760.0,2215.0,2425.0,228735380.31462663,559385463139.7666
2021-10-16 13:30:00,2420.0,2510.0,2175.0,2355.0,115385765.72341783,266300212070.03912
2021-10-16 14:00:00,2350.0,2455.0,2285.0,2405.0,68688634.75632928,162907521832.88596
2021-10-16 14:30:00,2410.0,2445.0,2280.0,2285.0,41316720.65056662,98038738817.05934
2021-10-16 15:00:00,2285.0,2380.0,2280.0,2365.0,20876217.58637482,48795205589.35712
2021-10-16 15:30:00,2360.0,2485.0,2330.0,2440.0,44557992.74351007,107635266308.31589
2021-10-16 16:00:00,2435.0,2445.0,2205.0,2235.0,43199173.48769859,99342855388.10281
2021-10-16 16:30:00,2235.0,2280.0,2085.0,2195.0,52603985.94253225,114020304377.3096
2021-10-16 17:00:00,2190.0,2230.0,1930.0,1950.0,66823024.78090887,136205179948.3657
2021-10-16 17:30:00,1945.0,1995.0,1855.0,1985.0,57950432.04066039,111247952177.13295
2021-10-16 18:00:00,1990.0,2035.0,1925.0,1950.0,34631038.30622175,68576422958.41215
2021-10-16 18:30:00,1950.0,1975.0,1890.0,1955.0,18089988.77532449,35109547050.23445
2021-10-16 19:00:00,1955.0,1960.0,1910.0,1925.0,9986246.41771935,19245263367.874386
2021-10-16 19:30:00,1925.0,1985.0,1920.0,1985.0,17515600.15834066,34379758561.18953
2021-10-16 20:00:00,1990.0,2070.0,1970.0,2060.0,40756560.35124747,82364529387.16217
2021-10-16 20:30:00,2060.0,2085.0,1930.0,1945.0,33695682.48428054,67309374961.979904
2021-10-16 21:00:00,1945.0,1965.0,1905.0,1945.0,15259975.51181022,29476391183.810852
2021-10-16 21:30:00,1935.0,1940.0,1795.0,1835.0,29988206.47263186,55892268024.82016
2021-10-16 22:00:00,1835.0,1920.0,1835.0,1860.0,26925008.33237653,50485043753.80509
2021-10-16 22:30:00,1855.0,1935.0,1850.0,1910.0,17125154.10439591,32441926376.076954
2021-10-16 23:00:00,1905.0,1915.0,1870.0,1880.0,8214700.01805099,15516041100.52722
2021-10-16 23:30:00,1880.0,2000.0,1875.0,1910.0,41559972.15074909,80941142193.19952
2021-10-17 00:00:00,1915.0,1965.0,1910.0,1930.0,14503838.53742807,28084213561.368935
2021-10-17 00:30:00,1930.0,1935.0,1895.0,1920.0,5417565.92379676,10366745689.577732
2021-10-17 01:00:00,1915.0,1920.0,1865.0,1880.0,5706429.57543228,10776686896.423588
2021-10-17 01:30:00,1875.0,1890.0,1820.0,1835.0,6765281.79140767,12530182099.09658
2021-10-17 02:00:00,1835.0,1885.0,1830.0,1870.0,4104918.72245624,7616591993.258323
2021-10-17 02:30:00,1870.0,1890.0,1850.0,1885.0,1694467.11615747,3164688934.890549
2021-10-17 03:00:00,1885.0,1890.0,1850.0,1860.0,1515687.93687292,2832714064.7471213
2021-10-17 03:30:00,1860.0,1880.0,1835.0,1880.0,1725862.37519643,3203464388.628804
2021-10-17 04:00:00,1880.0,1980.0,1875.0,1975.0,10670979.45955545,20744729542.13013
2021-10-17 04:30:00,1970.0,1975.0,1930.0,1955.0,3633063.01374077,7075780838.257999
2021-10-17 05:00:00,1950.0,1955.0,1915.0,1920.0,2779555.40799442,5365489722.670404
2021-10-17 05:30:00,1920.0,1930.0,1905.0,1910.0,1892053.50798802,3625663451.167615
2021-10-17 06:00:00,1910.0,1995.0,1900.0,1935.0,6926647.53672322,13532533321.390123
2021-10-17 06:30:00,1940.0,1960.0,1920.0,1950.0,3787065.35755226,7353873771.08403
2021-10-17 07:00:00,1950.0,1985.0,1930.0,1965.0,6601790.37915147,12979102935.963936
2021-10-17 07:30:00,1965.0,1970.0,1935.0,1955.0,5262839.59044124,10287610313.514368
2021-10-17 08:00:00,1955.0,1955.0,1915.0,1920.0,5976642.28955497,11549666122.906708
2021-10-17 08:30:00,1920.0,1945.0,1900.0,1930.0,8958581.08940137,17190911397.370285
2021-10-17 09:00:00,1930.0,2050.0,1890.0,2010.0,66625887.4031424,132240260354.56934
2021-10-17 09:30:00,2010.0,2125.0,2005.0,2015.0,67030929.54844845,138687535570.94614
2021-10-17 10:00:00,2010.0,2060.0,1980.0,2055.0,23585220.15991398,47605099688.522835
2021-10-17 10:30:00,2055.0,2070.0,2005.0,2045.0,11215347.18661976,22882861518.163937
2021-10-17 11:00:00,2045.0,2095.0,2035.0,2085.0,19060111.2628551,39329560341.20086
2021-10-17 11:30:00,2090.0,2155.0,2065.0,2095.0,36990837.86329932,78169779295.94096
2021-10-17 12:00:00,2095.0,2240.0,2095.0,2160.0,49112646.00621475,106757982052.2756
2021-10-17 12:30:00,2160.0,2205.0,2120.0,2125.0,33712490.84415039,72844230196.26588
2021-10-17 13:00:00,2125.0,2135.0,2030.0,2045.0,34625065.91405405,71921421860.81706
2021-10-17 13:30:00,2040.0,2065.0,2035.0,2055.0,12191044.40719207,24999599390.97901
2021-10-17 14:00:00,2055.0,2075.0,2035.0,2050.0,8227610.41907498,16892015658.392738
