,open,high,low,close,volume,value
2021-10-15 15:00:00,314.0,1630.0,314.0,1460.0,296485153.7522699,316912871626.19666
2021-10-15 16:00:00,1435.0,1865.0,1210.0,1705.0,424644960.2244632,600645620513.2133
2021-10-15 17:00:00,1720.0,10000.0,1660.0,4000.0,474696612.0450625,1852351224475.4805
2021-10-15 18:00:00,4065.0,4705.0,2700.0,3150.0,287621531.1812332,991822932017.8167
2021-10-15 19:00:00,3160.0,3280.0,2430.0,2630.0,156121022.37438506,446647743380.10333
2021-10-15 20:00:00,2630.0,2920.0,2430.0,2495.0,126971527.05281088,338321578648.0708
2021-10-15 21:00:00,2495.0,2640.0,2450.0,2520.0,75743282.32196717,193096267273.21817
2021-10-15 22:00:00,2515.0,2675.0,2250.0,2270.0,99118524.21378694,249595910853.47333
2021-10-15 23:00:00,2275.0,2310.0,1835.0,1850.0,170367757.16127798,344098954677.79254
2021-10-16 00:00:00,1850.0,1860.0,1715.0,1750.0,82224349.76041754,146934757374.62128
2021-10-16 01:00:00,1750.0,1835.0,1680.0,1775.0,60499214.35867979,106195871707.1784
2021-10-16 02:00:00,1770.0,1775.0,1630.0,1655.0,27733181.27127329,47404485140.467354
2021-10-16 03:00:00,1655.0,1690.0,1535.0,1540.0,24992902.86005812,40439660283.98723
2021-10-16 04:00:00,1540.0,1565.0,1440.0,1465.0,25708530.39232275,38628164205.312386
2021-10-16 05:00:00,1460.0,1520.0,1435.0,1460.0,22873302.11323172,33833253968.157104
2021-10-16 06:00:00,1460.0,1685.0,1440.0,1650.0,68718810.8672303,109502551088.9819
2021-10-16 07:00:00,1645.0,2260.0,1645.0,2075.0,254301420.93876886,501203280904.6539
2021-10-16 08:00:00,2075.0,2165.0,1710.0,1815.0,197995935.36689055,380317618650.0168
2021-10-16 09:00:00,1825.0,1980.0,1605.0,1945.0,271412440.53421944,488270458640.2727
2021-10-16 10:00:00,1960.0,1995.0,1700.0,1705.0,107902249.39535715,200830625916.6585
2021-10-16 11:00:00,1700.0,1835.0,1675.0,1830.0,44724161.43188626,78574154061.4932
2021-10-16 12:00:00,1830.0,2345.0,1810.0,2280.0,258010888.09136412,547671421379.517
2021-10-16 13:00:00,2275.0,2760.0,2175.0,2355.0,344695865.55386955,827093020605.8938
2021-10-16 14:00:00,2350.0,2455.0,2280.0,2285.0,110005355.4068959,260946260649.94528
2021-10-16 15:00:00,2285.0,2485.0,2280.0,2440.0,65434210.32988489,156430471897.673
2021-10-16 16:00:00,2435.0,2445.0,2085.0,2195.0,95803159.43023084,213363159765.4124
2021-10-16 17:00:00,2190.0,2230.0,1855.0,1985.0,124773456.82156926,247453132125.49866
2021-10-16 18:00:00,1990.0,2035.0,1890.0,1955.0,52721027.08154624,103685970008.64659
2021-10-16 19:00:00,1955.0,1985.0,1910.0,1985.0,27501846.57606001,53625021929.06392
2021-10-16 20:00:00,1990.0,2085.0,1930.0,1945.0,74452242.83552802,149673904349.1421
