,open,high,low,close,volume,value
2020-11-27 09:00:00,168.0,176.0,163.0,166.0,563854.02953123,95999738.51324387
2020-11-27 09:30:00,167.0,170.0,166.0,169.0,47391.95728254,7986409.96252272
2020-11-27 10:00:00,170.0,171.0,167.0,168.0,285484.7156708,47857191.09065185
2020-11-27 10:30:00,168.0,172.0,167.0,169.0,205070.55514494,34675382.38155424
2020-11-27 11:00:00,169.0,172.0,167.0,167.0,140380.5662941,23798804.73411113
2020-11-27 11:30:00,168.0,169.0,162.0,168.0,261934.65984311,43314505.64710591
2020-11-27 12:00:00,166.0,168.0,166.0,167.0,9685.93428573,1625019.15331164
2020-11-27 12:30:00,167.0,167.0,163.0,164.0,35134.10402227,5798282.50543041
2020-11-27 13:00:00,163.0,167.0,163.0,167.0,50871.19225204,8371786.80465318
2020-11-27 13:30:00,167.0,170.0,165.0,169.0,45313.66942701,7601006.17930817
2020-11-27 14:00:00,168.0,171.0,168.0,170.0,63374.37880587,10756159.83319055
2020-11-27 14:30:00,171.0,172.0,169.0,171.0,87173.74254581,14860787.52860286
2020-11-27 15:00:00,170.0,171.0,164.0,166.0,129765.75440207,21836031.33731362
2020-11-27 15:30:00,168.0,170.0,166.0,168.0,32771.4861536,5517869.16777962
2020-11-27 16:00:00,169.0,174.0,168.0,169.0,79166.17937851,13562308.40186264
2020-11-27 16:30:00,168.0,168.0,163.0,163.0,48220.97272641,7967370.79800118
2020-11-27 17:00:00,163.0,172.0,158.0,160.0,652588.27638505,108164852.29165246
2020-11-27 17:30:00,160.0,165.0,155.0,160.0,159977.88356673,25553127.01329132
2020-11-27 18:00:00,160.0,172.0,160.0,163.0,320180.23067495,53917751.62609185
2020-11-27 18:30:00,163.0,163.0,156.0,156.0,119330.19258078,18728077.77731565
2020-11-27 19:00:00,158.0,161.0,157.0,159.0,42180.70344738,6700518.10886638
2020-11-27 19:30:00,159.0,164.0,159.0,161.0,51404.81057913,8313316.72500744
2020-11-27 20:00:00,161.0,161.0,159.0,160.0,11253.20915102,1794322.16716989
2020-11-27 20:30:00,160.0,160.0,158.0,160.0,32982.49170689,5224102.83341462
2020-11-27 21:00:00,161.0,162.0,160.0,160.0,22717.13784188,3646745.08230011
2020-11-27 21:30:00,160.0,164.0,160.0,164.0,15249.42937511,2479655.21404809
2020-11-27 22:00:00,163.0,164.0,162.0,163.0,37250.23016554,6077078.00447869
2020-11-27 22:30:00,164.0,164.0,161.0,161.0,26230.40016245,4275575.45452679
2020-11-27 23:00:00,160.0,161.0,159.0,161.0,44715.12886833,7111953.65548422
2020-11-27 23:30:00,160.0,164.0,159.0,162.0,7289.89326887,1172472.09991638
2020-11-28 00:00:00,163.0,163.0,162.0,162.0,185.32583978,30100.34265337
2020-11-28 00:30:00,162.0,163.0,161.0,163.0,1859.5007319,300606.23878593
2020-11-28 01:00:00,162.0,164.0,161.0,163.0,3548.03892962,573715.23731462
2020-11-28 01:30:00,163.0,164.0,162.0,163.0,1461.15062001,237489.59107444
2020-11-28 02:00:00,162.0,164.0,158.0,164.0,20321.27346665,3239199.9627832
2020-11-28 03:00:00,164.0,164.0,164.0,164.0,50.0,8200.0
2020-11-28 04:00:00,162.0,162.0,162.0,162.0,450.0,72900.0
2020-11-28 04:30:00,163.0,164.0,163.0,164.0,64.36138915,10493.91812735
2020-11-28 05:30:00,164.0,164.0,164.0,164.0,3473.2572738,569614.1929032
2020-11-28 06:00:00,162.0,163.0,162.0,163.0,3462.76838661,560971.50804258
2020-11-28 06:30:00,162.0,162.0,162.0,162.0,326.11734432,52831.00977984
2020-11-28 07:00:00,164.0,164.0,164.0,164.0,849.29099844,139283.72374416
2020-11-28 07:30:00,164.0,164.0,164.0,164.0,796.92682924,130695.99999536
2020-11-28 08:00:00,163.0,165.0,163.0,165.0,18805.40849059,3086712.41073769
2020-11-28 08:30:00,165.0,166.0,164.0,166.0,37289.06066728,6176043.36813161
2020-11-28 09:00:00,167.0,167.0,165.0,165.0,92749.45011163,15406649.11605721
2020-11-28 09:30:00,165.0,168.0,165.0,168.0,140602.44470673,23488421.03104636
2020-11-28 10:00:00,168.0,169.0,164.0,166.0,76868.37728331,12797706.42650806
2020-11-28 10:30:00,167.0,167.0,164.0,166.0,110727.12370728,18265972.14834488
2020-11-28 11:00:00,165.0,167.0,165.0,165.0,1708.0522797,281980.03113558
2020-11-28 11:30:00,165.0,166.0,164.0,166.0,16520.3532788,2720443.23189357
2020-11-28 12:00:00,165.0,166.0,164.0,165.0,3250.55538516,535752.59035862
2020-11-28 12:30:00,165.0,166.0,164.0,165.0,26467.25895674,4378040.40024286
2020-11-28 13:00:00,165.0,165.0,161.0,165.0,47530.84713918,7750843.04680895
2020-11-28 13:30:00,165.0,166.0,165.0,166.0,33571.17407852,5550895.33689878
2020-11-28 14:00:00,166.0,166.0,166.0,166.0,9.03608433,1499.98999878
2020-11-28 14:30:00,165.0,166.0,165.0,166.0,362.54107338,59999.99999926
2020-11-28 15:00:00,165.0,166.0,165.0,166.0,2752.84847624,454222.97545821
2020-11-28 15:30:00,166.0,166.0,166.0,166.0,120.45182227,19995.00249682
2020-11-28 16:00:00,166.0,167.0,166.0,167.0,7847.26711159,1302885.86148202
2020-11-28 16:30:00,167.0,167.0,166.0,167.0,11697.92942106,1944231.6190966
2020-11-28 17:00:00,167.0,167.0,166.0,167.0,16720.14629929,2778180.31367112
2020-11-28 17:30:00,167.0,168.0,164.0,164.0,78942.5425117,13111623.07289107
2020-11-28 18:00:00,164.0,166.0,164.0,166.0,13273.97740566,2178533.17890432
2020-11-28 18:30:00,166.0,166.0,165.0,166.0,267.53285663,44148.91629484
2020-11-28 19:00:00,166.0,166.0,165.0,166.0,6659.83232072,1101368.63223917
2020-11-28 19:30:00,166.0,168.0,166.0,168.0,23630.93110119,3931255.98193221
2020-11-28 20:00:00,166.0,166.0,166.0,166.0,11424.33466395,1896439.5542157
2020-11-28 20:30:00,166.0,167.0,166.0,167.0,5217.4523308,870149.9301057
2020-11-28 21:00:00,167.0,167.0,167.0,167.0,2953.40958082,493219.39999694
2020-11-28 21:30:00,166.0,166.0,166.0,166.0,7357.28502468,1221309.31409688
2020-11-28 22:00:00,166.0,166.0,165.0,166.0,7564.68587679,1248236.14654896
2020-11-28 22:30:00,166.0,169.0,166.0,168.0,45173.61291436,7536276.55264237
2020-11-28 23:00:00,167.0,168.0,166.0,166.0,41263.75572678,6877532.30840334
2020-11-28 23:30:00,167.0,169.0,167.0,168.0,17293.12535328,2896297.41842246
2020-11-29 00:00:00,169.0,169.0,164.0,166.0,98732.90633957,16419151.94268513
2020-11-29 00:30:00,167.0,168.0,167.0,168.0,68241.91098107,11431733.18557423
2020-11-29 01:00:00,168.0,170.0,167.0,167.0,58041.88350787,9788765.25149347
2020-11-29 01:30:00,169.0,169.0,167.0,167.0,19436.02638746,3253990.62000692
2020-11-29 02:00:00,167.0,167.0,167.0,167.0,2527.63100913,422114.37852471
2020-11-29 02:30:00,168.0,168.0,167.0,167.0,8362.6644172,1397174.7792497
2020-11-29 03:00:00,167.0,168.0,167.0,168.0,3103.71420826,520763.98698768
2020-11-29 03:30:00,168.0,168.0,168.0,168.0,60.24096385,10120.4819268
2020-11-29 04:00:00,169.0,169.0,169.0,169.0,1400.0,236600.0
2020-11-29 05:00:00,169.0,169.0,169.0,169.0,2394.13429378,404608.69564882
2020-11-29 05:30:00,168.0,168.0,168.0,168.0,66.13890506,11111.33605008
2020-11-29 06:00:00,169.0,169.0,168.0,168.0,357.95572215,60139.48745756
2020-11-29 06:30:00,169.0,169.0,166.0,166.0,30793.18664348,5143496.44368299
2020-11-29 07:30:00,168.0,168.0,168.0,168.0,53.24508697,8945.17461096
2020-11-29 08:00:00,168.0,169.0,168.0,169.0,2027.09710947,342406.17756946
2020-11-29 08:30:00,168.0,169.0,168.0,169.0,1890.09883233,317702.2843048
2020-11-29 09:00:00,169.0,178.0,169.0,170.0,1030224.32548492,180257704.8554632
2020-11-29 09:30:00,170.0,178.0,168.0,174.0,334215.27956612,57282577.02576788
2020-11-29 10:00:00,173.0,175.0,168.0,170.0,704667.5724897,120913080.58489172
2020-11-29 10:30:00,172.0,175.0,169.0,174.0,261052.41387682,45111149.23797639
2020-11-29 11:00:00,173.0,175.0,172.0,173.0,265202.89352335,46020818.25623605
2020-11-29 11:30:00,173.0,174.0,170.0,170.0,159561.65165476,27347973.86806016
