,open,high,low,close,volume,value
2021-11-11 04:30:00,1700.0,1700.0,1695.0,1700.0,16992.17537183,28824578.78237085
2021-11-11 04:35:00,1700.0,1700.0,1695.0,1695.0,23240.00914504,39488699.133729
2021-11-11 04:40:00,1700.0,1700.0,1695.0,1695.0,12317.24229226,20880666.86185125
2021-11-11 04:45:00,1695.0,1700.0,1695.0,1700.0,8066.58072032,13681265.89558215
2021-11-11 04:50:00,1700.0,1700.0,1690.0,1695.0,54131.43038937,91681250.3905591
2021-11-11 04:55:00,1695.0,1695.0,1690.0,1695.0,31953.42411578,54145763.1914366
2021-11-11 05:00:00,1690.0,1695.0,1690.0,1690.0,40073.11519938,67732301.91545585
2021-11-11 05:05:00,1690.0,1695.0,1685.0,1690.0,90677.75903966,152831915.59899235
2021-11-11 05:10:00,1685.0,1695.0,1685.0,1685.0,16139.74490041,27273057.77523345
2021-11-11 05:15:00,1685.0,1695.0,1685.0,1690.0,18155.62853248,30687568.6170978
2021-11-11 05:20:00,1690.0,1695.0,1690.0,1690.0,19025.39057399,32211864.5894247
2021-11-11 05:25:00,1690.0,1695.0,1690.0,1695.0,23575.68171991,39938893.666753
2021-11-11 05:30:00,1695.0,1695.0,1690.0,1690.0,15555.72035361,26310818.5469814
2021-11-11 05:35:00,1695.0,1695.0,1685.0,1685.0,99639.82757167,168053154.24003065
2021-11-11 05:40:00,1685.0,1685.0,1680.0,1680.0,65933.19863671,110807247.5343659
2021-11-11 05:45:00,1680.0,1685.0,1680.0,1685.0,25420.65841669,42810786.78375825
2021-11-11 05:50:00,1680.0,1685.0,1680.0,1680.0,24675.3384749,41464259.217278
2021-11-11 05:55:00,1680.0,1685.0,1680.0,1685.0,58067.62824979,97649431.64771685
2021-11-11 06:00:00,1685.0,1690.0,1685.0,1690.0,54688.35526379,92202271.42344645
2021-11-11 06:05:00,1690.0,1690.0,1685.0,1690.0,61445.29272564,103800730.48122644
2021-11-11 06:10:00,1690.0,1695.0,1690.0,1695.0,57307.20169604,96868157.7901454
2021-11-11 06:15:00,1695.0,1695.0,1690.0,1690.0,54247.041888,91746490.88589574
2021-11-11 06:20:00,1685.0,1690.0,1640.0,1640.0,1228794.32871253,2045111770.6198978
2021-11-11 06:25:00,1640.0,1660.0,1635.0,1650.0,664461.76386274,1091440784.5907235
2021-11-11 06:30:00,1655.0,1655.0,1600.0,1635.0,1217048.40754512,1968392253.2779243
2021-11-11 06:35:00,1635.0,1655.0,1605.0,1620.0,410750.0634233,670883155.481334
2021-11-11 06:40:00,1620.0,1630.0,1615.0,1620.0,233587.83524468,378597157.27553445
2021-11-11 06:45:00,1625.0,1625.0,1580.0,1595.0,855696.90294475,1366025121.076742
2021-11-11 06:50:00,1595.0,1600.0,1580.0,1590.0,382336.78013332,607720584.2510387
2021-11-11 06:55:00,1585.0,1590.0,1580.0,1590.0,340169.10757224,538570119.9627547
2021-11-11 07:00:00,1585.0,1590.0,1550.0,1555.0,1169813.48727265,1835423380.5820918
2021-11-11 07:05:00,1560.0,1590.0,1555.0,1585.0,597282.68532937,941339183.3328706
2021-11-11 07:10:00,1585.0,1620.0,1580.0,1605.0,323341.88541973,516849783.2944584
2021-11-11 07:15:00,1600.0,1605.0,1575.0,1585.0,332281.50450686,528697368.43450445
2021-11-11 07:20:00,1585.0,1595.0,1565.0,1570.0,239042.40148922,378033989.1813617
2021-11-11 07:25:00,1575.0,1590.0,1565.0,1565.0,332593.870428,523908267.0773632
2021-11-11 07:30:00,1570.0,1595.0,1565.0,1595.0,286480.78509452,451679171.46214616
2021-11-11 07:35:00,1595.0,1620.0,1590.0,1620.0,413590.75268091,663727345.8777552
2021-11-11 07:40:00,1620.0,1630.0,1615.0,1615.0,247658.34471739,401525222.11974883
2021-11-11 07:45:00,1620.0,1660.0,1615.0,1650.0,500622.9434041,823694985.1773802
2021-11-11 07:50:00,1645.0,1650.0,1625.0,1645.0,337487.10781297,553222264.3165225
2021-11-11 07:55:00,1645.0,1680.0,1645.0,1665.0,575101.29244434,956789710.2379292
2021-11-11 08:00:00,1665.0,1670.0,1630.0,1650.0,450464.02134564,741439051.1779052
2021-11-11 08:05:00,1645.0,1655.0,1635.0,1650.0,264712.49750538,435257889.65533763
2021-11-11 08:10:00,1650.0,1660.0,1635.0,1655.0,265595.91011111,436928984.6835641
2021-11-11 08:15:00,1660.0,1660.0,1635.0,1650.0,467126.43685636,769254607.3910208
2021-11-11 08:20:00,1640.0,1650.0,1635.0,1635.0,258072.71821516,423010168.3277722
2021-11-11 08:25:00,1635.0,1640.0,1630.0,1630.0,120879.94284714,197487258.3599246
2021-11-11 08:30:00,1630.0,1635.0,1585.0,1610.0,958357.15100469,1534567100.1319067
2021-11-11 08:35:00,1605.0,1625.0,1605.0,1615.0,205119.54327127,331427721.4426075
2021-11-11 08:40:00,1615.0,1620.0,1610.0,1615.0,116114.81243615,187198431.6035693
2021-11-11 08:45:00,1620.0,1620.0,1610.0,1615.0,90469.62721879,145864461.97300726
2021-11-11 08:50:00,1610.0,1630.0,1610.0,1625.0,142872.32547696,231712617.30827406
2021-11-11 08:55:00,1630.0,1650.0,1620.0,1650.0,340300.86465954,557279972.4580605
