,open,high,low,close,volume,value
2020-09-29 17:00:00,250.0,436.0,250.0,395.0,59002223.72103781,22348133117.335392
2020-09-29 18:00:00,395.0,397.0,350.0,352.0,18133576.61993437,6700526136.947908
2020-09-29 19:00:00,351.0,358.0,313.0,331.0,15443742.70163486,5135042902.932864
2020-09-29 20:00:00,332.0,358.0,330.0,337.0,13218172.4133302,4580080441.805801
2020-09-29 21:00:00,337.0,353.0,334.0,348.0,6344923.09319151,2175569200.350113
2020-09-29 22:00:00,348.0,364.0,340.0,345.0,7024733.45609385,2467359235.0855923
2020-09-29 23:00:00,345.0,352.0,342.0,345.0,5277296.75698445,1822547457.3315306
2020-09-30 00:00:00,344.0,345.0,320.0,326.0,2998062.23103553,993440272.0090554
2020-09-30 01:00:00,326.0,339.0,323.0,333.0,32064417.28222735,10652016224.797981
2020-09-30 02:00:00,334.0,334.0,314.0,317.0,932902.05347948,299027677.8219986
2020-09-30 03:00:00,315.0,325.0,314.0,321.0,360102.8297721,115234428.48303774
2020-09-30 04:00:00,320.0,326.0,316.0,325.0,326217.51834289,104353838.59848472
2020-09-30 05:00:00,325.0,328.0,322.0,326.0,1669890.11887855,541374099.4726454
2020-09-30 06:00:00,327.0,328.0,323.0,327.0,209718.82581655,68227079.02077392
2020-09-30 07:00:00,326.0,335.0,323.0,332.0,537126.86560962,177301395.43494755
2020-09-30 08:00:00,332.0,337.0,328.0,331.0,1208658.09909272,402532806.25166804
2020-09-30 09:00:00,332.0,342.0,307.0,317.0,5417738.32514748,1739632204.8648996
2020-09-30 10:00:00,316.0,321.0,308.0,316.0,2398057.96532383,751060028.8200307
2020-09-30 11:00:00,316.0,317.0,309.0,311.0,929018.24724566,290155831.46658486
2020-09-30 12:00:00,312.0,316.0,310.0,314.0,2415317.90402397,755997416.6044222
2020-09-30 13:00:00,313.0,314.0,309.0,311.0,6506990.03465619,2024574826.0672238
2020-09-30 14:00:00,311.0,312.0,304.0,304.0,1047042.37459339,323242202.28139365
2020-09-30 15:00:00,305.0,307.0,299.0,303.0,2486826.85154572,753391612.7800616
2020-09-30 16:00:00,303.0,338.0,302.0,338.0,36074294.52100057,11104558835.161339
2020-09-30 17:00:00,337.0,354.0,321.0,335.0,31924555.14086428,10757730487.10292
2020-09-30 18:00:00,336.0,342.0,332.0,339.0,27652481.70181191,9310930538.302217
2020-09-30 19:00:00,338.0,340.0,315.0,320.0,2890915.43502069,937313752.5312535
2020-09-30 20:00:00,319.0,324.0,317.0,320.0,4237004.79914227,1356705515.0633595
2020-09-30 21:00:00,321.0,325.0,319.0,320.0,7388343.82978938,2377418608.780643
2020-09-30 22:00:00,322.0,322.0,310.0,317.0,3710008.31732436,1175690544.2624028
2020-09-30 23:00:00,316.0,318.0,312.0,315.0,526180.03715113,165515353.27950442
2020-10-01 00:00:00,315.0,316.0,310.0,310.0,486729.79596937,152175870.87527597
2020-10-01 01:00:00,311.0,313.0,310.0,313.0,226438.51280472,70490998.62918113
2020-10-01 02:00:00,312.0,318.0,312.0,315.0,251703.69051849,79393009.3887801
2020-10-01 03:00:00,315.0,318.0,315.0,316.0,139388.92621215,44064594.67192869
2020-10-01 04:00:00,315.0,318.0,309.0,313.0,230863.52466155,72038940.85733461
2020-10-01 05:00:00,315.0,316.0,313.0,314.0,40674.70669202,12759769.03672723
2020-10-01 06:00:00,314.0,318.0,313.0,317.0,152766.69133015,48150312.19303138
2020-10-01 07:00:00,315.0,322.0,315.0,318.0,501675.51014121,159500936.53180614
2020-10-01 08:00:00,319.0,327.0,315.0,318.0,560873.05829347,179888659.2849808
2020-10-01 09:00:00,318.0,322.0,311.0,315.0,1113384.89696199,350702502.31847394
2020-10-01 10:00:00,315.0,319.0,312.0,316.0,450416.24354805,142061213.57545814
2020-10-01 11:00:00,317.0,317.0,314.0,316.0,1705707.94203791,538070966.8706176
2020-10-01 12:00:00,316.0,322.0,315.0,318.0,11376646.01661735,3619853520.9916587
2020-10-01 13:00:00,318.0,324.0,318.0,319.0,736360.78277546,236687066.54268813
2020-10-01 14:00:00,319.0,320.0,316.0,316.0,403478.00719133,128092062.6253592
2020-10-01 15:00:00,317.0,319.0,315.0,317.0,1846709.7116609,584725378.6227721
2020-10-01 16:00:00,318.0,319.0,317.0,317.0,1528217.72937841,485871778.1448377
2020-10-01 17:00:00,317.0,318.0,312.0,313.0,672935.8000648,211876801.9996624
2020-10-01 18:00:00,314.0,315.0,312.0,315.0,2495175.63384525,782140017.0347304
2020-10-01 19:00:00,314.0,315.0,309.0,310.0,700591.19145334,218093002.34832194
2020-10-01 20:00:00,310.0,315.0,308.0,312.0,830123.07744569,259306788.57027674
2020-10-01 21:00:00,312.0,316.0,311.0,311.0,541293.59260958,169586254.46958256
2020-10-01 22:00:00,312.0,313.0,309.0,311.0,2748696.71670999,854959949.831294
2020-10-01 23:00:00,311.0,313.0,310.0,312.0,5047954.83274317,1573915999.6542206
2020-10-02 00:00:00,312.0,312.0,309.0,309.0,951210.55772338,295611550.52568305
2020-10-02 01:00:00,309.0,310.0,300.0,303.0,1886453.10233681,573298907.638448
2020-10-02 02:00:00,302.0,304.0,295.0,296.0,947749.55828609,284384117.6009064
2020-10-02 03:00:00,296.0,303.0,295.0,303.0,4460120.85953715,1331432628.9968371
2020-10-02 04:00:00,302.0,303.0,296.0,298.0,21868181.0927913,6522795805.561596
2020-10-02 05:00:00,298.0,303.0,296.0,301.0,6243086.10956403,1872759087.6693916
2020-10-02 06:00:00,301.0,303.0,297.0,302.0,3273221.59680115,983479276.1448195
2020-10-02 07:00:00,303.0,309.0,301.0,303.0,8015131.42756833,2435917578.724151
2020-10-02 08:00:00,303.0,306.0,298.0,302.0,5787397.26131276,1748927335.3428066
2020-10-02 09:00:00,303.0,311.0,300.0,306.0,10261511.25129118,3126153465.237247
2020-10-02 10:00:00,307.0,307.0,300.0,302.0,4679734.43727762,1412718567.3989742
2020-10-02 11:00:00,303.0,305.0,302.0,303.0,858622.09296217,260865904.45089358
2020-10-02 12:00:00,304.0,305.0,297.0,301.0,3796021.37843547,1151776382.359336
2020-10-02 13:00:00,302.0,303.0,300.0,302.0,29962867.33231543,9047802312.778425
2020-10-02 14:00:00,301.0,302.0,285.0,285.0,2404735.87825901,704026870.3772548
2020-10-02 15:00:00,286.0,290.0,281.0,288.0,19570963.23029917,5610182661.059572
2020-10-02 16:00:00,288.0,291.0,285.0,288.0,11839214.91378664,3415757419.203953
2020-10-02 17:00:00,288.0,288.0,278.0,280.0,2817616.11285742,801845984.7855169
2020-10-02 18:00:00,280.0,284.0,275.0,276.0,3300429.12462461,926585696.0518655
2020-10-02 19:00:00,277.0,279.0,272.0,274.0,8707203.47345745,2410129183.8910894
2020-10-02 20:00:00,274.0,277.0,274.0,275.0,2183043.63091796,602179414.3149505
2020-10-02 21:00:00,275.0,284.0,274.0,280.0,9067746.52531513,2525359536.2817254
2020-10-02 22:00:00,281.0,282.0,275.0,279.0,2384681.15745288,665840519.6920748
2020-10-02 23:00:00,278.0,290.0,278.0,283.0,2133027.39572367,605337621.3896717
2020-10-03 00:00:00,283.0,290.0,281.0,288.0,654251.11558888,186707711.84935012
2020-10-03 01:00:00,289.0,289.0,282.0,285.0,388795.19473651,110571050.26221132
2020-10-03 02:00:00,284.0,288.0,284.0,285.0,3011655.99123074,860492806.5911007
2020-10-03 03:00:00,285.0,287.0,282.0,283.0,155695.00228265,44211922.00469079
2020-10-03 04:00:00,283.0,287.0,283.0,286.0,4848217.96166866,1381112418.773144
2020-10-03 05:00:00,285.0,286.0,282.0,284.0,4829591.90849603,1371840881.2587264
2020-10-03 06:00:00,282.0,284.0,282.0,284.0,397723.32891116,112915938.53085521
2020-10-03 07:00:00,283.0,287.0,282.0,285.0,6563749.49168345,1861688857.8961537
2020-10-03 08:00:00,285.0,287.0,279.0,281.0,4034259.06826683,1147347069.6180046
2020-10-03 09:00:00,281.0,288.0,279.0,282.0,1307977.81654389,372506850.02949095
2020-10-03 10:00:00,282.0,285.0,281.0,283.0,2275893.89010732,642036181.5057461
2020-10-03 11:00:00,284.0,286.0,282.0,283.0,2054671.76728614,584846998.1605729
2020-10-03 12:00:00,284.0,286.0,283.0,284.0,337355.10443004,95910145.3976283
2020-10-03 13:00:00,284.0,311.0,284.0,298.0,5811238.2576813,1739021962.9419665
2020-10-03 14:00:00,298.0,299.0,287.0,289.0,4243709.84829633,1232277629.0594666
2020-10-03 15:00:00,288.0,290.0,285.0,286.0,1355278.18841956,389623187.3585314
2020-10-03 16:00:00,287.0,292.0,286.0,288.0,937711.89325459,271525273.65208393
2020-10-03 17:00:00,288.0,291.0,286.0,287.0,1628716.12152971,470105595.76503915
2020-10-03 18:00:00,288.0,289.0,285.0,286.0,365380.8596622,104898627.18936041
2020-10-03 19:00:00,287.0,291.0,286.0,290.0,372166.42659003,107426895.3941832
2020-10-03 20:00:00,290.0,290.0,286.0,287.0,881678.65730897,253607633.4570745
2020-10-03 21:00:00,288.0,289.0,285.0,285.0,901325.23084347,258489156.7903969
2020-10-03 22:00:00,286.0,286.0,284.0,286.0,355800.39706467,101196727.20684494
2020-10-03 23:00:00,286.0,286.0,282.0,283.0,941422.67063194,266512901.98035398
2020-10-04 00:00:00,284.0,286.0,283.0,284.0,1260381.25379653,358641498.93590933
2020-10-04 01:00:00,284.0,290.0,283.0,289.0,58610231.87276624,16767874231.864847
2020-10-04 02:00:00,288.0,289.0,285.0,286.0,2941567.98493522,845760270.610288
2020-10-04 03:00:00,288.0,288.0,285.0,286.0,1790599.09327077,513696419.0640031
2020-10-04 04:00:00,285.0,287.0,285.0,285.0,2950509.09360091,843850333.101802
2020-10-04 05:00:00,287.0,287.0,285.0,285.0,38551.85493565,11033232.62222763
2020-10-04 06:00:00,285.0,288.0,285.0,287.0,64487.82889225,18465091.72156483
2020-10-04 07:00:00,286.0,287.0,285.0,287.0,82198.26126635,23521562.90247411
2020-10-04 08:00:00,286.0,290.0,286.0,289.0,201535.03876933,57989659.70903917
2020-10-04 09:00:00,289.0,303.0,285.0,288.0,9894351.09449326,2911166375.771804
2020-10-04 10:00:00,288.0,288.0,279.0,280.0,3210442.02053401,906417315.3571031
2020-10-04 11:00:00,280.0,283.0,279.0,281.0,711447.00280324,199800727.55287108
2020-10-04 12:00:00,281.0,284.0,279.0,280.0,590610.78299191,166109343.4254343
2020-10-04 13:00:00,280.0,285.0,280.0,284.0,531690.75638069,150052682.77850983
2020-10-04 14:00:00,284.0,285.0,282.0,282.0,363268.19322496,102918499.8381936
2020-10-04 15:00:00,282.0,285.0,282.0,284.0,205552.63678769,58210422.04798577
2020-10-04 16:00:00,284.0,287.0,282.0,286.0,586759.47663274,166848402.15604395
2020-10-04 17:00:00,287.0,290.0,282.0,282.0,904639.5336864,258776004.80849293
2020-10-04 18:00:00,283.0,285.0,282.0,283.0,991376.79789247,281301052.26438725
2020-10-04 19:00:00,284.0,284.0,281.0,283.0,428394.26666706,120819445.71315445
2020-10-04 20:00:00,282.0,284.0,280.0,281.0,7042574.33222541,1987384083.7844105
2020-10-04 21:00:00,281.0,283.0,280.0,282.0,1380813.04440917,389197258.46079713
2020-10-04 22:00:00,282.0,285.0,280.0,284.0,14626557.31412282,4147472217.2599936
2020-10-04 23:00:00,284.0,286.0,276.0,276.0,34914325.47666074,9914990361.497408
2020-10-05 00:00:00,276.0,280.0,276.0,278.0,327015.8459222,90961144.65850554
2020-10-05 01:00:00,277.0,279.0,275.0,277.0,414507.51790266,114530386.1045134
2020-10-05 02:00:00,278.0,278.0,273.0,275.0,285164.56338056,78361055.27035648
2020-10-05 03:00:00,277.0,278.0,273.0,275.0,186358.34589088,51262303.95302361
2020-10-05 04:00:00,274.0,275.0,273.0,275.0,186981.64136491,51203654.75514446
2020-10-05 05:00:00,275.0,277.0,273.0,276.0,127143.49034772,35001539.72339419
2020-10-05 06:00:00,276.0,277.0,274.0,276.0,116280.7366573,32043082.612892
2020-10-05 07:00:00,275.0,278.0,275.0,276.0,289973.56890765,80194714.13257226
2020-10-05 08:00:00,277.0,277.0,273.0,275.0,307480.59260977,84435102.71861482
2020-10-05 09:00:00,275.0,275.0,268.0,269.0,1077000.78543615,290965792.384846
2020-10-05 10:00:00,269.0,270.0,267.0,269.0,587313.26020034,157659455.77220148
2020-10-05 11:00:00,269.0,271.0,268.0,269.0,263052.69792069,70821558.22542515
2020-10-05 12:00:00,270.0,270.0,267.0,267.0,322704.25139894,86513023.17281304
2020-10-05 13:00:00,267.0,268.0,263.0,264.0,699838.14226593,185535277.50025588
2020-10-05 14:00:00,265.0,265.0,259.0,264.0,849861.49869989,222465017.50822178
2020-10-05 15:00:00,262.0,264.0,259.0,262.0,351788.01502804,91802229.32500643
2020-10-05 16:00:00,262.0,263.0,253.0,256.0,1682199.57653374,430104383.0304351
2020-10-05 17:00:00,256.0,257.0,251.0,254.0,1353833.03128052,343246708.2663735
2020-10-05 18:00:00,254.0,256.0,252.0,254.0,636566.87997883,161582413.66028005
2020-10-05 19:00:00,254.0,257.0,253.0,255.0,277556.45409865,70746324.15958753
2020-10-05 20:00:00,255.0,256.0,254.0,255.0,113303.01376149,28910085.88585503
2020-10-05 21:00:00,255.0,258.0,255.0,258.0,248038.49252749,63704092.43327459
2020-10-05 22:00:00,257.0,258.0,255.0,256.0,364425.76446773,93548125.9014078
2020-10-05 23:00:00,257.0,258.0,254.0,257.0,395668.33127871,101104738.68648425
2020-10-06 00:00:00,257.0,257.0,253.0,256.0,265993.80622622,67785571.67733213
2020-10-06 01:00:00,255.0,257.0,254.0,254.0,200927.94754222,51309687.77870142
2020-10-06 02:00:00,254.0,257.0,254.0,255.0,282736.83558923,72220285.92048658
2020-10-06 03:00:00,255.0,256.0,253.0,253.0,88375.07930203,22451039.93189097
2020-10-06 04:00:00,253.0,257.0,253.0,257.0,53831.45628093,13726486.03064723
2020-10-06 05:00:00,255.0,257.0,255.0,256.0,86188.5551907,22066117.76063807
2020-10-06 06:00:00,256.0,257.0,255.0,256.0,87026.36991311,22258940.5160992
2020-10-06 07:00:00,256.0,257.0,253.0,254.0,179762.30683023,45923200.07989568
2020-10-06 08:00:00,253.0,255.0,251.0,254.0,450439.7993656,113899298.79534113
2020-10-06 09:00:00,254.0,255.0,245.0,247.0,869026.8019715,216056661.51489377
2020-10-06 10:00:00,247.0,248.0,234.0,237.0,1385747.63495116,332620375.1686875
2020-10-06 11:00:00,237.0,238.0,234.0,236.0,353571.9248743,83515238.11242716
2020-10-06 12:00:00,237.0,238.0,234.0,234.0,519313.66270678,122227482.02931488
2020-10-06 13:00:00,235.0,242.0,233.0,236.0,862471.65658617,204865821.15124843
2020-10-06 14:00:00,237.0,239.0,235.0,239.0,233774.64986636,55232636.15154156
2020-10-06 15:00:00,237.0,239.0,236.0,237.0,178042.11620574,42140684.88219132
2020-10-06 16:00:00,236.0,237.0,227.0,230.0,1230413.21213772,284584133.2168414
2020-10-06 17:00:00,230.0,230.0,224.0,227.0,586431.43769486,133085653.08189002
2020-10-06 18:00:00,227.0,230.0,225.0,229.0,197950.05105679,45077557.53769149
2020-10-06 19:00:00,229.0,229.0,227.0,229.0,70001.08901978,15967114.93645439
2020-10-06 20:00:00,228.0,228.0,225.0,226.0,427396.7663046,96650432.2965311
2020-10-06 21:00:00,227.0,227.0,220.0,223.0,506194.50035766,112949015.63136774
2020-10-06 22:00:00,223.0,223.0,220.0,223.0,385700.51945632,85574746.60461868
2020-10-06 23:00:00,222.0,224.0,219.0,220.0,252862.48762511,56069785.30640201
2020-10-07 00:00:00,219.0,220.0,203.0,217.0,997321.13032021,213499067.0620509
2020-10-07 01:00:00,217.0,218.0,208.0,213.0,510062.48533015,108724894.75640438
2020-10-07 02:00:00,213.0,214.0,210.0,212.0,238163.60411219,50352702.01526429
2020-10-07 03:00:00,212.0,214.0,209.0,209.0,95214.100498,20099065.48657789
2020-10-07 04:00:00,210.0,212.0,207.0,210.0,74955.5503437,15655510.84931815
2020-10-07 05:00:00,208.0,217.0,207.0,211.0,136152.72189726,29105482.77059445
2020-10-07 06:00:00,211.0,216.0,204.0,205.0,377999.03443206,77895453.0140223
2020-10-07 07:00:00,207.0,210.0,204.0,205.0,397584.43789384,81647491.9710037
