,open,high,low,close,volume,value
2021-10-15 15:30:00,1350.0,2055.0,1350.0,1740.0,49410565.5388411,92432767597.56381
2021-10-15 15:45:00,1740.0,1945.0,1685.0,1925.0,45139478.1462367,80785624803.10707
2021-10-15 16:00:00,1925.0,2200.0,1795.0,1820.0,60517392.71127697,117282156454.65479
2021-10-15 16:15:00,1825.0,1845.0,1760.0,1790.0,22027566.98112401,39792501832.72249
2021-10-15 16:30:00,1790.0,1840.0,1780.0,1820.0,13592740.4022779,24601618331.404156
2021-10-15 16:45:00,1820.0,1945.0,1815.0,1895.0,31945452.65059298,60244359227.06695
2021-10-15 17:00:00,1895.0,2740.0,1850.0,2670.0,100581072.93788952,219362465164.49774
2021-10-15 17:15:00,2665.0,5000.0,2340.0,2570.0,123164230.71297055,433525484031.9612
2021-10-15 17:30:00,2570.0,3425.0,2555.0,3120.0,70734807.01248933,220679152523.6934
2021-10-15 17:45:00,3125.0,3130.0,2355.0,2470.0,56304028.37765079,151159035840.32977
2021-10-15 18:00:00,2470.0,2475.0,1960.0,2185.0,55824098.46177489,120209086990.10692
2021-10-15 18:15:00,2185.0,2490.0,2125.0,2320.0,42030067.85287728,98321189238.4194
2021-10-15 18:30:00,2320.0,2365.0,2030.0,2100.0,29563417.37882281,64076698349.28562
2021-10-15 18:45:00,2090.0,2165.0,2025.0,2155.0,14267047.47310679,29980069137.9569
2021-10-15 19:00:00,2155.0,2195.0,2055.0,2080.0,16732680.39085394,35571766190.49952
2021-10-15 19:15:00,2075.0,2105.0,1885.0,1950.0,21083578.92746388,41932901654.72869
2021-10-15 19:30:00,1950.0,1965.0,1850.0,1895.0,15508157.10386876,29548133002.597763
2021-10-15 19:45:00,1895.0,1960.0,1885.0,1935.0,10672448.03962717,20508689155.957672
2021-10-15 20:00:00,1935.0,1950.0,1890.0,1920.0,8254449.57525853,15809842168.362719
2021-10-15 20:15:00,1915.0,1995.0,1900.0,1970.0,10205305.69813332,19850250154.593388
2021-10-15 20:30:00,1970.0,1985.0,1900.0,1910.0,8660198.75661464,16779055862.242592
2021-10-15 20:45:00,1910.0,1925.0,1870.0,1895.0,6698645.41624159,12689961372.77532
2021-10-15 21:00:00,1890.0,1930.0,1875.0,1905.0,5094232.28228653,9691488896.506006
2021-10-15 21:15:00,1900.0,1945.0,1895.0,1940.0,4744344.39896698,9131803259.09915
2021-10-15 21:30:00,1945.0,1955.0,1905.0,1910.0,5962273.10678477,11536089771.655802
2021-10-15 21:45:00,1905.0,1930.0,1905.0,1920.0,3120020.38343741,5986282328.879359
2021-10-15 22:00:00,1920.0,1965.0,1910.0,1945.0,4601818.1952502,8916471228.345327
2021-10-15 22:15:00,1940.0,1955.0,1910.0,1915.0,4995250.78250797,9640442489.853525
2021-10-15 22:30:00,1915.0,1940.0,1915.0,1930.0,2386866.4036728,4596606517.101023
2021-10-15 22:45:00,1930.0,1930.0,1865.0,1880.0,5684370.93179145,10774483311.661789
2021-10-15 23:00:00,1880.0,1880.0,1805.0,1805.0,11421654.42499315,20981795869.55267
2021-10-15 23:15:00,1810.0,1835.0,1785.0,1815.0,8780020.06611632,15872423520.530289
2021-10-15 23:30:00,1815.0,1855.0,1810.0,1830.0,7157450.51375321,13083552082.182901
2021-10-15 23:45:00,1830.0,1885.0,1815.0,1825.0,6123197.14367981,11315137419.859432
2021-10-16 00:00:00,1820.0,1830.0,1800.0,1815.0,3447986.11022322,6260468343.841594
2021-10-16 00:15:00,1815.0,1840.0,1805.0,1825.0,2454321.57715551,4464897726.98724
2021-10-16 00:30:00,1830.0,1830.0,1805.0,1820.0,1602168.35209641,2908829370.6859818
2021-10-16 00:45:00,1815.0,1825.0,1815.0,1815.0,990301.12782934,1801661154.966881
2021-10-16 01:00:00,1815.0,1825.0,1805.0,1825.0,1190251.70460751,2158711817.6632032
2021-10-16 01:15:00,1825.0,1825.0,1800.0,1810.0,1266857.65365277,2292492344.7672596
2021-10-16 01:30:00,1815.0,1830.0,1805.0,1825.0,1322523.07353862,2403222089.9870033
2021-10-16 01:45:00,1830.0,1885.0,1820.0,1880.0,2460940.76211134,4572007546.53883
2021-10-16 02:00:00,1880.0,1915.0,1850.0,1870.0,4662888.15375942,8783701459.600927
2021-10-16 02:15:00,1870.0,1870.0,1845.0,1855.0,1831149.51362909,3399179096.7003365
2021-10-16 02:30:00,1855.0,1860.0,1835.0,1845.0,883877.54517734,1632670896.0409155
2021-10-16 02:45:00,1845.0,1850.0,1820.0,1820.0,869409.41666079,1594202241.6378481
2021-10-16 03:00:00,1820.0,1855.0,1820.0,1855.0,603686.74843215,1108873958.4652698
2021-10-16 03:15:00,1850.0,1860.0,1830.0,1840.0,551003.15653738,1014031014.1566968
2021-10-16 03:30:00,1845.0,1855.0,1835.0,1845.0,399568.03713787,738426431.0639693
2021-10-16 03:45:00,1850.0,1860.0,1840.0,1850.0,343851.02478642,635898957.3746469
2021-10-16 04:00:00,1850.0,1850.0,1820.0,1825.0,424975.95187293,778935363.9572407
2021-10-16 04:15:00,1820.0,1830.0,1815.0,1820.0,524730.53791735,956874257.6366748
2021-10-16 04:30:00,1820.0,1825.0,1815.0,1815.0,571039.88785355,1038966893.0589863
2021-10-16 04:45:00,1815.0,1835.0,1810.0,1835.0,497952.32412631,904530086.4523836
2021-10-16 05:00:00,1835.0,1845.0,1820.0,1845.0,324513.47466505,593785860.3290148
2021-10-16 05:15:00,1835.0,1880.0,1835.0,1850.0,1098769.80449447,2043676805.8451412
2021-10-16 05:30:00,1855.0,1865.0,1835.0,1855.0,679945.21275797,1258541779.963821
2021-10-16 05:45:00,1855.0,1910.0,1850.0,1885.0,1593015.7413233,3002902550.9870925
2021-10-16 06:00:00,1885.0,1895.0,1860.0,1880.0,1321610.11663538,2481950352.108559
2021-10-16 06:15:00,1880.0,1885.0,1850.0,1865.0,1344135.5015145,2502732475.64695
2021-10-16 06:30:00,1860.0,1875.0,1855.0,1875.0,1420664.86356884,2652336461.2185483
2021-10-16 06:45:00,1875.0,1890.0,1860.0,1880.0,1496638.4317559,2805789432.3477244
2021-10-16 07:00:00,1875.0,1890.0,1860.0,1870.0,2292136.55566716,4291386742.4891934
2021-10-16 07:15:00,1870.0,1920.0,1855.0,1895.0,7483896.94818777,14132211202.424288
2021-10-16 07:30:00,1895.0,1905.0,1865.0,1870.0,4908736.08850233,9238417364.86246
2021-10-16 07:45:00,1875.0,1965.0,1870.0,1930.0,7787625.35630218,14984843424.801668
2021-10-16 08:00:00,1930.0,1935.0,1905.0,1915.0,4546385.30522737,8714909145.176544
2021-10-16 08:15:00,1915.0,1945.0,1885.0,1915.0,4450649.78854871,8497827261.706072
2021-10-16 08:30:00,1915.0,2155.0,1895.0,2035.0,16074428.85310845,32637503710.892838
2021-10-16 08:45:00,2035.0,2050.0,1950.0,2035.0,13831062.67341595,27508439885.28277
2021-10-16 09:00:00,2040.0,2125.0,1890.0,1900.0,26724955.89396735,52471968432.31061
2021-10-16 09:15:00,1905.0,1910.0,1850.0,1870.0,11598108.91046542,21794731684.880383
2021-10-16 09:30:00,1875.0,1930.0,1865.0,1890.0,8090695.72299483,15356357898.04474
2021-10-16 09:45:00,1885.0,1940.0,1885.0,1930.0,11978106.65846857,22901305583.06927
2021-10-16 10:00:00,1925.0,1945.0,1880.0,1885.0,9058625.7562039,17343429378.382435
2021-10-16 10:15:00,1885.0,1900.0,1870.0,1880.0,3135218.9924796,5913682593.182567
2021-10-16 10:30:00,1875.0,1895.0,1870.0,1880.0,2545840.09044992,4788318501.440009
2021-10-16 10:45:00,1875.0,1885.0,1850.0,1865.0,2936014.86295342,5476368383.604235
2021-10-16 11:00:00,1865.0,1870.0,1845.0,1855.0,2866421.04966688,5314582271.306928
2021-10-16 11:15:00,1860.0,1865.0,1850.0,1855.0,1158775.3424798,2152796437.2474923
2021-10-16 11:30:00,1860.0,1860.0,1845.0,1855.0,935785.10801851,1734654034.0717218
2021-10-16 11:45:00,1855.0,1870.0,1850.0,1870.0,1381594.81565827,2572992691.1300087
2021-10-16 12:00:00,1865.0,1885.0,1865.0,1880.0,2156860.51851772,4044849369.1025567
2021-10-16 12:15:00,1880.0,1905.0,1865.0,1880.0,4201746.39699257,7916990905.779774
2021-10-16 12:30:00,1880.0,1975.0,1875.0,1940.0,14122830.07961476,27260275726.587234
2021-10-16 12:45:00,1935.0,1965.0,1910.0,1935.0,14885870.75374896,28780649860.766575
2021-10-16 13:00:00,1930.0,2035.0,1915.0,2035.0,18287276.31032001,35681443222.70234
2021-10-16 13:15:00,2020.0,2050.0,1930.0,1945.0,18725988.71937171,36957819617.15093
2021-10-16 13:30:00,1940.0,1955.0,1885.0,1900.0,9456614.75176724,18116742488.992054
2021-10-16 13:45:00,1900.0,1925.0,1890.0,1910.0,3977594.88080744,7578884164.426506
2021-10-16 14:00:00,1905.0,1925.0,1900.0,1905.0,2988068.34891301,5715431598.377028
2021-10-16 14:15:00,1900.0,1935.0,1900.0,1930.0,2128946.95936202,4089994514.7819247
2021-10-16 14:30:00,1925.0,1940.0,1920.0,1930.0,1577290.07659399,3043828093.084388
2021-10-16 14:45:00,1930.0,1965.0,1925.0,1930.0,2925269.56262919,5692980958.543359
2021-10-16 15:00:00,1930.0,1945.0,1920.0,1930.0,1942695.30556447,3750673556.167505
2021-10-16 15:15:00,1930.0,1940.0,1915.0,1930.0,1207131.75760672,2324397988.5346417
2021-10-16 15:30:00,1925.0,1940.0,1915.0,1925.0,1226068.2387535,2362280604.5008082
2021-10-16 15:45:00,1925.0,1940.0,1920.0,1925.0,2544864.00335995,4909235127.733856
2021-10-16 16:00:00,1920.0,1925.0,1890.0,1890.0,3794365.64775609,7216740452.301725
2021-10-16 16:15:00,1895.0,1905.0,1890.0,1900.0,1288154.44442877,2443256337.095448
2021-10-16 16:30:00,1900.0,1900.0,1875.0,1880.0,2767074.09113758,5213627564.826735
2021-10-16 16:45:00,1885.0,1905.0,1880.0,1905.0,1965953.05920603,3717590721.839529
2021-10-16 17:00:00,1905.0,1905.0,1880.0,1885.0,2280300.1196966,4313836120.84354
2021-10-16 17:15:00,1880.0,1895.0,1875.0,1890.0,1708399.01371996,3215457197.4772224
2021-10-16 17:30:00,1895.0,1895.0,1865.0,1875.0,2933572.16641887,5513291575.855508
2021-10-16 17:45:00,1875.0,1885.0,1860.0,1880.0,2245541.80717824,4197548467.458493
2021-10-16 18:00:00,1880.0,1890.0,1875.0,1875.0,1365903.6346038,2568516275.874408
2021-10-16 18:15:00,1880.0,1885.0,1875.0,1880.0,603811.23054577,1133743778.9833171
2021-10-16 18:30:00,1880.0,1880.0,1870.0,1875.0,780227.84937948,1462763195.6215231
2021-10-16 18:45:00,1880.0,1880.0,1870.0,1875.0,520066.81217233,975622928.6091845
2021-10-16 19:00:00,1880.0,1880.0,1870.0,1880.0,843268.72558759,1581858280.1151512
2021-10-16 19:15:00,1875.0,1895.0,1875.0,1895.0,1336100.66127272,2522075985.535215
2021-10-16 19:30:00,1895.0,1910.0,1885.0,1905.0,1186664.5864015,2248437882.345007
2021-10-16 19:45:00,1910.0,1915.0,1890.0,1900.0,1617664.62607699,3083585731.0987267
2021-10-16 20:00:00,1895.0,1905.0,1890.0,1895.0,914890.02042558,1737257658.2031615
2021-10-16 20:15:00,1895.0,1905.0,1890.0,1900.0,1232840.4196632,2338521238.5542684
2021-10-16 20:30:00,1900.0,1915.0,1875.0,1880.0,3527446.82713639,6687610451.413656
2021-10-16 20:45:00,1885.0,1890.0,1880.0,1885.0,942448.34233894,1775561739.4709473
2021-10-16 21:00:00,1880.0,1885.0,1865.0,1870.0,2051462.97016034,3844287696.4398556
2021-10-16 21:15:00,1870.0,1875.0,1865.0,1875.0,1226075.84004283,2292618825.719215
2021-10-16 21:30:00,1870.0,1875.0,1845.0,1860.0,2560549.40374427,4753766296.008455
2021-10-16 21:45:00,1860.0,1865.0,1825.0,1840.0,3511987.35512614,6466902765.048766
2021-10-16 22:00:00,1835.0,1855.0,1830.0,1850.0,1429891.78079043,2638842388.8116484
2021-10-16 22:15:00,1855.0,1860.0,1835.0,1850.0,998155.54428204,1842751217.5558121
2021-10-16 22:30:00,1855.0,1865.0,1850.0,1855.0,850563.88349438,1580503486.1468415
2021-10-16 22:45:00,1855.0,1865.0,1850.0,1855.0,659688.26131701,1225046647.3100464
2021-10-16 23:00:00,1860.0,1860.0,1855.0,1855.0,443567.25347667,823465960.4544969
2021-10-16 23:15:00,1855.0,1860.0,1845.0,1855.0,509762.58710555,944187055.8241861
2021-10-16 23:30:00,1860.0,1870.0,1855.0,1865.0,1020739.48446807,1901458846.6391647
2021-10-16 23:45:00,1865.0,1865.0,1845.0,1850.0,830903.95386704,1539587267.8177977
2021-10-17 00:00:00,1850.0,1855.0,1845.0,1850.0,466820.82687274,864405032.400313
2021-10-17 00:15:00,1855.0,1865.0,1850.0,1855.0,602750.7359932,1118787634.691202
2021-10-17 00:30:00,1855.0,1865.0,1850.0,1860.0,334736.18912485,621715524.2393467
2021-10-17 00:45:00,1855.0,1865.0,1855.0,1855.0,186332.16245226,345992687.9298586
2021-10-17 01:00:00,1855.0,1860.0,1850.0,1860.0,291286.41142742,540025503.0666862
2021-10-17 01:15:00,1860.0,1870.0,1855.0,1860.0,317757.17508412,591698575.663842
2021-10-17 01:30:00,1860.0,1865.0,1855.0,1860.0,164207.61321489,305399329.95129424
2021-10-17 01:45:00,1860.0,1865.0,1850.0,1850.0,203443.60687094,377459754.6905577
2021-10-17 02:00:00,1855.0,1860.0,1845.0,1845.0,280721.43887477,519339124.00606906
2021-10-17 02:15:00,1845.0,1850.0,1840.0,1840.0,366184.66753647,675908111.3022135
2021-10-17 02:30:00,1845.0,1855.0,1840.0,1850.0,154515.63439301,285605525.8027676
2021-10-17 02:45:00,1850.0,1855.0,1850.0,1855.0,138024.35218305,255621882.41344765
2021-10-17 03:00:00,1855.0,1870.0,1855.0,1865.0,336531.6008812,626382468.6961277
2021-10-17 03:15:00,1865.0,1870.0,1855.0,1860.0,96178.30432204,178958188.9011831
2021-10-17 03:30:00,1860.0,1865.0,1855.0,1860.0,87508.93409384,162781409.6007349
2021-10-17 03:45:00,1865.0,1865.0,1855.0,1860.0,96472.71889415,179739664.15833044
2021-10-17 04:00:00,1865.0,1870.0,1860.0,1860.0,323666.16088207,603381685.0826917
2021-10-17 04:15:00,1865.0,1880.0,1860.0,1875.0,314873.05692485,589937913.7283086
2021-10-17 04:30:00,1875.0,1880.0,1870.0,1875.0,141593.85987592,265387887.90392485
2021-10-17 04:45:00,1875.0,1880.0,1860.0,1865.0,173814.817118,325068458.741728
2021-10-17 05:00:00,1865.0,1870.0,1850.0,1850.0,503122.67382383,936088633.731248
2021-10-17 05:15:00,1850.0,1860.0,1850.0,1860.0,138415.97273308,256975867.2911408
2021-10-17 05:30:00,1860.0,1865.0,1855.0,1860.0,113581.47401971,211297744.4059991
2021-10-17 05:45:00,1865.0,1870.0,1860.0,1865.0,178019.41768648,332009033.26661927
2021-10-17 06:00:00,1865.0,1865.0,1855.0,1855.0,254418.10289235,472609374.4525136
2021-10-17 06:15:00,1855.0,1860.0,1850.0,1855.0,257797.58794633,477874068.7518854
2021-10-17 06:30:00,1855.0,1860.0,1855.0,1855.0,152739.06631817,283757126.90925527
2021-10-17 06:45:00,1855.0,1860.0,1850.0,1855.0,514214.87486379,953649426.8366338
2021-10-17 07:00:00,1850.0,1855.0,1845.0,1850.0,484985.12973228,896338411.6757606
2021-10-17 07:15:00,1845.0,1855.0,1845.0,1850.0,256385.88914671,474462575.53293663
2021-10-17 07:30:00,1855.0,1860.0,1850.0,1855.0,225284.73103459,417481027.1644129
2021-10-17 07:45:00,1855.0,1860.0,1850.0,1855.0,252609.07058956,468986411.36917686
2021-10-17 08:00:00,1855.0,1860.0,1850.0,1860.0,330313.76108144,613222327.4175434
2021-10-17 08:15:00,1855.0,1860.0,1850.0,1860.0,364184.85319291,675767751.7006513
2021-10-17 08:30:00,1855.0,1860.0,1850.0,1860.0,650198.05263956,1205175569.9984913
2021-10-17 08:45:00,1860.0,1860.0,1850.0,1860.0,947144.9019844,1757882120.0519092
2021-10-17 09:00:00,1855.0,1865.0,1835.0,1850.0,3286522.74760209,6064564183.656159
2021-10-17 09:15:00,1850.0,1855.0,1810.0,1810.0,4941452.7462337,9045874586.636543
2021-10-17 09:30:00,1815.0,1825.0,1810.0,1820.0,4185705.41518269,7610237815.673338
2021-10-17 09:45:00,1820.0,1825.0,1810.0,1820.0,2320109.07130292,4219731206.3139625
2021-10-17 10:00:00,1820.0,1840.0,1815.0,1835.0,1240506.66931811,2271920415.055905
2021-10-17 10:15:00,1835.0,1845.0,1825.0,1825.0,985037.88801986,1807636152.3246715
2021-10-17 10:30:00,1825.0,1835.0,1825.0,1830.0,872630.6107633,1595532480.5683184
2021-10-17 10:45:00,1830.0,1835.0,1825.0,1825.0,609163.4394401,1113664065.918919
2021-10-17 11:00:00,1825.0,1830.0,1820.0,1825.0,676984.36996204,1235725349.5589414
2021-10-17 11:15:00,1825.0,1830.0,1810.0,1815.0,715579.22249708,1301652569.46613
2021-10-17 11:30:00,1820.0,1825.0,1815.0,1820.0,749650.01571852,1363555093.5887227
2021-10-17 11:45:00,1820.0,1835.0,1820.0,1825.0,773010.0236721,1412196997.6154294
2021-10-17 12:00:00,1825.0,1830.0,1815.0,1820.0,717876.95238254,1308921756.9627583
2021-10-17 12:15:00,1820.0,1865.0,1820.0,1840.0,4199762.33652173,7758351012.961217
