,open,high,low,close,volume,value
2021-10-15 15:30:00,1350.0,2055.0,1350.0,1925.0,94550043.6850778,173218392400.6709
2021-10-15 16:00:00,1925.0,2200.0,1760.0,1790.0,82544959.69240098,157074658287.3773
2021-10-15 16:30:00,1790.0,1945.0,1780.0,1895.0,45538193.05287088,84845977558.4711
2021-10-15 17:00:00,1895.0,5000.0,1850.0,2570.0,223745303.65086007,652887949196.4589
2021-10-15 17:30:00,2570.0,3425.0,2355.0,2470.0,127038835.39014013,371838188364.02313
2021-10-15 18:00:00,2470.0,2490.0,1960.0,2320.0,97854166.31465217,218530276228.5263
2021-10-15 18:30:00,2320.0,2365.0,2025.0,2155.0,43830464.8519296,94056767487.24252
2021-10-15 19:00:00,2155.0,2195.0,1885.0,1950.0,37816259.31831782,77504667845.22821
2021-10-15 19:30:00,1950.0,1965.0,1850.0,1935.0,26180605.14349593,50056822158.555435
2021-10-15 20:00:00,1935.0,1995.0,1890.0,1970.0,18459755.27339185,35660092322.95611
2021-10-15 20:30:00,1970.0,1985.0,1870.0,1895.0,15358844.17285623,29469017235.017914
2021-10-15 21:00:00,1890.0,1945.0,1875.0,1940.0,9838576.68125351,18823292155.605156
2021-10-15 21:30:00,1945.0,1955.0,1905.0,1920.0,9082293.49022218,17522372100.53516
2021-10-15 22:00:00,1920.0,1965.0,1910.0,1915.0,9597068.97775817,18556913718.198853
2021-10-15 22:30:00,1915.0,1940.0,1865.0,1880.0,8071237.33546425,15371089828.762812
2021-10-15 23:00:00,1880.0,1880.0,1785.0,1815.0,20201674.49110947,36854219390.08296
2021-10-15 23:30:00,1815.0,1885.0,1810.0,1825.0,13280647.65743302,24398689502.04233
2021-10-16 00:00:00,1820.0,1840.0,1800.0,1825.0,5902307.68737873,10725366070.828833
2021-10-16 00:30:00,1830.0,1830.0,1805.0,1815.0,2592469.47992575,4710490525.652863
2021-10-16 01:00:00,1815.0,1825.0,1800.0,1810.0,2457109.35826028,4451204162.430463
2021-10-16 01:30:00,1815.0,1885.0,1805.0,1880.0,3783463.83564996,6975229636.525833
2021-10-16 02:00:00,1880.0,1915.0,1845.0,1855.0,6494037.66738851,12182880556.301264
2021-10-16 02:30:00,1855.0,1860.0,1820.0,1820.0,1753286.96183813,3226873137.6787634
2021-10-16 03:00:00,1820.0,1860.0,1820.0,1840.0,1154689.90496953,2122904972.6219664
2021-10-16 03:30:00,1845.0,1860.0,1835.0,1850.0,743419.06192429,1374325388.4386163
2021-10-16 04:00:00,1850.0,1850.0,1815.0,1820.0,949706.48979028,1735809621.5939155
2021-10-16 04:30:00,1820.0,1835.0,1810.0,1835.0,1068992.21197986,1943496979.51137
2021-10-16 05:00:00,1835.0,1880.0,1820.0,1850.0,1423283.27915952,2637462666.174156
2021-10-16 05:30:00,1855.0,1910.0,1835.0,1885.0,2272960.95408127,4261444330.9509134
2021-10-16 06:00:00,1885.0,1895.0,1850.0,1865.0,2665745.61814988,4984682827.755509
2021-10-16 06:30:00,1860.0,1890.0,1855.0,1880.0,2917303.29532474,5458125893.566273
