,open,high,low,close,volume,value
2019-09-27 16:00:00,55.5,56.4,54.9,56.0,545437.80653508,30374586.96005441
2019-09-27 17:00:00,56.1,56.7,56.1,56.1,418472.81136703,23633087.32418568
2019-09-27 18:00:00,56.1,56.5,56.0,56.5,326730.84796083,18344020.8050293
2019-09-27 19:00:00,56.5,56.5,55.8,56.2,257308.44326622,14408478.15927268
2019-09-27 20:00:00,56.2,58.2,55.8,56.3,1032928.5528896,59054078.64917361
2019-09-27 21:00:00,56.0,56.1,54.9,55.7,590246.07175825,32675991.116842
2019-09-27 22:00:00,55.7,56.1,55.3,55.8,544606.54527537,30387294.04316304
2019-09-27 23:00:00,55.7,56.3,55.5,55.6,316972.33425167,17651292.48643534
2019-09-28 00:00:00,55.7,55.8,54.4,54.5,304299.31086143,16773856.52469238
2019-09-28 01:00:00,54.7,55.5,54.5,55.4,12564.0814245,686840.00502256
2019-09-28 02:00:00,55.3,55.3,55.3,55.3,18852.92017382,1042566.48561224
2019-09-28 03:00:00,55.6,55.6,55.6,55.6,16512.11123234,918073.3845181
2019-09-28 04:00:00,55.4,56.0,55.4,56.0,2337.24647974,129745.80286544
2019-09-28 05:00:00,55.9,56.3,55.9,56.3,106896.36834356,6009792.16522203
2019-09-28 06:00:00,56.3,56.8,56.3,56.6,171298.00940224,9667147.34885883
2019-09-28 07:00:00,56.6,57.0,56.5,56.6,120573.97502603,6831110.24857449
2019-09-28 08:00:00,56.7,57.0,56.3,56.7,405529.3154156,22903601.3752377
2019-09-28 09:00:00,56.9,56.9,56.1,56.7,319566.8721005,18050327.92698983
2019-09-28 10:00:00,56.6,57.2,56.4,57.1,63675.14296291,3607949.43776744
2019-09-28 11:00:00,57.1,57.1,56.6,57.0,211060.90546362,12007691.93600615
2019-09-28 12:00:00,57.0,57.3,56.8,56.8,107689.9448997,6142365.62085523
2019-09-28 13:00:00,56.8,57.1,56.8,57.0,70039.77474521,3990482.13407697
2019-09-28 14:00:00,57.0,57.0,56.8,57.0,151586.41578946,8639995.94064922
2019-09-28 15:00:00,57.0,57.3,56.8,57.0,72659.78552555,4141132.1466841
2019-09-28 16:00:00,57.2,57.3,57.0,57.0,119561.31352864,6825544.53014718
2019-09-28 17:00:00,57.3,57.3,56.8,56.8,124932.62129314,7121778.41175786
2019-09-28 18:00:00,57.3,57.3,56.7,56.9,129561.9373895,7354925.03655982
2019-09-28 19:00:00,57.2,57.2,56.9,57.1,23046.48748265,1315644.46419931
2019-09-28 20:00:00,57.1,57.7,56.8,57.5,183311.31760082,10477202.00264477
2019-09-28 21:00:00,56.8,57.0,56.7,57.0,194699.06277057,11057845.03988178
2019-09-28 22:00:00,57.2,57.9,57.0,57.4,301445.05048538,17373314.25003785
2019-09-28 23:00:00,57.4,57.4,56.7,57.4,98586.0335379,5610913.38464173
2019-09-29 00:00:00,56.7,57.3,56.3,57.0,160930.3737265,9114310.74433068
2019-09-29 01:00:00,57.0,57.7,56.8,57.0,106369.96957155,6109753.1425572
2019-09-29 02:00:00,57.0,57.8,57.0,57.1,47888.268847,2734454.48702778
2019-09-29 03:00:00,57.2,57.3,56.6,56.6,94439.20320245,5372107.39608397
2019-09-29 04:00:00,56.7,56.7,56.6,56.6,8480.0,480030.13522
2019-09-29 05:00:00,57.4,57.4,56.6,57.2,12797.79713194,725447.96862083
2019-09-29 06:00:00,57.5,57.5,56.9,56.9,93203.77073677,5312864.55820735
2019-09-29 07:00:00,57.0,57.7,56.4,56.4,112815.55832404,6403939.17315318
2019-09-29 08:00:00,56.5,56.9,56.5,56.7,26588.11771313,1506346.11945662
2019-09-29 09:00:00,56.9,57.3,56.8,57.0,100624.41546007,5723773.32254245
2019-09-29 10:00:00,56.9,57.1,56.7,57.0,37107.77221938,2115129.15856918
2019-09-29 11:00:00,57.0,57.1,56.6,56.6,97834.00331614,5564339.88033315
2019-09-29 12:00:00,56.6,56.8,56.0,56.4,151376.37709038,8538372.9604821
2019-09-29 13:00:00,56.2,56.7,55.5,55.5,86471.00930966,4855773.30647833
2019-09-29 14:00:00,55.7,56.1,55.5,55.5,35716.93695254,1986847.66681734
2019-09-29 15:00:00,55.5,55.9,55.4,55.4,33894.96045622,1879864.15766923
2019-09-29 16:00:00,55.5,55.7,54.9,55.6,72571.5045641,4012136.26837889
2019-09-29 17:00:00,55.4,55.4,54.6,54.7,219510.81353808,12117501.05193065
2019-09-29 18:00:00,54.8,55.0,54.6,54.6,37033.48006875,2029816.97789302
2019-09-29 19:00:00,54.5,54.7,53.3,54.2,293076.66877397,15868983.36271238
2019-09-29 20:00:00,53.9,54.3,53.8,53.9,80450.14622379,4339315.32894252
2019-09-29 21:00:00,53.9,54.0,53.0,53.1,567821.9881327,30338453.03556725
2019-09-29 22:00:00,53.4,53.9,53.0,53.3,257272.47374009,13751644.89177394
2019-09-29 23:00:00,53.4,53.5,53.1,53.1,363878.94345571,19340276.73711038
2019-09-30 00:00:00,53.3,53.3,53.1,53.1,70673.2757073,3757433.98381807
2019-09-30 01:00:00,53.4,53.8,53.3,53.6,26569.72769458,1419359.72070979
2019-09-30 02:00:00,53.6,53.6,53.3,53.3,38926.23097829,2076986.04563793
2019-09-30 03:00:00,53.3,53.3,53.2,53.2,36088.488,1920696.8616
2019-09-30 04:00:00,53.2,53.3,53.0,53.0,220923.53943719,11716550.86387441
2019-09-30 05:00:00,53.0,53.7,53.0,53.7,48439.37167536,2568924.46497403
2019-09-30 06:00:00,53.8,53.8,53.2,53.7,35048.4200365,1869791.60535406
2019-09-30 07:00:00,53.5,54.0,53.5,53.9,233494.0436605,12587053.12113655
2019-09-30 08:00:00,54.0,54.3,53.9,54.1,90299.18741345,4879640.63956407
2019-09-30 09:00:00,54.1,54.1,53.3,53.4,87810.54051036,4706023.1059033
2019-09-30 10:00:00,53.4,53.4,53.1,53.4,124274.06196209,6610051.05139755
2019-09-30 11:00:00,53.3,54.1,53.3,53.8,141422.96329909,7605598.50766998
2019-09-30 12:00:00,53.5,53.6,53.1,53.1,202545.82042791,10819918.56645395
2019-09-30 13:00:00,53.1,53.1,51.9,52.0,348097.80834116,18273094.89349258
2019-09-30 14:00:00,52.6,52.6,51.2,52.1,363298.79504274,18712254.17177646
2019-09-30 15:00:00,52.1,52.1,51.6,51.6,51917.89173703,2689812.10054618
2019-09-30 16:00:00,51.6,51.6,50.2,50.5,976663.05446693,49514165.46404782
