,open,high,low,close,volume,value
2021-01-21 17:00:00,169.0,523.0,160.0,231.0,310314772.0732135,82135974069.84027
2021-01-21 17:30:00,232.0,233.0,165.0,169.0,167452416.1920516,32292624630.299355
2021-01-21 18:00:00,169.0,169.0,136.0,145.0,139696292.76698238,21067670469.93761
2021-01-21 18:30:00,144.0,149.0,132.0,135.0,103025305.8619552,14415427991.094547
2021-01-21 19:00:00,135.0,135.0,113.0,121.0,162773706.01246306,20149557615.339607
2021-01-21 19:30:00,121.0,132.0,117.0,126.0,70667428.20654829,8817985636.940483
2021-01-21 20:00:00,126.0,131.0,121.0,128.0,45175946.26460928,5728393530.356557
2021-01-21 20:30:00,129.0,142.0,125.0,132.0,85957863.50343783,11526340428.290575
2021-01-21 21:00:00,132.0,134.0,126.0,130.0,48551518.45722877,6301279839.856011
2021-01-21 21:30:00,130.0,137.0,129.0,135.0,38321405.02652241,5125457282.953434
2021-01-21 22:00:00,135.0,177.0,134.0,166.0,214373734.74662328,33099059530.78617
2021-01-21 22:30:00,166.0,173.0,147.0,151.0,220912586.56029165,34774329090.99697
2021-01-21 23:00:00,150.0,159.0,148.0,150.0,101752989.9735825,15593651512.211538
2021-01-21 23:30:00,151.0,154.0,141.0,143.0,66126963.38199724,9747462486.78806
2021-01-22 00:00:00,143.0,150.0,141.0,142.0,54223152.85217889,7878586992.390658
2021-01-22 00:30:00,141.0,146.0,138.0,145.0,61846025.16559371,8823912076.287575
2021-01-22 01:00:00,145.0,149.0,141.0,143.0,28389930.39926926,4130683748.382503
2021-01-22 01:30:00,143.0,145.0,135.0,135.0,15524916.20898915,2174586042.638198
2021-01-22 02:00:00,136.0,142.0,135.0,137.0,19289532.19515861,2680743109.9020953
2021-01-22 02:30:00,137.0,139.0,136.0,137.0,4995147.18892679,686025266.3348515
2021-01-22 03:00:00,138.0,139.0,135.0,136.0,4285301.37799669,586789123.4633468
2021-01-22 03:30:00,136.0,139.0,136.0,138.0,2764628.07615791,379890098.55994445
2021-01-22 04:00:00,139.0,143.0,137.0,142.0,6126547.42882772,861995724.4612516
2021-01-22 04:30:00,142.0,142.0,139.0,140.0,3828122.21886798,537178577.3108934
2021-01-22 05:00:00,139.0,140.0,127.0,127.0,16405965.76000251,2185782383.8748746
2021-01-22 05:30:00,127.0,131.0,125.0,126.0,13139902.39834474,1682413214.1433575
2021-01-22 06:00:00,126.0,133.0,126.0,132.0,10573411.35026552,1373365906.2071042
2021-01-22 06:30:00,132.0,132.0,126.0,128.0,12590739.40329597,1618153865.5548735
2021-01-22 07:00:00,127.0,128.0,118.0,119.0,31555686.3853844,3870376074.691256
2021-01-22 07:30:00,119.0,131.0,117.0,126.0,50636140.86848243,6320414055.427354
2021-01-22 08:00:00,126.0,130.0,123.0,124.0,20088119.49760585,2534733520.9743905
2021-01-22 08:30:00,125.0,127.0,119.0,124.0,18771529.65624181,2318770788.2322
2021-01-22 09:00:00,124.0,135.0,101.0,106.0,138062382.66376996,16572320548.944744
2021-01-22 09:30:00,106.0,111.0,101.0,107.0,56210750.53030021,6013387849.583748
2021-01-22 10:00:00,106.0,110.0,102.0,109.0,34579400.3089868,3687454946.3935122
2021-01-22 10:30:00,108.0,120.0,105.0,115.0,70020235.74222551,7967644235.090556
2021-01-22 11:00:00,115.0,118.0,111.0,115.0,34579905.75645369,3954393182.619558
2021-01-22 11:30:00,114.0,120.0,114.0,116.0,26181912.91506853,3053807085.80396
2021-01-22 12:00:00,116.0,116.0,108.0,111.0,18765858.36432432,2102046499.583693
2021-01-22 12:30:00,111.0,113.0,110.0,112.0,9396553.82871671,1048653384.6644747
2021-01-22 13:00:00,112.0,120.0,112.0,115.0,29336107.79387177,3416526173.972744
2021-01-22 13:30:00,115.0,117.0,112.0,115.0,20276889.46991852,2332481110.4725513
2021-01-22 14:00:00,115.0,122.0,113.0,121.0,23131676.98863834,2719549860.465597
2021-01-22 14:30:00,121.0,121.0,116.0,119.0,19822195.84014754,2342504267.1496425
2021-01-22 15:00:00,118.0,119.0,116.0,118.0,8962066.66489592,1049955024.4936329
2021-01-22 15:30:00,119.0,135.0,118.0,130.0,85817592.35708322,10868553203.877237
2021-01-22 16:00:00,129.0,133.0,123.0,124.0,52958429.00450127,6793186762.467859
2021-01-22 16:30:00,124.0,125.0,120.0,121.0,37871331.53892527,4635598291.341181
2021-01-22 17:00:00,122.0,125.0,120.0,125.0,18560266.68573321,2273165776.4453206
2021-01-22 17:30:00,124.0,128.0,123.0,125.0,39457103.68022036,4940323128.633509
2021-01-22 18:00:00,124.0,126.0,119.0,122.0,14402241.58800288,1766038727.4454558
2021-01-22 18:30:00,121.0,122.0,119.0,120.0,6967990.49448565,840957443.7849451
2021-01-22 19:00:00,120.0,122.0,116.0,118.0,10351155.03651463,1229591639.4566615
2021-01-22 19:30:00,117.0,121.0,117.0,121.0,8869706.22127378,1049770636.3373328
2021-01-22 20:00:00,120.0,122.0,118.0,120.0,23441999.97202503,2808475891.9180775
2021-01-22 20:30:00,119.0,124.0,119.0,120.0,22284007.76327877,2694038859.5029025
2021-01-22 21:00:00,119.0,121.0,118.0,118.0,9014493.05449618,1071458735.2301489
2021-01-22 21:30:00,119.0,123.0,116.0,118.0,18401650.86148648,2202504408.9387364
2021-01-22 22:00:00,118.0,122.0,117.0,119.0,11202317.36378681,1336383521.839335
2021-01-22 22:30:00,119.0,121.0,119.0,120.0,8118745.33032961,973535229.1325369
2021-01-22 23:00:00,120.0,120.0,118.0,119.0,9794564.89604727,1166850857.941671
2021-01-22 23:30:00,119.0,126.0,119.0,123.0,35476899.75271653,4372115494.803966
2021-01-23 00:00:00,123.0,123.0,119.0,121.0,14829306.92011669,1795097534.0779746
2021-01-23 00:30:00,121.0,123.0,120.0,121.0,4644275.76935915,562179485.5772424
2021-01-23 01:00:00,120.0,121.0,118.0,120.0,4966585.22351974,591508355.6560372
2021-01-23 01:30:00,119.0,120.0,118.0,119.0,2758207.67404867,328204823.5893799
2021-01-23 02:00:00,120.0,120.0,118.0,119.0,2957025.36366087,352713986.5749537
2021-01-23 02:30:00,119.0,119.0,118.0,119.0,1148592.46685778,135786916.96586666
2021-01-23 03:00:00,118.0,119.0,117.0,119.0,1764159.09804463,208251781.62539566
2021-01-23 03:30:00,119.0,121.0,118.0,120.0,2832786.0769126,339898175.9579879
2021-01-23 04:00:00,120.0,121.0,118.0,119.0,3039560.15504908,362855981.7537517
2021-01-23 04:30:00,119.0,120.0,118.0,119.0,1096643.67671856,130312438.62425958
2021-01-23 05:00:00,119.0,119.0,118.0,119.0,1652528.80689735,195990751.98310515
2021-01-23 05:30:00,119.0,121.0,118.0,120.0,2749241.96807435,328217228.2026446
2021-01-23 06:00:00,120.0,120.0,118.0,120.0,1164562.67627802,138650333.4024704
2021-01-23 06:30:00,120.0,120.0,118.0,120.0,1682695.57396506,200555656.76936522
2021-01-23 07:00:00,120.0,124.0,119.0,123.0,5963919.81126017,728479595.0978916
2021-01-23 07:30:00,123.0,126.0,119.0,120.0,9308246.13732374,1144693726.8050714
2021-01-23 08:00:00,120.0,124.0,118.0,124.0,6844756.27726662,828988097.7182834
2021-01-23 08:30:00,124.0,125.0,119.0,121.0,13603604.87939517,1664828750.6476607
2021-01-23 09:00:00,120.0,125.0,118.0,120.0,36498525.24942745,4415433778.363316
2021-01-23 09:30:00,120.0,121.0,118.0,120.0,10423611.63397956,1238873845.7121077
2021-01-23 10:00:00,119.0,123.0,118.0,119.0,21726717.03977207,2620478440.6987963
2021-01-23 10:30:00,119.0,120.0,118.0,119.0,5396306.11356097,642914700.5251797
2021-01-23 11:00:00,119.0,120.0,118.0,119.0,4492788.53633575,534340211.2510532
2021-01-23 11:30:00,119.0,119.0,116.0,116.0,7298712.20492085,857614325.1807705
2021-01-23 12:00:00,116.0,118.0,116.0,118.0,2957796.13044855,345243176.59025395
2021-01-23 12:30:00,118.0,118.0,116.0,117.0,2378848.86216202,278866471.37227327
2021-01-23 13:00:00,116.0,118.0,116.0,118.0,2001939.38481427,234308164.2438431
2021-01-23 13:30:00,117.0,118.0,116.0,117.0,2737842.90678465,320438303.0915794
2021-01-23 14:00:00,117.0,118.0,116.0,117.0,2128629.34303463,248011642.39510363
2021-01-23 14:30:00,117.0,118.0,116.0,117.0,4065717.89719987,475311941.7503117
2021-01-23 15:00:00,116.0,118.0,116.0,117.0,3942941.03768549,460609015.26026225
2021-01-23 15:30:00,117.0,117.0,114.0,114.0,9786151.32920056,1128672724.4769757
2021-01-23 16:00:00,114.0,115.0,113.0,113.0,6134543.52447023,699873075.6226288
2021-01-23 16:30:00,114.0,116.0,113.0,116.0,5235900.0795471,603148579.3289119
2021-01-23 17:00:00,116.0,116.0,114.0,115.0,3699145.52176615,424494409.7380929
2021-01-23 17:30:00,116.0,116.0,114.0,115.0,1772042.39707792,203890237.42307612
2021-01-23 18:00:00,115.0,116.0,113.0,113.0,3486170.73146576,398358972.65448743
2021-01-23 18:30:00,113.0,114.0,112.0,113.0,7640017.09375557,862425238.2741998
2021-01-23 19:00:00,113.0,114.0,107.0,109.0,17970764.90953223,1982747454.539955
2021-01-23 19:30:00,108.0,111.0,106.0,111.0,6643650.26299657,721887698.3255084
2021-01-23 20:00:00,111.0,114.0,107.0,108.0,10679015.70999786,1180088420.430209
2021-01-23 20:30:00,109.0,110.0,106.0,108.0,7705532.66440643,834796038.6973199
2021-01-23 21:00:00,108.0,111.0,107.0,110.0,8682259.06642342,951375443.3701388
2021-01-23 21:30:00,110.0,110.0,108.0,109.0,3638715.94245782,395617825.9082994
2021-01-23 22:00:00,109.0,109.0,107.0,109.0,3625243.20576274,392293277.8544969
2021-01-23 22:30:00,109.0,111.0,108.0,110.0,5590012.87938365,612892985.9776257
2021-01-23 23:00:00,109.0,111.0,108.0,110.0,5617787.75850895,615860782.5464702
2021-01-23 23:30:00,111.0,112.0,109.0,111.0,3319326.73418442,367581213.6434689
2021-01-24 00:00:00,111.0,112.0,110.0,111.0,1853273.69520072,205372961.33924326
2021-01-24 00:30:00,110.0,111.0,109.0,109.0,1572103.79066666,172991073.08124173
2021-01-24 01:00:00,109.0,111.0,109.0,111.0,1364528.78436106,149567892.4851267
2021-01-24 01:30:00,110.0,111.0,110.0,111.0,1152390.88384849,127035333.26463822
2021-01-24 02:00:00,111.0,111.0,109.0,110.0,1326384.13532022,145418298.97995347
2021-01-24 02:30:00,109.0,110.0,109.0,110.0,590632.87086419,64685258.81605607
2021-01-24 03:00:00,110.0,111.0,109.0,109.0,861612.30761633,94673670.11335728
2021-01-24 03:30:00,109.0,110.0,108.0,109.0,902807.70588689,98427327.64116526
2021-01-24 04:00:00,109.0,111.0,109.0,110.0,659652.62680168,72551834.26359698
2021-01-24 04:30:00,110.0,111.0,110.0,110.0,254199.16319739,27988249.48752825
2021-01-24 05:00:00,109.0,111.0,109.0,111.0,214596.24494134,23767467.98667308
2021-01-24 05:30:00,110.0,111.0,109.0,110.0,563255.27091094,61962430.30282049
2021-01-24 06:00:00,110.0,111.0,109.0,109.0,715802.47864585,78530984.19805983
2021-01-24 06:30:00,109.0,110.0,108.0,109.0,1616091.69705417,175790293.5311183
2021-01-24 07:00:00,110.0,110.0,109.0,110.0,1177583.11947289,128678399.97982445
2021-01-24 07:30:00,109.0,110.0,109.0,110.0,669501.15326184,73353513.97108465
2021-01-24 08:00:00,110.0,113.0,109.0,112.0,3869525.94917633,428972306.7036715
2021-01-24 08:30:00,111.0,115.0,111.0,112.0,10445141.40875566,1184307322.6832516
2021-01-24 09:00:00,112.0,115.0,109.0,110.0,14583814.00024323,1633581033.4806812
2021-01-24 09:30:00,110.0,114.0,109.0,111.0,14589231.12204686,1630995884.0975254
2021-01-24 10:00:00,110.0,111.0,109.0,111.0,2265356.9752407,249616727.18756497
2021-01-24 10:30:00,110.0,111.0,108.0,109.0,5869109.99572653,642451271.3346027
2021-01-24 11:00:00,109.0,110.0,108.0,110.0,3996540.53942163,434463238.0348184
2021-01-24 11:30:00,110.0,110.0,107.0,108.0,7507442.56809553,811641441.5752159
2021-01-24 12:00:00,108.0,109.0,108.0,109.0,1180412.11614543,127742614.70973076
2021-01-24 12:30:00,108.0,109.0,107.0,109.0,2178709.35880422,235681239.37491044
2021-01-24 13:00:00,108.0,109.0,107.0,108.0,3996577.34658244,429219614.22692245
2021-01-24 13:30:00,107.0,108.0,106.0,106.0,2695849.35469908,288534349.3194046
2021-01-24 14:00:00,107.0,108.0,106.0,107.0,4722652.99002859,505220736.7107476
2021-01-24 14:30:00,107.0,107.0,105.0,107.0,4781669.40579113,506993495.4736466
2021-01-24 15:00:00,107.0,107.0,106.0,106.0,1268502.9563376,134606360.75686336
2021-01-24 15:30:00,106.0,108.0,106.0,107.0,2910023.41969472,311093501.1725692
2021-01-24 16:00:00,106.0,110.0,106.0,107.0,7972594.84460893,862634102.2820257
