,open,high,low,close,volume,value
2021-04-05 15:00:00,2950.0,5725.0,1825.0,2750.0,38595916.67150296,136993710146.71997
2021-04-05 16:00:00,2710.0,3560.0,2355.0,2405.0,32914280.36884467,100217074943.89774
2021-04-05 17:00:00,2395.0,2470.0,2265.0,2375.0,15419822.66437607,36598073789.89189
2021-04-05 18:00:00,2375.0,2375.0,2090.0,2130.0,7954606.1136118,17755286016.311565
2021-04-05 19:00:00,2145.0,2285.0,2130.0,2210.0,3703845.48395592,8208423837.484317
2021-04-05 20:00:00,2210.0,2320.0,2185.0,2265.0,2682724.7628406,6027701788.13456
2021-04-05 21:00:00,2265.0,3570.0,2265.0,3185.0,52403261.31289293,161907238375.91312
2021-04-05 22:00:00,3185.0,3960.0,3125.0,3420.0,61525742.66197374,216065966710.88385
2021-04-05 23:00:00,3415.0,3505.0,2960.0,3185.0,21789166.54346135,70596887373.56383
2021-04-06 00:00:00,3185.0,3360.0,2970.0,3015.0,12270972.51542726,38913480421.7102
2021-04-06 01:00:00,3015.0,3090.0,2785.0,2885.0,7840527.47302885,23034380961.977566
2021-04-06 02:00:00,2885.0,3220.0,2850.0,2980.0,12644170.61372497,38657249234.81521
2021-04-06 03:00:00,2980.0,3085.0,2935.0,3010.0,2038713.8814156,6131971431.317694
2021-04-06 04:00:00,3010.0,3065.0,2940.0,3040.0,1148012.47950318,3439676422.395406
2021-04-06 05:00:00,3040.0,3250.0,2935.0,3005.0,3387414.89469495,10465005377.497713
2021-04-06 06:00:00,3010.0,3215.0,2985.0,3015.0,4235554.3891528,13105244091.011703
2021-04-06 07:00:00,3015.0,3170.0,2805.0,3085.0,6807280.23775572,20382562379.094463
2021-04-06 08:00:00,3085.0,3565.0,2990.0,3380.0,17818388.20753217,59345904403.37882
2021-04-06 09:00:00,3385.0,3530.0,3040.0,3315.0,14812769.3289397,47932863278.53134
2021-04-06 10:00:00,3310.0,3370.0,2960.0,3070.0,5884754.485265,18304310494.038708
2021-04-06 11:00:00,3070.0,3150.0,3005.0,3085.0,2289864.67118917,7056245400.41245
2021-04-06 12:00:00,3085.0,3115.0,3025.0,3040.0,2098469.43672414,6427670571.440774
2021-04-06 13:00:00,3045.0,3260.0,3030.0,3210.0,3128079.93504623,9816128517.732458
2021-04-06 14:00:00,3210.0,3220.0,3090.0,3130.0,2116121.1056361,6661389786.650006
2021-04-06 15:00:00,3130.0,3130.0,3030.0,3060.0,1759530.93672573,5413345668.269215
2021-04-06 16:00:00,3060.0,3105.0,3005.0,3010.0,1257362.12059628,3833096622.604188
2021-04-06 17:00:00,3005.0,3040.0,2900.0,2930.0,2581887.22744908,7691623163.42019
