,open,high,low,close,volume,value
2020-11-27 22:00:00,1070.0,1070.0,1065.0,1065.0,40078.3095944,42866614.5350085
2020-11-27 22:30:00,1065.0,1065.0,1050.0,1050.0,61669.78096031,65115804.8087846
2020-11-27 23:00:00,1050.0,1055.0,1045.0,1055.0,25297.61205213,26468213.7439636
2020-11-27 23:30:00,1055.0,1070.0,1050.0,1050.0,25574.9830205,27093590.1837045
2020-11-28 00:00:00,1050.0,1050.0,1040.0,1045.0,34424.86355657,36015097.12029435
2020-11-28 00:30:00,1045.0,1045.0,1030.0,1030.0,85675.36299049,88753298.6138606
2020-11-28 01:00:00,1030.0,1045.0,1030.0,1045.0,32643.72912748,33937815.1220564
2020-11-28 01:30:00,1050.0,1055.0,1045.0,1055.0,24509.25691944,25725871.3201523
2020-11-28 02:00:00,1050.0,1050.0,1045.0,1050.0,7317.50999999,7664825.80498955
2020-11-28 02:30:00,1050.0,1055.0,1050.0,1055.0,29356.97555485,30862520.07802655
2020-11-28 03:00:00,1055.0,1065.0,1055.0,1060.0,11274.66020982,11930754.9589307
2020-11-28 03:30:00,1055.0,1060.0,1055.0,1060.0,26271.30970043,27835705.6233862
2020-11-28 04:00:00,1060.0,1060.0,1060.0,1060.0,2876.09289516,3048658.4688696
2020-11-28 04:30:00,1065.0,1065.0,1055.0,1055.0,6571.01298344,6935436.41752915
2020-11-28 05:00:00,1050.0,1070.0,1050.0,1065.0,7369.74531419,7803148.6927274
2020-11-28 05:30:00,1070.0,1070.0,1065.0,1065.0,10077.35483385,10750827.3704801
2020-11-28 06:00:00,1065.0,1070.0,1065.0,1065.0,4288.45873895,4570402.1869537
2020-11-28 06:30:00,1065.0,1065.0,1055.0,1060.0,42741.08611935,45199003.87236375
2020-11-28 07:00:00,1065.0,1070.0,1060.0,1060.0,12419.76451966,13224477.7911399
2020-11-28 07:30:00,1060.0,1065.0,1060.0,1060.0,7385.64050261,7829528.9327666
2020-11-28 08:00:00,1060.0,1070.0,1060.0,1070.0,21209.82833506,22672287.91123725
2020-11-28 08:30:00,1070.0,1080.0,1070.0,1080.0,57063.40925328,61367476.98183155
2020-11-28 09:00:00,1080.0,1080.0,1060.0,1065.0,62040.32670741,66178545.4360006
2020-11-28 09:30:00,1065.0,1075.0,1065.0,1075.0,39692.13119917,42409952.8576741
2020-11-28 10:00:00,1075.0,1090.0,1070.0,1090.0,91679.41117108,99330433.92220356
2020-11-28 10:30:00,1090.0,1090.0,1075.0,1085.0,67248.12625882,72739182.67954215
2020-11-28 11:00:00,1080.0,1080.0,1070.0,1075.0,47950.25196553,51404554.99178705
2020-11-28 11:30:00,1075.0,1075.0,1060.0,1065.0,33710.21360827,35957971.7925599
2020-11-28 12:00:00,1060.0,1065.0,1055.0,1060.0,37372.5930272,39571387.52387345
2020-11-28 12:30:00,1060.0,1070.0,1060.0,1065.0,17450.61717784,18603117.9796882
2020-11-28 13:00:00,1070.0,1070.0,1065.0,1065.0,15350.03389328,16399840.16009535
2020-11-28 13:30:00,1065.0,1065.0,1045.0,1045.0,57955.69959012,61134419.53063625
2020-11-28 14:00:00,1050.0,1050.0,1045.0,1050.0,17591.03306805,18465448.7022255
2020-11-28 14:30:00,1050.0,1055.0,1030.0,1045.0,85820.64632861,89311760.30263135
2020-11-28 15:00:00,1045.0,1045.0,1030.0,1040.0,174386.83452931,181361598.4264083
2020-11-28 15:30:00,1045.0,1045.0,1040.0,1040.0,41360.20890924,43052785.0567197
2020-11-28 16:00:00,1045.0,1045.0,1040.0,1045.0,37281.65735859,38852245.51129685
2020-11-28 16:30:00,1045.0,1050.0,1045.0,1045.0,63912.28152881,66873185.3274431
2020-11-28 17:00:00,1050.0,1050.0,1035.0,1035.0,50382.08613842,52465003.4840318
2020-11-28 17:30:00,1040.0,1040.0,1035.0,1040.0,15329.05386079,15907328.19115965
2020-11-28 18:00:00,1040.0,1045.0,1035.0,1035.0,33653.49298892,34987716.29993995
2020-11-28 18:30:00,1045.0,1045.0,1040.0,1040.0,15583.01023817,16209409.82334255
2020-11-28 19:00:00,1040.0,1060.0,1040.0,1050.0,97979.20213461,102837799.4156153
2020-11-28 19:30:00,1055.0,1060.0,1050.0,1055.0,40025.32058393,42258241.14090245
2020-11-28 20:00:00,1055.0,1060.0,1050.0,1060.0,17009.05711966,17909186.37693415
2020-11-28 20:30:00,1060.0,1070.0,1060.0,1060.0,122312.70117991,130001748.98762055
2020-11-28 21:00:00,1060.0,1065.0,1060.0,1060.0,47396.62524378,50268588.03532775
2020-11-28 21:30:00,1060.0,1060.0,1050.0,1060.0,28262.52063037,29845795.5667311
