,open,high,low,close,volume,value
2020-11-27 14:00:00,16.3,16.6,16.3,16.6,293519.44119774,4824119.09799765
2020-11-27 14:30:00,16.6,16.7,16.4,16.7,426445.2337523,7032471.52767055
2020-11-27 15:00:00,16.6,16.8,16.4,16.8,230963.88603289,3868530.91382559
2020-11-27 15:30:00,16.8,17.0,16.7,16.7,588639.39649706,9969837.43448548
2020-11-27 16:00:00,16.7,16.8,16.6,16.6,504776.19455839,8380007.22020103
2020-11-27 16:30:00,16.4,16.6,16.3,16.4,1028511.04700641,16870343.8970569
2020-11-27 17:00:00,16.3,16.3,15.4,15.4,4253642.84918404,67129984.30634663
2020-11-27 17:30:00,15.4,15.9,15.4,15.7,1480193.103766,23103059.87275753
2020-11-27 18:00:00,15.9,16.3,15.7,16.1,1509224.69666235,24125522.35476717
2020-11-27 18:30:00,16.0,16.0,15.7,15.7,38064.45637052,599778.28008286
2020-11-27 19:00:00,15.8,15.8,15.6,15.8,301447.62685817,4740653.5986657
2020-11-27 19:30:00,15.8,15.9,15.5,15.9,1360924.51467476,21292702.73932141
2020-11-27 20:00:00,16.0,16.0,15.8,15.8,2686.3579191,42580.98023737
2020-11-27 20:30:00,15.8,15.9,15.7,15.7,1055551.97874254,16594098.51986803
2020-11-27 21:00:00,15.7,16.0,15.7,16.0,285760.34421246,4533633.0008974
2020-11-27 21:30:00,16.0,16.2,16.0,16.0,1230509.99224561,19838204.70219555
2020-11-27 22:00:00,16.2,16.2,16.0,16.1,402087.76813448,6494533.5148318
2020-11-27 22:30:00,16.0,16.1,15.9,15.9,524692.17549281,8393186.52748301
2020-11-27 23:00:00,15.9,15.9,15.6,15.9,554279.98452783,8730294.30155034
2020-11-27 23:30:00,15.8,15.9,15.8,15.9,51739.24607472,822402.73952746
2020-11-28 00:00:00,15.8,15.8,15.6,15.7,223198.19072524,3497880.73822249
2020-11-28 00:30:00,15.7,15.7,15.4,15.4,332389.24340881,5173526.00169141
2020-11-28 01:00:00,15.4,15.7,15.4,15.7,219313.31990451,3415315.56717449
2020-11-28 01:30:00,15.7,15.7,15.6,15.7,18384.10178884,288196.29597479
2020-11-28 02:00:00,15.7,15.8,15.7,15.8,12884.72842293,202925.93624
2020-11-28 02:30:00,15.7,15.7,15.7,15.7,16853.88799999,264606.04159984
2020-11-28 03:00:00,15.7,15.8,15.7,15.8,30581.12301203,483039.03388887
2020-11-28 03:30:00,15.8,15.8,15.8,15.8,26445.51739952,417839.17491242
2020-11-28 04:00:00,15.8,15.8,15.8,15.8,4390.83399999,69375.17719984
2020-11-28 04:30:00,15.7,15.7,15.7,15.7,76405.14875019,1199560.83537799
2020-11-28 05:00:00,15.8,15.9,15.8,15.9,16217.51741369,257858.52680905
2020-11-28 05:30:00,15.9,15.9,15.9,15.9,629.14398846,10003.38941651
2020-11-28 06:00:00,15.8,15.8,15.8,15.8,7529.46297357,118965.51498241
2020-11-28 06:30:00,15.8,15.8,15.7,15.8,118107.07146382,1863317.01653837
2020-11-28 07:00:00,15.9,16.0,15.8,15.8,202267.58323864,3198251.45961362
2020-11-28 07:30:00,15.8,16.0,15.8,16.0,204323.80090584,3230908.45246466
2020-11-28 08:00:00,16.0,16.0,16.0,16.0,1332.70079703,21323.21275248
2020-11-28 08:30:00,16.0,16.3,16.0,16.2,284894.49273255,4597489.31258666
2020-11-28 09:00:00,16.2,16.2,15.8,16.0,1257328.0048704,20107815.96068671
2020-11-28 09:30:00,16.0,16.3,16.0,16.1,475374.12867897,7668297.96901044
2020-11-28 10:00:00,16.3,16.6,16.3,16.6,462647.78122888,7649293.54848359
2020-11-28 10:30:00,16.6,16.6,16.3,16.5,368194.33906692,6059504.17646627
2020-11-28 11:00:00,16.4,16.4,16.3,16.4,581723.34544327,9506069.58480531
2020-11-28 11:30:00,16.3,16.3,16.2,16.2,277682.9437321,4526210.23933976
2020-11-28 12:00:00,16.1,16.2,15.9,15.9,115364.44491491,1849619.6392246
2020-11-28 12:30:00,16.0,16.0,16.0,16.0,56393.80529534,902300.88472544
2020-11-28 13:00:00,16.0,16.0,16.0,16.0,41155.54722638,658488.75562208
2020-11-28 13:30:00,15.9,15.9,15.8,15.8,31133.34531443,493815.37122233
2020-11-28 14:00:00,15.8,15.8,15.7,15.8,171757.8470302,2709080.08042588
2020-11-28 15:00:00,15.9,16.0,15.9,16.0,1521.90321139,24309.9570611
2020-11-28 15:30:00,16.0,16.0,15.9,16.0,54572.6568522,871904.64799998
2020-11-28 16:00:00,16.0,16.0,16.0,16.0,107294.66776947,1716714.68431152
2020-11-28 16:30:00,16.1,16.2,16.1,16.1,1309120.71140558,21083016.29313607
2020-11-28 17:00:00,16.1,16.1,15.9,15.9,398347.19822474,6410834.56115381
2020-11-28 17:30:00,15.9,16.0,15.7,15.9,1711088.63864456,26922402.89036892
2020-11-28 18:00:00,15.9,15.9,15.8,15.8,6372.62015723,100691.80099996
2020-11-28 18:30:00,15.9,16.0,15.9,16.0,100000.0,1599983.35021146
2020-11-28 19:00:00,15.9,16.3,15.9,16.1,2490861.95471485,40211683.41241996
