,open,high,low,close,volume,value
2020-04-07 16:00:00,3.9,5.32,3.9,4.84,1033695830.7891834,5083916558.260216
2020-04-07 17:00:00,4.84,4.84,4.72,4.81,1764768057.932389,8435797419.48991
2020-04-07 18:00:00,4.81,4.82,4.75,4.79,1224638733.090468,5840203310.2948885
2020-04-07 19:00:00,4.8,4.84,4.77,4.82,1125360376.3908749,5417992822.360767
2020-04-07 20:00:00,4.82,4.83,4.75,4.76,1411367039.800862,6759913967.412757
2020-04-07 21:00:00,4.76,4.81,4.62,4.65,1717383433.7608287,8193654592.8760805
2020-04-07 22:00:00,4.66,4.71,4.61,4.67,30699859.26374983,142903718.90073186
2020-04-07 23:00:00,4.68,4.68,4.53,4.56,31431980.29637862,144303989.14827517
2020-04-08 00:00:00,4.56,4.63,4.54,4.61,4113683205.042717,18847780002.696095
2020-04-08 01:00:00,4.62,4.71,4.61,4.7,153223420.7711391,714169693.2289221
2020-04-08 02:00:00,4.7,4.7,4.59,4.69,14253373.34251386,66668395.15794513
2020-04-08 03:00:00,4.69,4.7,4.65,4.67,86424241.79264478,404345548.67709184
2020-04-08 04:00:00,4.65,4.7,4.62,4.66,28205698.34851399,131682457.04097196
2020-04-08 05:00:00,4.66,4.66,4.45,4.45,113175530.727232,509060184.51103556
2020-04-08 06:00:00,4.46,4.61,4.45,4.55,91409830.30307853,414195429.9861213
2020-04-08 07:00:00,4.55,4.7,4.55,4.68,10125306.44029575,47288501.73789368
2020-04-08 08:00:00,4.68,4.76,4.62,4.64,25546190.18521785,120467521.10061207
2020-04-08 09:00:00,4.64,4.72,4.46,4.58,30532364.10589689,141244158.7812372
2020-04-08 10:00:00,4.58,4.62,4.56,4.6,4544132.63395369,20814826.34940648
2020-04-08 11:00:00,4.59,4.68,4.56,4.64,7065395.58338434,32577389.51119567
2020-04-08 12:00:00,4.66,4.76,4.6,4.76,26500672.39192814,124470329.70250632
2020-04-08 13:00:00,4.76,4.81,4.7,4.8,15872496.22065183,75761442.1089014
2020-04-08 14:00:00,4.79,4.79,4.72,4.76,67646909.79758394,320514002.0464067
2020-04-08 15:00:00,4.77,4.77,4.66,4.68,97987831.85551473,461010985.59803957
2020-04-08 16:00:00,4.68,4.74,4.67,4.73,249244878.7715336,1175545369.6008477
2020-04-08 17:00:00,4.73,4.74,4.64,4.66,216906940.93466333,1025107010.3530143
2020-04-08 18:00:00,4.66,4.74,4.66,4.73,91527099.86962284,431629352.86184704
2020-04-08 19:00:00,4.72,4.75,4.67,4.7,67681879.2440924,319383533.6723328
2020-04-08 20:00:00,4.69,4.75,4.66,4.74,1002821917.9307379,4725087681.563902
2020-04-08 21:00:00,4.74,4.76,4.63,4.7,183936574.496211,863183614.6279069
2020-04-08 22:00:00,4.68,4.72,4.63,4.64,311849343.80381274,1458361265.7846093
2020-04-08 23:00:00,4.64,4.73,4.64,4.73,2562003231.8447113,12049882418.025583
2020-04-09 00:00:00,4.73,4.73,4.67,4.69,100534857.28917693,472868942.3669578
2020-04-09 01:00:00,4.68,4.71,4.67,4.68,1128202.58309116,5297466.19573193
2020-04-09 02:00:00,4.7,4.72,4.67,4.67,2506408.89219923,11811197.02560302
2020-04-09 03:00:00,4.72,4.72,4.69,4.7,408393.7407341,1919592.36255115
2020-04-09 04:00:00,4.7,4.7,4.65,4.65,1863058.67619844,8720836.43550977
2020-04-09 05:00:00,4.66,4.7,4.66,4.67,3046906.72324287,14283718.52127034
2020-04-09 06:00:00,4.67,4.76,4.65,4.75,3333106.84183145,15629950.96406838
2020-04-09 07:00:00,4.75,4.84,4.74,4.83,4767077.1331498,22827275.44740725
2020-04-09 08:00:00,4.84,4.84,4.74,4.74,2922959.90749498,13964768.10644014
2020-04-09 09:00:00,4.78,4.81,4.69,4.81,11436688.50124357,54240889.02795864
2020-04-09 10:00:00,4.81,4.82,4.69,4.74,4775396.3933743,22657885.97100175
2020-04-09 11:00:00,4.74,4.82,4.74,4.8,2153605.82907877,10316235.55972264
2020-04-09 12:00:00,4.78,4.8,4.72,4.72,3955573.99304327,18817282.54369576
2020-04-09 13:00:00,4.72,4.78,4.68,4.73,2071929.31917444,9749894.98700774
2020-04-09 14:00:00,4.7,4.73,4.69,4.73,2471300.86693262,11640506.3505228
2020-04-09 15:00:00,4.74,4.76,4.72,4.76,1189148.5940852,5648481.88370612
2020-04-09 16:00:00,4.73,4.75,4.7,4.75,4108214.05552279,19423829.34309215
2020-04-09 17:00:00,4.75,4.76,4.75,4.76,1013426.00503166,4822710.33280816
2020-04-09 18:00:00,4.76,4.77,4.7,4.76,4169062.32260353,19756175.65150689
2020-04-09 19:00:00,4.76,4.77,4.75,4.76,1243860.65844029,5922181.73199545
2020-04-09 20:00:00,4.76,4.77,4.61,4.61,6481386.71556573,30433982.13884445
2020-04-09 21:00:00,4.64,4.75,4.57,4.74,9051733.06983362,41881172.09625536
2020-04-09 22:00:00,4.74,4.77,4.72,4.77,3235632.70055348,15374792.08998036
2020-04-09 23:00:00,4.77,4.78,4.71,4.74,3046946.22084149,14395187.45330203
2020-04-10 00:00:00,4.74,4.77,4.67,4.67,847851.25611105,3967598.56877047
2020-04-10 01:00:00,4.67,4.69,4.67,4.69,346865.32917529,1620670.75087879
2020-04-10 02:00:00,4.69,4.69,4.69,4.69,40361.97667549,189297.67060805
2020-04-10 03:00:00,4.69,4.73,4.66,4.66,238662.69250455,1117832.87746749
2020-04-10 04:00:00,4.66,4.67,4.62,4.64,1984593.49391372,9224403.4384039
2020-04-10 05:00:00,4.64,4.66,4.61,4.66,534277.45747202,2482216.94934198
2020-04-10 06:00:00,4.63,4.66,4.62,4.66,162720.06320682,754785.86465494
2020-04-10 07:00:00,4.66,4.66,4.6,4.65,3135960.47443726,14495535.86354069
2020-04-10 08:00:00,4.65,4.67,4.64,4.65,973544.93592254,4530393.83515936
2020-04-10 09:00:00,4.65,4.7,4.6,4.68,1495454.30810199,6901012.09506892
2020-04-10 10:00:00,4.67,4.67,4.61,4.61,346780.90554407,1604741.56935666
2020-04-10 11:00:00,4.64,4.64,4.55,4.57,2309312.26918935,10550130.40842025
2020-04-10 12:00:00,4.57,4.57,4.47,4.5,2999030.01139938,13558070.06451965
2020-04-10 13:00:00,4.5,4.51,4.33,4.5,2599759.11084466,11530113.72562904
2020-04-10 14:00:00,4.46,4.46,4.29,4.33,6227920.02913645,27009954.6178579
2020-04-10 15:00:00,4.33,4.4,4.26,4.37,3622649.30837675,15601018.70265444
2020-04-10 16:00:00,4.37,4.37,4.23,4.35,3977143.97316698,17022879.82697883
2020-04-10 17:00:00,4.34,4.35,4.3,4.3,224587.9311171,973925.83761265
2020-04-10 18:00:00,4.31,4.31,4.24,4.24,800386.93432327,3416010.49480646
2020-04-10 19:00:00,4.25,4.4,4.24,4.39,2122517.88083128,9069023.42350909
2020-04-10 20:00:00,4.39,4.39,4.33,4.35,929755.47866464,4038776.19443585
2020-04-10 21:00:00,4.33,4.38,4.06,4.35,2939884.4231902,12484997.90776825
2020-04-10 22:00:00,4.34,4.35,4.21,4.27,871099.55054202,3760149.89788168
2020-04-10 23:00:00,4.35,4.36,4.15,4.24,2068794.47102174,8775139.54902573
2020-04-11 00:00:00,4.35,4.35,4.17,4.31,2528198.10742219,10690339.78153441
2020-04-11 01:00:00,4.3,4.31,4.3,4.31,286387.3032648,1234307.52707128
2020-04-11 02:00:00,4.31,4.36,4.31,4.36,51874.91230112,225672.68231321
2020-04-11 03:00:00,4.36,4.37,4.36,4.37,54471.0938,238021.35779783
2020-04-11 05:00:00,4.34,4.35,4.33,4.34,162849.71953995,706795.77542212
2020-04-11 06:00:00,4.34,4.39,4.34,4.39,909400.01103398,3956506.39820689
2020-04-11 07:00:00,4.38,4.39,4.35,4.35,148469.80211097,647893.54251498
2020-04-11 08:00:00,4.38,4.42,4.38,4.42,346503.41029116,1522170.26411611
2020-04-11 09:00:00,4.42,4.47,4.36,4.47,269538.08663368,1194428.74314515
2020-04-11 10:00:00,4.48,4.52,4.41,4.52,86564.83535813,388756.57615083
2020-04-11 11:00:00,4.52,4.57,4.52,4.56,2887441.36547973,13121209.50574552
2020-04-11 12:00:00,4.54,4.55,4.46,4.52,18395.2544,83242.35609546
2020-04-11 13:00:00,4.54,4.61,4.54,4.61,3576981.15071535,16333262.05802946
2020-04-11 14:00:00,4.57,4.6,4.53,4.6,144830.92321708,659795.07311569
2020-04-11 15:00:00,4.58,4.58,4.58,4.58,10030.0,45937.4
2020-04-11 16:00:00,4.54,4.54,4.5,4.5,309315.68854137,1398362.57654136
2020-04-11 17:00:00,4.5,4.5,4.46,4.46,363094.24392281,1632684.84337094
2020-04-11 18:00:00,4.47,4.55,4.44,4.55,725695.61325391,3225485.95602999
2020-04-11 19:00:00,4.46,4.54,4.45,4.54,4601.54148201,20492.04361368
2020-04-11 20:00:00,4.52,4.53,4.41,4.52,1839976.60625022,8153579.59960676
2020-04-11 21:00:00,4.52,4.57,4.44,4.54,2637662.35227532,11960500.93888329
2020-04-11 22:00:00,4.54,4.58,4.45,4.56,207617.08761192,938161.63478054
2020-04-11 23:00:00,4.56,4.57,4.45,4.45,280508.9175682,1269461.22215284
2020-04-12 01:00:00,4.46,4.53,4.41,4.53,1892052.52910005,8405463.60682539
2020-04-12 02:00:00,4.49,4.49,4.49,4.49,130563.4937,586230.086713
2020-04-12 04:00:00,4.49,4.49,4.41,4.42,135449.7256397,603023.74791636
2020-04-12 05:00:00,4.44,4.44,4.39,4.39,128851.44427061,568787.095915
2020-04-12 06:00:00,4.39,4.39,4.38,4.38,18403.99679934,80733.1282805
2020-04-12 07:00:00,4.49,4.52,4.45,4.45,222298.37019687,1002674.17352954
2020-04-12 08:00:00,4.52,4.53,4.45,4.52,631200.53490233,2854453.4486056
2020-04-12 09:00:00,4.52,4.53,4.52,4.53,785264.02721841,3555561.37779709
2020-04-12 10:00:00,4.5,4.53,4.42,4.53,108507.1444698,480965.4792851
2020-04-12 11:00:00,4.53,4.53,4.42,4.53,7664.41689182,33918.71327995
2020-04-12 12:00:00,4.43,4.5,4.4,4.5,714987.60597119,3153545.07131514
2020-04-12 13:00:00,4.41,4.41,4.38,4.41,623499.09085984,2740888.29866355
2020-04-12 14:00:00,4.38,4.41,4.33,4.41,476593.46397436,2078192.4495744
2020-04-12 15:00:00,4.41,4.42,4.41,4.42,32650.22175384,144266.59629381
2020-04-12 16:00:00,4.41,4.42,4.41,4.42,71252.97931093,314625.22673231
2020-04-12 17:00:00,4.36,4.43,4.36,4.43,783544.81073749,3463217.66951689
2020-04-12 18:00:00,4.43,4.49,4.43,4.49,1362937.57410672,6108814.18309695
2020-04-12 19:00:00,4.48,4.5,4.43,4.43,108005.50342312,482664.2839318
2020-04-12 20:00:00,4.43,4.5,4.43,4.5,79097.13695119,355934.14024811
2020-04-12 21:00:00,4.43,4.55,4.42,4.54,930960.26241982,4195877.61717222
2020-04-12 22:00:00,4.54,4.58,4.53,4.54,536583.63520832,2437181.91022142
2020-04-12 23:00:00,4.54,4.62,4.54,4.56,2191332.99759621,10061334.91461417
2020-04-13 00:00:00,4.56,4.56,4.56,4.56,3070.17543854,13999.99999972
2020-04-13 01:00:00,4.6,4.66,4.6,4.62,3377804.25157673,15703055.30940449
2020-04-13 02:00:00,4.62,4.68,4.6,4.6,101305.9236923,467529.78980486
2020-04-13 03:00:00,4.6,4.61,4.6,4.6,33531.53550344,154245.16127944
2020-04-13 04:00:00,4.6,4.67,4.6,4.63,781638.32423587,3645630.96845922
2020-04-13 05:00:00,4.63,4.66,4.63,4.63,34399.53121485,159308.22952477
2020-04-13 06:00:00,4.63,4.63,4.61,4.61,367142.80918427,1692929.77716175
2020-04-13 07:00:00,4.61,4.64,4.55,4.55,208425.13229348,958307.62768594
2020-04-13 08:00:00,4.55,4.55,4.52,4.52,552942.04353363,2506812.50659961
2020-04-13 09:00:00,4.52,4.52,4.32,4.4,6811309.56922669,29894090.53649593
2020-04-13 10:00:00,4.38,4.4,4.34,4.34,1249782.40993896,5445748.55131558
2020-04-13 11:00:00,4.35,4.39,4.3,4.36,627219.69930989,2718214.53968306
2020-04-13 12:00:00,4.36,4.36,4.3,4.36,251860.28560476,1087112.5648695
2020-04-13 13:00:00,4.32,4.36,4.32,4.36,35553.25079264,154444.26845701
2020-04-13 14:00:00,4.37,4.37,4.32,4.32,87092.1849166,378187.79552166
2020-04-13 15:00:00,4.32,4.36,4.32,4.36,326363.29097534,1413655.33564739
2020-04-13 16:00:00,4.34,4.34,4.3,4.3,1217228.74641059,5240848.46671935
2020-04-13 17:00:00,4.33,4.33,4.31,4.32,23223.21173839,100502.97825575
2020-04-13 18:00:00,4.33,4.33,4.29,4.3,2052988.68358861,8842959.75104912
2020-04-13 19:00:00,4.3,4.35,4.3,4.35,622935.67128309,2700899.454353
2020-04-13 20:00:00,4.35,4.39,4.3,4.38,719521.29396186,3143459.55776614
2020-04-13 21:00:00,4.34,4.34,4.32,4.32,247620.79758764,1071906.2361356
2020-04-13 22:00:00,4.32,4.32,4.27,4.27,2941663.13482612,12638196.3094742
2020-04-13 23:00:00,4.31,4.33,4.28,4.32,185563.35974259,798767.97294347
2020-04-14 00:00:00,4.32,4.37,4.32,4.34,2590.02828748,11208.35568537
2020-04-14 01:00:00,4.34,4.34,4.32,4.32,11290.7191374,48998.21574954
2020-04-14 02:00:00,4.3,4.33,4.29,4.33,366993.76223235,1579439.6884153
2020-04-14 03:00:00,4.33,4.33,4.33,4.33,67771.39714238,293450.14962651
2020-04-14 04:00:00,4.33,4.39,4.33,4.39,819999.16958452,3596094.78912046
