,open,high,low,close,volume,value
2021-11-11 03:10:00,1585.0,1590.0,1585.0,1585.0,197270.14979602,313373636.2484763
2021-11-11 03:15:00,1590.0,1590.0,1585.0,1585.0,685676.09085963,1087227119.210876
2021-11-11 03:20:00,1585.0,1590.0,1580.0,1585.0,905002.70912694,1433393323.1812434
2021-11-11 03:25:00,1585.0,1585.0,1580.0,1585.0,598721.89353532,947910007.2136256
2021-11-11 03:30:00,1585.0,1590.0,1580.0,1585.0,203157.57873355,321918028.3741523
2021-11-11 03:35:00,1585.0,1585.0,1580.0,1580.0,184927.63696761,293012891.6987404
2021-11-11 03:40:00,1585.0,1585.0,1580.0,1585.0,646399.31807777,1022928072.315814
2021-11-11 03:45:00,1585.0,1585.0,1580.0,1580.0,370137.45915879,584882405.6368711
2021-11-11 03:50:00,1580.0,1585.0,1575.0,1575.0,1279479.3188337,2017173773.8054755
2021-11-11 03:55:00,1575.0,1575.0,1570.0,1575.0,1299235.54796383,2044203568.0444264
2021-11-11 04:00:00,1570.0,1580.0,1570.0,1580.0,894452.82035107,1409357279.346638
2021-11-11 04:05:00,1575.0,1585.0,1575.0,1585.0,490801.8691501,774777103.9223351
2021-11-11 04:10:00,1580.0,1585.0,1575.0,1580.0,288035.0703338,455192858.15446603
2021-11-11 04:15:00,1575.0,1585.0,1575.0,1580.0,179897.73411751,284060723.1869559
2021-11-11 04:20:00,1575.0,1580.0,1575.0,1580.0,103706.49579402,163644720.38935924
2021-11-11 04:25:00,1580.0,1580.0,1575.0,1575.0,86787.73305136,136843492.9257503
2021-11-11 04:30:00,1580.0,1580.0,1575.0,1575.0,71892.0407393,113287548.9239055
2021-11-11 04:35:00,1575.0,1580.0,1570.0,1575.0,493558.24470377,776870972.4879118
2021-11-11 04:40:00,1570.0,1575.0,1565.0,1570.0,1868904.77517609,2933249583.06665
2021-11-11 04:45:00,1570.0,1570.0,1560.0,1560.0,1704709.34264508,2667280993.29178
2021-11-11 04:50:00,1560.0,1565.0,1555.0,1560.0,3513357.02268037,5472917422.654237
2021-11-11 04:55:00,1560.0,1560.0,1545.0,1550.0,2685509.16791577,4162144389.2752256
2021-11-11 05:00:00,1550.0,1550.0,1530.0,1535.0,7549963.54041923,11608749048.230234
2021-11-11 05:05:00,1535.0,1550.0,1535.0,1540.0,2951047.62608555,4555867783.129251
2021-11-11 05:10:00,1540.0,1545.0,1530.0,1535.0,1930014.67510943,2967892234.339706
2021-11-11 05:15:00,1530.0,1545.0,1530.0,1540.0,1107073.94645041,1701480492.4371512
2021-11-11 05:20:00,1540.0,1545.0,1540.0,1545.0,817695.00906069,1261009276.4152496
2021-11-11 05:25:00,1545.0,1545.0,1535.0,1540.0,1372776.74191708,2116206887.4483674
2021-11-11 05:30:00,1540.0,1550.0,1540.0,1550.0,754086.95927974,1165345170.2398696
2021-11-11 05:35:00,1550.0,1550.0,1540.0,1540.0,902646.8056695,1393385040.6964417
2021-11-11 05:40:00,1540.0,1545.0,1530.0,1530.0,2044615.42411601,3137115876.3744173
2021-11-11 05:45:00,1530.0,1535.0,1510.0,1510.0,5682979.08421414,8649261456.43255
2021-11-11 05:50:00,1510.0,1515.0,1495.0,1505.0,7363707.44739646,11090425255.177494
2021-11-11 05:55:00,1505.0,1510.0,1495.0,1510.0,3327632.68554138,5002273212.664275
2021-11-11 06:00:00,1510.0,1515.0,1505.0,1515.0,3362029.12584115,5076703603.984356
2021-11-11 06:05:00,1515.0,1520.0,1505.0,1510.0,2730603.06324086,4133692282.287344
2021-11-11 06:10:00,1505.0,1515.0,1505.0,1510.0,1799883.36661577,2715227636.681
2021-11-11 06:15:00,1510.0,1510.0,1490.0,1500.0,4974303.32614048,7453617669.769914
2021-11-11 06:20:00,1495.0,1500.0,1430.0,1450.0,22724465.33788743,33246750993.00246
2021-11-11 06:25:00,1430.0,1475.0,1425.0,1475.0,15124275.79696713,21992623858.64473
2021-11-11 06:30:00,1475.0,1495.0,1460.0,1495.0,8455566.37813124,12495703375.68027
2021-11-11 06:35:00,1495.0,1495.0,1480.0,1490.0,4502091.12089263,6690870956.563566
2021-11-11 06:40:00,1490.0,1490.0,1475.0,1475.0,4549558.23862318,6731943996.107946
2021-11-11 06:45:00,1475.0,1480.0,1460.0,1465.0,7200380.0810836,10579669809.828571
2021-11-11 06:50:00,1470.0,1475.0,1455.0,1460.0,4428860.98564493,6489756870.898608
2021-11-11 06:55:00,1460.0,1470.0,1450.0,1450.0,8198288.91540365,11952795161.496168
2021-11-11 07:00:00,1450.0,1460.0,1435.0,1450.0,9871404.67123481,14271171985.747238
2021-11-11 07:05:00,1455.0,1475.0,1450.0,1465.0,5331166.31031913,7815234410.069359
2021-11-11 07:10:00,1470.0,1480.0,1465.0,1475.0,3726691.84624322,5494341331.276793
2021-11-11 07:15:00,1475.0,1475.0,1460.0,1465.0,4995233.3621711,7328427618.04731
2021-11-11 07:20:00,1465.0,1470.0,1450.0,1460.0,3955981.88571005,5761792418.895664
2021-11-11 07:25:00,1460.0,1465.0,1450.0,1460.0,2996451.20899659,4366329429.461995
2021-11-11 07:30:00,1460.0,1470.0,1455.0,1470.0,2446923.8163333,3582461294.7303314
2021-11-11 07:35:00,1470.0,1480.0,1465.0,1480.0,3662848.81615029,5392487365.040926
2021-11-11 07:40:00,1480.0,1480.0,1465.0,1470.0,3206978.27805825,4725106550.681634
2021-11-11 07:45:00,1470.0,1475.0,1465.0,1470.0,4207804.91855794,6181664845.049353
2021-11-11 07:50:00,1465.0,1475.0,1465.0,1475.0,4116920.64073903,6060490636.158786
2021-11-11 07:55:00,1475.0,1485.0,1470.0,1480.0,5239905.37006169,7750007963.009308
2021-11-11 08:00:00,1480.0,1480.0,1470.0,1470.0,2877102.73157932,4239354887.335254
2021-11-11 08:05:00,1470.0,1475.0,1465.0,1470.0,3236087.17371769,4758118440.544493
2021-11-11 08:10:00,1475.0,1475.0,1465.0,1470.0,2835906.50665587,4169365163.118118
2021-11-11 08:15:00,1475.0,1475.0,1450.0,1455.0,7150809.13968991,10437055768.485723
2021-11-11 08:20:00,1460.0,1460.0,1450.0,1460.0,3683081.6458674,5357534040.835827
2021-11-11 08:25:00,1460.0,1460.0,1445.0,1445.0,6923954.79089544,10043115895.364697
2021-11-11 08:30:00,1450.0,1450.0,1435.0,1450.0,5034227.76765851,7266449432.812419
2021-11-11 08:35:00,1445.0,1450.0,1445.0,1450.0,1316267.17438564,1906969239.9208422
2021-11-11 08:40:00,1450.0,1455.0,1435.0,1455.0,5856455.02346301,8459517134.926764
2021-11-11 08:45:00,1450.0,1455.0,1445.0,1450.0,1769694.18984451,2567687256.0843835
2021-11-11 08:50:00,1455.0,1460.0,1450.0,1460.0,1807458.05290532,2628152897.6971064
2021-11-11 08:55:00,1460.0,1465.0,1455.0,1460.0,3299832.41865847,4816868259.184319
2021-11-11 09:00:00,1465.0,1465.0,1450.0,1465.0,4179896.57178005,6089443109.543138
2021-11-11 09:05:00,1460.0,1465.0,1450.0,1460.0,4365396.39123644,6368082017.558623
2021-11-11 09:10:00,1465.0,1470.0,1455.0,1455.0,4406925.61778364,6448876505.247891
2021-11-11 09:15:00,1455.0,1465.0,1450.0,1450.0,4135577.92284225,6014349747.8295965
2021-11-11 09:20:00,1455.0,1455.0,1445.0,1455.0,4019128.89144098,5826700779.450867
2021-11-11 09:25:00,1455.0,1465.0,1450.0,1465.0,4697979.84787058,6852493176.584357
2021-11-11 09:30:00,1460.0,1465.0,1450.0,1455.0,3720108.20976226,5419923821.364254
2021-11-11 09:35:00,1455.0,1465.0,1450.0,1455.0,4521608.63733724,6590982386.24669
2021-11-11 09:40:00,1450.0,1460.0,1450.0,1450.0,1181510.71633925,1719287646.2948956
2021-11-11 09:45:00,1455.0,1465.0,1450.0,1465.0,2057841.78320377,3002540625.902304
2021-11-11 09:50:00,1465.0,1470.0,1460.0,1470.0,3292200.52987566,4826196095.107931
2021-11-11 09:55:00,1470.0,1475.0,1465.0,1470.0,2523334.37461983,3708044284.9530187
2021-11-11 10:00:00,1470.0,1475.0,1460.0,1475.0,3797088.60638103,5571478594.579448
2021-11-11 10:05:00,1470.0,1475.0,1465.0,1475.0,2907188.42020985,4277331249.555279
2021-11-11 10:10:00,1475.0,1475.0,1465.0,1470.0,1040396.26444591,1527514040.2367785
2021-11-11 10:15:00,1465.0,1470.0,1460.0,1465.0,2976925.9018892,4361541655.883
2021-11-11 10:20:00,1460.0,1465.0,1460.0,1460.0,1052232.42107208,1538023266.1464376
2021-11-11 10:25:00,1460.0,1465.0,1455.0,1460.0,3564100.2153567,5203477204.3459015
2021-11-11 10:30:00,1455.0,1465.0,1455.0,1455.0,1439747.83108419,2102572550.014414
