,open,high,low,close,volume,value
2020-08-04 17:00:00,3285.0,25000.0,3285.0,11460.0,542523.3231953,9188935707.557762
2020-08-04 18:00:00,11460.0,12710.0,3750.0,3845.0,3192515.20897425,14770056792.401022
2020-08-04 19:00:00,3850.0,3975.0,3845.0,3875.0,863329.71788431,3375966974.3011227
2020-08-04 20:00:00,3885.0,3895.0,3665.0,3730.0,613279.60204829,2339990092.3108974
2020-08-04 21:00:00,3735.0,3865.0,3730.0,3840.0,466504.86640636,1772456104.8677638
2020-08-04 22:00:00,3840.0,3840.0,3685.0,3770.0,265893.22679212,1002505182.0347703
2020-08-04 23:00:00,3765.0,3820.0,3765.0,3820.0,120001.82986571,456039929.873131
2020-08-05 00:00:00,3820.0,3880.0,3820.0,3875.0,65493.19010565,252514697.52715224
2020-08-05 01:00:00,3875.0,3880.0,3810.0,3820.0,52946.0464548,203867392.49929366
2020-08-05 02:00:00,3820.0,3865.0,3820.0,3855.0,18076.98423584,69500286.97464515
2020-08-05 03:00:00,3855.0,3860.0,3815.0,3825.0,20169.37893995,77334277.372024
2020-08-05 04:00:00,3825.0,3855.0,3810.0,3810.0,9588.45106349,36761506.47635075
2020-08-05 05:00:00,3815.0,3835.0,3780.0,3800.0,37617.9011701,143132662.57486254
2020-08-05 06:00:00,3780.0,3875.0,3775.0,3875.0,62345.3096561,238131362.7433177
2020-08-05 07:00:00,3870.0,3875.0,3810.0,3865.0,87639.86073669,336432169.86304617
2020-08-05 08:00:00,3865.0,3870.0,3805.0,3850.0,108035.72821939,414504510.01427925
2020-08-05 09:00:00,3865.0,3865.0,3745.0,3785.0,250859.159931,950249000.6808156
2020-08-05 10:00:00,3785.0,3785.0,3725.0,3760.0,125767.97908452,472835317.75654805
2020-08-05 11:00:00,3755.0,3790.0,3695.0,3740.0,91930.24557209,342832412.8377674
2020-08-05 12:00:00,3740.0,3775.0,3730.0,3740.0,30502.54925902,114249181.13487695
2020-08-05 13:00:00,3740.0,3795.0,3730.0,3785.0,43149.32762568,162494037.3369809
2020-08-05 14:00:00,3790.0,3790.0,3670.0,3730.0,288192.36551144,1069598859.8345648
2020-08-05 15:00:00,3740.0,3770.0,3720.0,3735.0,47827.49996568,179202383.78668594
2020-08-05 16:00:00,3730.0,3750.0,3715.0,3730.0,40327.70190585,150493143.08064055
2020-08-05 17:00:00,3730.0,3790.0,3720.0,3785.0,44624.16365907,167994276.1140536
2020-08-05 18:00:00,3785.0,3815.0,3760.0,3780.0,38811.35770483,146825272.59050944
2020-08-05 19:00:00,3775.0,3775.0,3740.0,3765.0,23512.82944979,88295828.1639167
2020-08-05 20:00:00,3765.0,3795.0,3750.0,3790.0,25253.7919402,95240602.33801405
2020-08-05 21:00:00,3790.0,3845.0,3785.0,3800.0,29287.999629,111726586.91168225
2020-08-05 22:00:00,3805.0,3815.0,3760.0,3795.0,30034.03509471,113732315.69715935
2020-08-05 23:00:00,3795.0,3795.0,3770.0,3770.0,8388.31389999,31752911.9855359
2020-08-06 00:00:00,3775.0,3780.0,3735.0,3735.0,24224.4537466,91077779.4792414
2020-08-06 01:00:00,3735.0,3775.0,3720.0,3760.0,17002.30704909,63649390.09563835
2020-08-06 02:00:00,3760.0,3770.0,3745.0,3760.0,1541.86722792,5794400.835814
2020-08-06 03:00:00,3745.0,3760.0,3730.0,3750.0,5071.29346966,18965690.2504159
2020-08-06 04:00:00,3750.0,3775.0,3745.0,3770.0,8744.44127146,32929571.1214968
2020-08-06 05:00:00,3770.0,3775.0,3750.0,3775.0,4635.77410541,17458261.6886948
2020-08-06 06:00:00,3775.0,3775.0,3710.0,3710.0,25540.32646618,95260237.1945832
2020-08-06 07:00:00,3710.0,3715.0,3665.0,3705.0,38471.56030813,141792415.0673722
2020-08-06 08:00:00,3705.0,3725.0,3670.0,3675.0,17142.89060698,63438788.02291825
2020-08-06 09:00:00,3675.0,3770.0,3650.0,3735.0,88759.50975319,328498214.4906753
2020-08-06 10:00:00,3720.0,3795.0,3720.0,3755.0,40369.90387594,151910546.24381864
2020-08-06 11:00:00,3755.0,3770.0,3730.0,3750.0,26412.43208821,98805594.3487439
2020-08-06 12:00:00,3750.0,3755.0,3710.0,3730.0,10291.19039879,38450781.36347255
2020-08-06 13:00:00,3730.0,3730.0,3675.0,3680.0,23759.91036312,87732565.37087235
2020-08-06 14:00:00,3700.0,3715.0,3695.0,3715.0,9417.64425073,34861049.0525166
2020-08-06 15:00:00,3715.0,3740.0,3710.0,3715.0,16994.0190784,63266802.58981695
2020-08-06 16:00:00,3720.0,3740.0,3705.0,3720.0,22159.9603802,82500527.42101926
2020-08-06 17:00:00,3715.0,3720.0,3705.0,3720.0,3696.18008796,13727318.543563
2020-08-06 18:00:00,3720.0,3735.0,3690.0,3695.0,7980.97479593,29587292.2218844
2020-08-06 19:00:00,3695.0,3715.0,3695.0,3695.0,3846.51833871,14273547.86417415
2020-08-06 20:00:00,3700.0,3720.0,3695.0,3710.0,10375.65117199,38518617.2954854
2020-08-06 21:00:00,3720.0,3840.0,3715.0,3820.0,38626.27514477,146375520.02248234
2020-08-06 22:00:00,3825.0,3865.0,3795.0,3800.0,52336.54612428,200570011.97227034
2020-08-06 23:00:00,3800.0,3840.0,3795.0,3815.0,23629.7474667,90119847.1707332
2020-08-07 00:00:00,3825.0,3850.0,3790.0,3850.0,30790.96399116,117375005.1617148
2020-08-07 01:00:00,3850.0,3975.0,3850.0,3955.0,78773.22970873,308054460.618745
2020-08-07 02:00:00,3940.0,3960.0,3895.0,3940.0,11982.5563318,47078000.88011435
2020-08-07 03:00:00,3925.0,3985.0,3905.0,3935.0,32634.67754718,129252827.0842688
2020-08-07 04:00:00,3935.0,3980.0,3910.0,3910.0,17985.06287076,71161962.99548735
2020-08-07 05:00:00,3935.0,3950.0,3855.0,3900.0,16978.68416331,66145749.4840002
2020-08-07 06:00:00,3900.0,3940.0,3715.0,3785.0,25433.21822388,97081002.3515205
2020-08-07 07:00:00,3790.0,3825.0,3770.0,3780.0,7048.98335691,26776832.7607484
2020-08-07 08:00:00,3780.0,3855.0,3770.0,3800.0,20454.09930408,78185682.88651495
2020-08-07 09:00:00,3810.0,3875.0,3785.0,3865.0,25294.70721682,96875097.6520522
2020-08-07 10:00:00,3865.0,3875.0,3815.0,3860.0,39336.03689494,151303324.92242864
2020-08-07 11:00:00,3860.0,3860.0,3800.0,3800.0,20057.66535383,76811159.30415215
2020-08-07 12:00:00,3795.0,3830.0,3785.0,3785.0,27453.70865383,104424820.38813625
2020-08-07 13:00:00,3785.0,3795.0,3760.0,3795.0,26492.02525069,100222804.63521005
2020-08-07 14:00:00,3810.0,3810.0,3765.0,3775.0,7779.51849336,29426683.3955965
2020-08-07 15:00:00,3775.0,3820.0,3765.0,3810.0,9112.85621834,34660861.2440227
2020-08-07 16:00:00,3810.0,3830.0,3790.0,3810.0,9541.94056716,36440922.2318084
2020-08-07 17:00:00,3810.0,3825.0,3785.0,3810.0,10834.77860197,41269086.0755156
2020-08-07 18:00:00,3825.0,3825.0,3795.0,3810.0,9957.92202642,37916527.339488
2020-08-07 19:00:00,3810.0,3830.0,3790.0,3815.0,11857.45588305,45158474.7341382
2020-08-07 20:00:00,3795.0,3795.0,3765.0,3780.0,11200.66170836,42312163.0469722
2020-08-07 21:00:00,3780.0,3815.0,3760.0,3815.0,12914.1751756,48861836.31628415
2020-08-07 22:00:00,3815.0,3815.0,3770.0,3785.0,2694.61347618,10203645.85644445
2020-08-07 23:00:00,3785.0,3785.0,3720.0,3735.0,37096.25351041,138951452.4666776
2020-08-08 00:00:00,3735.0,3750.0,3720.0,3735.0,8722.71188779,32567569.73843665
2020-08-08 01:00:00,3735.0,3735.0,3695.0,3705.0,21195.13844747,78670852.00771116
2020-08-08 02:00:00,3705.0,3705.0,3560.0,3640.0,65108.63738695,236854673.77505076
2020-08-08 03:00:00,3635.0,3640.0,3545.0,3625.0,20488.60079266,73336750.87804605
2020-08-08 04:00:00,3625.0,3670.0,3615.0,3670.0,4559.6365561,16603846.1279969
2020-08-08 05:00:00,3655.0,3730.0,3640.0,3690.0,5098.2941838,18910139.7009478
2020-08-08 06:00:00,3690.0,3700.0,3685.0,3690.0,2744.91127988,10143691.54511935
2020-08-08 07:00:00,3690.0,3690.0,3660.0,3670.0,13068.64336312,48073145.72256905
2020-08-08 08:00:00,3690.0,3690.0,3650.0,3655.0,15448.18521532,56768944.9722425
2020-08-08 09:00:00,3665.0,3665.0,3595.0,3645.0,25233.27852622,91318091.2877157
2020-08-08 10:00:00,3660.0,3740.0,3660.0,3725.0,27400.47108261,101630155.40357305
2020-08-08 11:00:00,3725.0,3730.0,3665.0,3685.0,13682.13212836,50512255.1753811
2020-08-08 12:00:00,3690.0,3700.0,3670.0,3680.0,15905.83025638,58548046.6229289
2020-08-08 13:00:00,3695.0,3735.0,3685.0,3695.0,29721.59110974,110290168.0557808
2020-08-08 14:00:00,3695.0,3725.0,3685.0,3720.0,18458.67056877,68272671.76413
2020-08-08 15:00:00,3725.0,3750.0,3695.0,3715.0,16347.55936498,60854841.5881639
2020-08-08 16:00:00,3715.0,3730.0,3695.0,3700.0,18287.3751873,67711348.6506731
2020-08-08 17:00:00,3700.0,3710.0,3670.0,3680.0,20014.09845354,73812150.6400193
2020-08-08 18:00:00,3670.0,3735.0,3670.0,3710.0,12710.33472214,47072498.6258383
2020-08-08 19:00:00,3710.0,3730.0,3710.0,3715.0,5866.14188267,21844717.65490555
2020-08-08 20:00:00,3715.0,3735.0,3710.0,3735.0,15010.96462276,55939122.2856664
2020-08-08 21:00:00,3735.0,3735.0,3705.0,3715.0,21275.74574291,79101655.87698165
2020-08-08 22:00:00,3715.0,3730.0,3705.0,3720.0,11179.82536641,41500485.01079485
2020-08-08 23:00:00,3725.0,3740.0,3705.0,3740.0,23893.78683338,88935365.4032428
2020-08-09 00:00:00,3740.0,3810.0,3720.0,3810.0,34506.77718307,130258643.0724377
2020-08-09 01:00:00,3810.0,3920.0,3730.0,3885.0,182571.65933256,706684992.1558485
2020-08-09 02:00:00,3880.0,3920.0,3840.0,3895.0,134998.54283339,525367387.6011605
2020-08-09 03:00:00,3885.0,3915.0,3825.0,3890.0,75815.04275705,293140681.6730059
2020-08-09 04:00:00,3890.0,4105.0,3885.0,4050.0,242776.18764783,977860097.0815687
2020-08-09 05:00:00,4050.0,4170.0,4030.0,4095.0,111169.37439734,455336454.05780655
2020-08-09 06:00:00,4100.0,4115.0,3995.0,4025.0,41522.16942747,167912731.2768947
2020-08-09 07:00:00,4025.0,4025.0,3930.0,4000.0,36854.78076846,146655323.002344
